# Stretch,Cauchy_stress
1.000000000000000000e+00,2.051460186569606034e-02
1.002204317421708790e+00,2.368163610820707421e-02
1.004636667680145923e+00,1.744872106432525036e-02
1.007031012465795072e+00,2.065884028714459406e-02
1.009425357251444222e+00,1.753189193722019812e-02
1.011819702037093371e+00,1.438987640017714773e-02
1.014252052295530504e+00,1.442446874850796500e-02
1.016646397081179654e+00,1.445852059139611338e-02
1.019040741866828803e+00,1.449257243428426177e-02
1.021473092125265936e+00,1.134533001828124180e-02
1.023867436910915085e+00,1.456121662550322569e-02
1.026261781696564235e+00,1.459526846839137408e-02
1.028694131955001589e+00,1.462986081672219135e-02
1.031088476740650517e+00,1.466391265961033800e-02
1.033482821526299889e+00,1.794972656057337509e-02
1.035877166311948816e+00,1.799131199702084377e-02
1.038271511097597966e+00,1.803289743346831592e-02
1.040703861356035098e+00,1.480066053660559697e-02
1.043098206141684470e+00,1.483471237949374882e-02
1.045492550927333397e+00,1.486876422238189201e-02
1.047924901185770752e+00,2.149776213297497143e-02
1.050319245971419901e+00,1.166571940265730828e-02
1.052713590757069051e+00,1.169231298792172344e-02
1.055145941015506184e+00,1.832597574747907646e-02
1.057540285801155333e+00,1.504010444770797171e-02
1.059934630586804483e+00,1.840914662037402422e-02
1.062328975372453632e+00,1.845073205682149636e-02
1.064761325630890765e+00,1.182612515504584925e-02
1.067155670416539914e+00,1.517685232470323067e-02
1.069550015202189064e+00,1.857614845245672899e-02
1.071944359987838213e+00,1.861773388890420461e-02
1.074376710246275346e+00,2.204041046447863597e-02
1.076771055031924496e+00,1.195951520176895440e-02
1.079165399817573645e+00,1.874315028453943724e-02
1.081597750076010778e+00,2.218854722164199239e-02
1.083992094861659927e+00,2.223766625164878830e-02
1.086386439647309299e+00,1.545034807869375554e-02
1.088780784432958226e+00,2.233590431166238358e-02
1.091213134691395581e+00,8.686515584707782747e-03
1.093607479477044508e+00,1.555304411280086264e-02
1.096001824262693880e+00,1.903556851225738158e-02
1.098396169048342808e+00,8.743695559823055213e-03
1.100828519306780162e+00,1.911939947144514207e-02
1.103222864092429312e+00,1.916098490789261422e-02
1.105617208878078461e+00,1.227990458614501915e-02
1.108049559136515594e+00,2.273119555314566040e-02
1.110443903922164743e+00,8.839600597450262415e-03
1.112838248707813893e+00,1.582653986679138577e-02
1.115232593493463042e+00,1.936957217642279461e-02
1.117664943751900175e+00,8.897083112116413450e-03
1.120059288537549325e+00,1.945340313561055509e-02
1.122453633323198474e+00,1.949498857205803071e-02
1.124885983581635607e+00,1.599788009211746201e-02
1.127280328367284978e+00,2.312570712748597199e-02
1.129674673152933906e+00,8.992685610192745552e-03
1.132069017938583055e+00,1.610003562078190717e-02
1.134463362724232205e+00,1.970357584058821110e-02
1.136895712982669560e+00,9.050168124858894853e-03
1.139290057768318709e+00,1.978740679977597505e-02
1.141722408026755842e+00,1.623732400321983502e-02
1.144116752812404991e+00,1.627137584610798340e-02
1.146511097598054141e+00,2.352021870182628357e-02
1.148905442383703290e+00,9.145770622935228689e-03
1.151299787169352218e+00,1.637353137477242856e-02
1.153732137427789572e+00,2.003823959104644031e-02
1.156126482213438722e+00,9.203253137601376255e-03
1.158520826999087872e+00,2.012141046394138461e-02
1.160953177257525004e+00,1.651081975721035641e-02
1.163347522043174154e+00,1.292110547529816758e-02
1.165741866828823303e+00,2.391473027616658822e-02
1.168174217087260436e+00,9.299158175228583456e-03
1.170568561872909585e+00,1.664756763420561711e-02
1.172962906658558735e+00,2.771658457366685258e-02
1.175357251444207884e+00,1.305449552202126925e-02
1.177789601702645017e+00,3.891101073391231568e-02
1.180183946488294389e+00,3.899011346628523250e-02
1.182578291273943316e+00,3.906921619865813544e-02
1.184972636059592466e+00,3.914831893103103838e-02
1.187404986318029598e+00,3.922867726233050800e-02
1.189799331103678970e+00,4.305137808943707706e-02
1.192193675889327897e+00,5.060276647507234299e-02
1.194626026147765252e+00,4.322602592107824965e-02
1.197020370933414402e+00,6.579758343089332773e-02
1.199414715719063551e+00,6.970304736019582170e-02
1.201847065977500684e+00,7.362590671576936530e-02
1.204241410763149833e+00,8.885296027717323741e-02
1.206635755548798983e+00,9.658480214472436876e-02
1.209030100334448132e+00,1.005805627697821392e-01
1.211424445120097282e+00,1.159881929813775248e-01
1.213856795378534414e+00,1.390222569327355384e-01
1.216251140164183786e+00,1.507386905739406535e-01
1.218645484949832714e+00,1.548697987842384272e-01
1.221077835208269846e+00,1.704701227735708202e-01
1.223472179993918996e+00,2.053348224696422974e-01
1.225866524779568367e+00,2.249449243512868235e-01
1.228260869565217295e+00,2.484946747398656119e-01
1.230693219823654427e+00,2.798487425576532961e-01
1.233087564609303799e+00,3.035944034488381460e-01
1.235481909394952948e+00,3.312786270528379484e-01
1.237914259653390081e+00,3.629738805606509411e-01
1.240308604439039009e+00,4.025450457484647249e-01
1.242702949224688380e+00,4.344852713900825281e-01
1.245097294010337530e+00,4.626671701636538292e-01
1.247491638795986457e+00,5.143872152001055520e-01
1.249923989054423812e+00,5.623868249524973661e-01
1.252318333840072961e+00,5.909674828122062351e-01
1.254750684098510094e+00,6.550458164862664745e-01
1.257145028884159466e+00,7.075194552571172357e-01
1.259539373669808393e+00,7.483387575264357494e-01
1.261933718455457543e+00,8.209535124895236402e-01
1.264366068713894675e+00,8.859486414506475560e-01
1.266760413499544047e+00,9.392816838753420550e-01
1.269154758285192974e+00,1.016609963187756316e+00
1.271549103070842124e+00,1.074339255658547820e+00
1.273981453329279478e+00,1.144297838924850375e+00
1.276375798114928628e+00,1.214479549295252925e+00
1.278770142900577556e+00,1.304913476034147868e+00
1.281164487686226705e+00,1.387696005335003147e+00
1.283596837944664060e+00,1.478859432658609308e+00
1.285991182730313209e+00,1.562219452563276434e+00
1.288385527515962137e+00,1.649933401655363951e+00
1.290817877774399491e+00,1.746136616524032181e+00
1.293212222560048641e+00,1.838526833355774492e+00
1.295606567345697790e+00,1.947553216983469504e+00
1.298000912131346718e+00,2.044717857104093373e+00
1.299977196716326944e+00,2.125259741421109183e+00
