SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch3,1-Preload,0.000,18.792,0,-0.139
Stretch3,1-Preload,0.200,18.792,0,0.060
Stretch3,1-Preload,0.400,18.829,0.037,-0.139
Stretch3,1-Preload,0.600,18.874,0.082,0.060
Stretch3,1-Preload,0.800,18.916,0.124,0.159
Stretch3,1-Preload,1.000,18.951,0.159,-0.040
Stretch3,1-Preload,1.200,18.992,0.2,0.259
Stretch3,1-Preload,1.400,19.03,0.238,0.359
Stretch3,1-Preload,1.600,19.067,0.275,0.259
Stretch3,1-Preload,1.800,19.099,0.307,0.458
Stretch3,1-Preload,2.000,19.137,0.345,0.159
Stretch3,1-Preload,2.200,19.171,0.379,0.458
Stretch3,1-Preload,2.400,19.204,0.412,0.458
Stretch3,1-Preload,2.600,19.238,0.446,0.259
Stretch3,1-Preload,2.800,19.273,0.481,0.359
Stretch3,1-Preload,3.000,19.311,0.519,0.259
Stretch3,1-Preload,3.200,19.345,0.553,0.458
Stretch3,1-Preload,3.400,19.38,0.588,0.359
Stretch3,1-Preload,3.600,19.416,0.624,0.060
Stretch3,1-Preload,3.800,19.453,0.661,0.359
Stretch3,1-Preload,4.000,19.49,0.698,0.359
Stretch3,1-Preload,4.200,19.528,0.736,0.359
Stretch3,1-Preload,4.400,19.559,0.767,0.558
Stretch3,1-Preload,4.600,19.583,0.791,0.558
Stretch3,1-Preload,4.800,19.609,0.817,0.558
Stretch3,1-Preload,5.000,19.633,0.841,0.558
Stretch3,1-Preload,5.200,19.657,0.865,0.558
Stretch3,1-Preload,5.400,19.683,0.891,0.558
Stretch3,1-Preload,5.600,19.708,0.916,0.558
Stretch3,1-Preload,5.800,19.732,0.94,0.558
Stretch3,1-Preload,6.000,19.758,0.966,0.558
Stretch3,1-Preload,6.200,19.782,0.99,0.558
Stretch3,1-Preload,6.400,19.805,1.013,0.558
Stretch3,1-Preload,6.600,19.831,1.039,0.658
Stretch3,1-Preload,6.800,19.854,1.062,0.558
Stretch3,1-Preload,7.000,19.878,1.086,0.658
Stretch3,1-Preload,7.200,19.901,1.109,0.658
Stretch3,1-Preload,7.400,19.922,1.13,0.558
Stretch3,1-Preload,7.600,19.944,1.152,0.658
Stretch3,1-Preload,7.800,19.967,1.175,0.558
Stretch3,1-Preload,8.000,19.99,1.198,0.658
Stretch3,1-Preload,8.200,20.013,1.221,0.757
Stretch3,1-Preload,8.400,20.031,1.239,0.558
Stretch3,1-Preload,8.600,20.055,1.263,0.658
Stretch3,1-Preload,8.800,20.078,1.286,0.757
Stretch3,1-Preload,9.000,20.094,1.302,0.558
Stretch3,1-Preload,9.200,20.118,1.326,0.757
Stretch3,1-Preload,9.400,20.138,1.346,0.558
Stretch3,1-Preload,9.600,20.158,1.366,0.658
Stretch3,1-Preload,9.800,20.179,1.387,0.857
Stretch3,1-Preload,10.000,20.197,1.405,0.558
Stretch3,1-Preload,10.200,20.213,1.421,0.757
Stretch3,1-Preload,10.400,20.232,1.44,0.757
Stretch3,1-Preload,10.600,20.246,1.454,0.558
Stretch3,1-Preload,10.800,20.264,1.472,0.757
Stretch3,1-Preload,11.000,20.283,1.491,0.658
Stretch3,1-Preload,11.200,20.294,1.502,0.757
Stretch3,1-Preload,11.400,20.313,1.521,0.757
Stretch3,1-Preload,11.600,20.329,1.537,0.558
Stretch3,1-Preload,11.800,20.341,1.549,0.857
Stretch3,1-Preload,12.000,20.361,1.569,0.857
Stretch3,1-Stretch,12.180,20.363,0,0.658
Stretch3,1-Stretch,12.380,20.405,0.042,0.956
Stretch3,1-Stretch,12.580,20.454,0.091,0.558
Stretch3,1-Stretch,12.780,20.503,0.14,0.757
Stretch3,1-Stretch,12.980,20.552,0.189,0.956
Stretch3,1-Stretch,13.180,20.601,0.238,0.757
Stretch3,1-Stretch,13.380,20.65,0.287,0.956
Stretch3,1-Stretch,13.580,20.699,0.336,0.956
Stretch3,1-Stretch,13.780,20.748,0.385,1.156
Stretch3,1-Stretch,13.980,20.797,0.434,1.255
Stretch3,1-Stretch,14.180,20.846,0.483,1.255
Stretch3,1-Stretch,14.380,20.895,0.532,1.255
Stretch3,1-Stretch,14.580,20.944,0.581,1.255
Stretch3,1-Stretch,14.780,20.993,0.63,1.355
Stretch3,1-Stretch,14.980,21.042,0.679,1.355
Stretch3,1-Stretch,15.180,21.091,0.728,1.355
Stretch3,1-Stretch,15.380,21.14,0.777,1.355
Stretch3,1-Stretch,15.580,21.189,0.826,1.554
Stretch3,1-Stretch,15.780,21.238,0.875,1.355
Stretch3,1-Stretch,15.980,21.287,0.924,1.355
Stretch3,1-Stretch,16.180,21.336,0.973,1.554
Stretch3,1-Stretch,16.380,21.385,1.022,1.355
Stretch3,1-Stretch,16.580,21.434,1.071,1.654
Stretch3,1-Stretch,16.780,21.483,1.12,1.753
Stretch3,1-Stretch,16.980,21.532,1.169,1.654
Stretch3,1-Stretch,17.180,21.581,1.218,1.853
Stretch3,1-Stretch,17.380,21.63,1.267,2.052
Stretch3,1-Stretch,17.580,21.678,1.315,1.853
Stretch3,1-Stretch,17.780,21.728,1.365,1.953
Stretch3,1-Stretch,17.980,21.776,1.413,2.052
Stretch3,1-Stretch,18.180,21.825,1.462,2.152
Stretch3,1-Stretch,18.380,21.874,1.511,2.152
Stretch3,1-Stretch,18.580,21.923,1.56,2.252
Stretch3,1-Stretch,18.780,21.972,1.609,2.252
Stretch3,1-Stretch,18.980,22.021,1.658,2.550
Stretch3,1-Stretch,19.180,22.07,1.707,2.650
Stretch3,1-Stretch,19.380,22.119,1.756,2.650
Stretch3,1-Stretch,19.580,22.168,1.805,2.849
Stretch3,1-Stretch,19.780,22.217,1.854,3.049
Stretch3,1-Stretch,19.980,22.266,1.903,3.248
Stretch3,1-Stretch,20.180,22.315,1.952,3.547
Stretch3,1-Stretch,20.380,22.364,2.001,3.447
Stretch3,1-Stretch,20.580,22.413,2.05,3.646
Stretch3,1-Stretch,20.780,22.462,2.099,3.746
Stretch3,1-Stretch,20.980,22.511,2.148,3.746
Stretch3,1-Stretch,21.180,22.56,2.197,3.746
Stretch3,1-Stretch,21.380,22.609,2.246,3.945
Stretch3,1-Stretch,21.580,22.658,2.295,3.945
Stretch3,1-Stretch,21.780,22.707,2.344,4.244
Stretch3,1-Stretch,21.980,22.756,2.393,4.543
Stretch3,1-Stretch,22.180,22.805,2.442,4.543
Stretch3,1-Stretch,22.380,22.854,2.491,4.941
Stretch3,1-Stretch,22.580,22.903,2.54,5.240
Stretch3,1-Stretch,22.780,22.952,2.589,5.340
Stretch3,1-Stretch,22.980,23.001,2.638,5.639
Stretch3,1-Stretch,23.180,23.05,2.687,6.037
Stretch3,1-Stretch,23.380,23.099,2.736,6.137
Stretch3,1-Stretch,23.580,23.148,2.785,6.436
Stretch3,1-Stretch,23.780,23.196,2.833,6.934
Stretch3,1-Stretch,23.980,23.246,2.883,7.034
Stretch3,1-Stretch,24.180,23.294,2.931,7.034
Stretch3,1-Stretch,24.380,23.344,2.981,7.432
Stretch3,1-Stretch,24.580,23.392,3.029,7.332
Stretch3,1-Stretch,24.780,23.441,3.078,7.731
Stretch3,1-Stretch,24.980,23.49,3.127,7.831
Stretch3,1-Stretch,25.180,23.539,3.176,8.528
Stretch3,1-Stretch,25.380,23.588,3.225,8.528
Stretch3,1-Stretch,25.580,23.637,3.274,9.026
Stretch3,1-Stretch,25.780,23.686,3.323,9.225
Stretch3,1-Stretch,25.980,23.735,3.372,10.022
Stretch3,1-Stretch,26.180,23.784,3.421,9.724
Stretch3,1-Stretch,26.380,23.833,3.47,10.122
Stretch3,1-Stretch,26.580,23.882,3.519,10.720
Stretch3,1-Stretch,26.780,23.931,3.568,10.819
Stretch3,1-Stretch,26.980,23.98,3.617,10.819
Stretch3,1-Stretch,27.180,24.029,3.666,11.019
Stretch3,1-Stretch,27.380,24.078,3.715,11.716
Stretch3,1-Stretch,27.580,24.127,3.764,11.716
Stretch3,1-Stretch,27.780,24.176,3.813,12.413
Stretch3,1-Stretch,27.980,24.225,3.862,12.513
Stretch3,1-Stretch,28.180,24.274,3.911,13.111
Stretch3,1-Stretch,28.380,24.323,3.96,13.210
Stretch3,1-Stretch,28.580,24.372,4.009,13.808
Stretch3,1-Stretch,28.780,24.421,4.058,14.107
Stretch3,1-Stretch,28.980,24.47,4.107,14.406
Stretch3,1-Stretch,29.180,24.519,4.156,14.705
Stretch3,1-Stretch,29.380,24.568,4.205,14.904
Stretch3,1-Stretch,29.580,24.617,4.254,15.203
Stretch3,1-Stretch,29.780,24.666,4.303,15.701
Stretch3,1-Stretch,29.980,24.715,4.352,16.199
Stretch3,1-Stretch,30.180,24.764,4.401,16.498
Stretch3,1-Stretch,30.380,24.813,4.45,16.996
Stretch3,1-Stretch,30.580,24.862,4.499,17.195
Stretch3,1-Stretch,30.780,24.91,4.547,17.993
Stretch3,1-Stretch,30.980,24.96,4.597,18.291
Stretch3,1-Stretch,31.180,25.008,4.645,18.092
Stretch3,1-Stretch,31.380,25.058,4.695,18.690
Stretch3,1-Stretch,31.580,25.106,4.743,19.288
Stretch3,1-Stretch,31.780,25.155,4.792,19.686
Stretch3,1-Stretch,31.980,25.204,4.841,20.184
Stretch3,1-Stretch,32.180,25.253,4.89,20.483
Stretch3,1-Stretch,32.380,25.302,4.939,20.981
