# Stretch,Cauchy_stress
1.000000000000000000e+00,-7.789770086106046453e-03
1.002582866982350440e+00,-4.458005894704662915e-03
1.005380972879896584e+00,2.218417671360003486e-03
1.008179078777442950e+00,-1.146001844618661910e-03
1.010977184674989093e+00,-1.149182464597321447e-03
1.013811163725068187e+00,5.592548152635505067e-03
1.016573396470081825e+00,-1.155543704554641386e-03
1.019407375520160697e+00,-4.532816427287190281e-03
1.022205481417707063e+00,-4.545258264262535403e-03
1.025003587315253206e+00,-1.165126341669834404e-03
1.027801693212799572e+00,-4.570141938213227381e-03
1.030635672262878444e+00,-1.171528358806367669e-03
1.033433778160424588e+00,-1.174708978785027206e-03
1.036231884057970953e+00,-1.177889598763687175e-03
1.039029989955517097e+00,2.292665718735144038e-03
1.041863969005596191e+00,-1.184291615900220440e-03
1.044662074903142335e+00,-1.163024278081373902e-02
1.047460180800688700e+00,-4.657553818501553901e-03
1.050258286698235066e+00,2.317441453093800272e-03
1.053056392595781210e+00,-4.682437492452245012e-03
1.055854498493327576e+00,2.329789742422714530e-03
1.058688477543406448e+00,-8.246939832872781165e-03
1.061486583440952813e+00,-4.719922514108736145e-03
1.064284689338498957e+00,-4.732364351084081266e-03
1.067082795236045323e+00,-4.744806188059427256e-03
1.069916774286124195e+00,-8.334405682957126207e-03
1.072714880183670338e+00,-8.356202284575588862e-03
1.075512986081216926e+00,-4.782291209715918388e-03
1.078311091978763070e+00,-8.399795487812515907e-03
1.081145071028841942e+00,-1.561480043894384120e-02
1.083907303773855579e+00,-4.819616720641954621e-03
1.086741282823934451e+00,-8.465464736278396560e-03
1.089539388721480817e+00,-1.212986277047061780e-02
1.092337494619026961e+00,-4.857101742298444887e-03
1.095135600516573327e+00,-8.530854541133784524e-03
1.097969579566652198e+00,-8.552930586362741602e-03
1.100767685464198564e+00,-4.894586763954936019e-03
1.103565791361744930e+00,-1.228601897826905355e-02
1.106363897259291074e+00,-8.618320391218129567e-03
1.109197876309370168e+00,-1.234872108728274701e-02
1.111995982206916311e+00,-8.662193038065547565e-03
1.114794088104462677e+00,-4.956955459562118263e-03
1.117592194002008821e+00,-1.244217518606748410e-02
1.120426173052087693e+00,-8.727862286531429953e-03
1.123188405797101330e+00,-1.276733481177423158e-03
1.126022384847180202e+00,-1.626295610120141039e-02
1.128820490744726568e+00,-5.019324155169299639e-03
1.131618596642272934e+00,-8.815048693005282307e-03
1.134416702539819299e+00,-1.262948276012750004e-02
1.137250681589898171e+00,-5.056809176825790772e-03
1.140048787487444315e+00,-1.646553712753451651e-02
1.142846893384990681e+00,-8.902514543089627350e-03
1.145644999282536824e+00,-1.302259995365128917e-03
1.148478978332615918e+00,-1.658729298735108978e-02
1.151277084230162284e+00,-5.119177872432973016e-03
1.154075190127708428e+00,-5.131619709408319005e-03
1.156873296025254794e+00,-1.287949244320120597e-02
1.159671401922800937e+00,-1.318203872437641658e-03
1.162469507820347303e+00,-1.678935590364242017e-02
1.165303486870426175e+00,-9.077446243258315700e-03
1.168101592767972319e+00,-5.193988405015499514e-03
1.170899698665518684e+00,-1.691111176345898651e-02
1.173697804563065050e+00,-5.218872078966192360e-03
1.176531783613143700e+00,-1.337369146668027477e-03
1.179329889510690066e+00,-9.186708694961123398e-03
1.182127995408236432e+00,2.608417809331556661e-03
1.184926101305782575e+00,2.614591953996013574e-03
1.187760080355861669e+00,2.620845254361298202e-03
1.190558186253408035e+00,6.567548497564387570e-03
1.193356292150954179e+00,-5.306283959254518880e-03
1.196154398048500545e+00,6.598419220886674735e-03
1.198952503946046688e+00,1.062225129924346256e-02
1.201786482996125560e+00,1.466523066189863098e-02
1.204584588893671926e+00,1.469937555284600919e-02
1.207382694791218070e+00,1.473352044379338741e-02
1.210180800688764435e+00,1.476766533474076389e-02
1.212978906586310801e+00,1.480181022568814383e-02
1.215812885636389673e+00,1.483639287164766583e-02
1.218610991533935817e+00,2.297803643316055633e-02
1.221409097431482182e+00,1.894732260614707606e-02
1.224207203329028326e+00,2.308355817833491683e-02
1.227041182379107420e+00,3.946416603619793545e-02
1.229839288276653786e+00,4.366581779847478889e-02
1.232637394174199930e+00,4.788617909003785311e-02
1.235435500071746295e+00,5.621431468202649218e-02
1.238233605969292661e+00,5.220190980847990575e-02
1.241067585019371311e+00,6.887668543651853659e-02
1.243865690916917677e+00,7.730749436778058814e-02
1.246663796814464042e+00,8.164930688964494587e-02
1.249461902712010186e+00,9.432258074226142208e-02
1.252260008609556552e+00,1.153831638705494628e-01
1.255093987659635646e+00,1.365408230705994763e-01
1.257892093557181568e+00,1.494195119635043645e-01
1.260690199454728155e+00,1.539245399424863381e-01
1.263488305352274077e+00,1.753024726673328981e-01
1.266286411249820665e+00,1.925824032228196370e-01
1.269120390299899537e+00,2.225870156606231387e-01
1.271918496197445902e+00,2.442544207833917402e-01
1.274716602094992046e+00,2.872808572091126722e-01
1.277514707992538412e+00,3.091812895191413668e-01
1.280312813890084556e+00,3.311748952850154804e-01
1.283146792940163428e+00,3.746351493264305499e-01
1.285944898837709793e+00,4.054607538992460181e-01
1.288743004735255937e+00,4.492565453584776991e-01
1.291541110632802303e+00,4.803280327239647374e-01
1.294375089682881397e+00,5.331379194805601074e-01
1.297173195580427318e+00,5.731479120471076882e-01
1.299971301477973906e+00,6.307100528236131431e-01
1.302769407375520272e+00,6.841156318034213868e-01
1.305567513273066416e+00,7.464744641305488537e-01
1.308401492323145288e+00,8.003678545086451157e-01
1.311199598220691653e+00,8.719551429669468723e-01
1.313997704118237797e+00,9.526267042480387470e-01
1.316795810015784163e+00,1.002905328415689912e+00
1.319593915913330306e+00,1.088506387722787405e+00
1.322427894963409178e+00,1.156941104905084172e+00
