SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch3,1-Preload,0,23.935,0,0.165
Stretch3,1-Preload,0.2,23.935,0,-0.133
Stretch3,1-Preload,0.4,23.977,0.042,0.165
Stretch3,1-Preload,0.6,24.023,0.088,-0.133
Stretch3,1-Preload,0.8,24.065,0.13,0.165
Stretch3,1-Preload,1,24.11,0.175,-0.034
Stretch3,1-Preload,1.2,24.153,0.218,-0.233
Stretch3,1-Preload,1.4,24.201,0.266,0.066
Stretch3,1-Preload,1.6,24.245,0.31,0.066
Stretch3,1-Preload,1.8,24.282,0.347,-0.233
Stretch3,1-Preload,2,24.337,0.402,0.165
Stretch3,1-Preload,2.2,24.377,0.442,-0.034
Stretch3,1-Preload,2.4,24.418,0.483,0.066
Stretch3,1-Preload,2.6,24.464,0.529,0.066
Stretch3,1-Preload,2.8,24.506,0.571,-0.233
Stretch3,1-Preload,3,24.556,0.621,0.066
Stretch3,1-Preload,3.2,24.599,0.664,-0.133
Stretch3,1-Preload,3.4,24.646,0.711,-0.034
Stretch3,1-Preload,3.6,24.689,0.754,-0.133
Stretch3,1-Preload,3.8,24.735,0.8,-0.233
Stretch3,1-Preload,4,24.785,0.85,0.066
Stretch3,1-Preload,4.2,24.834,0.899,0.066
Stretch3,1-Preload,4.4,24.875,0.94,-0.034
Stretch3,1-Preload,4.6,24.926,0.991,0.066
Stretch3,1-Preload,4.8,24.966,1.031,-0.133
Stretch3,1-Preload,5,25.014,1.079,-0.133
Stretch3,1-Preload,5.2,25.061,1.126,-0.133
Stretch3,1-Preload,5.4,25.113,1.178,-0.133
Stretch3,1-Preload,5.6,25.156,1.221,-0.432
Stretch3,1-Preload,5.8,25.216,1.281,-0.233
Stretch3,1-Preload,6,25.265,1.33,-0.233
Stretch3,1-Preload,6.2,25.314,1.379,-0.133
Stretch3,1-Preload,6.4,25.359,1.424,-0.133
Stretch3,1-Preload,6.6,25.417,1.482,-0.034
Stretch3,1-Preload,6.8,25.472,1.537,-0.034
Stretch3,1-Preload,7,25.529,1.594,-0.034
Stretch3,1-Preload,7.2,25.569,1.634,-0.333
Stretch3,1-Preload,7.4,25.623,1.688,-0.133
Stretch3,1-Preload,7.6,25.687,1.752,-0.133
Stretch3,1-Preload,7.8,25.741,1.806,-0.233
Stretch3,1-Preload,8,25.798,1.863,-0.233
Stretch3,1-Preload,8.2,25.859,1.924,-0.133
Stretch3,1-Preload,8.4,25.915,1.98,-0.333
Stretch3,1-Preload,8.6,25.978,2.043,-0.133
Stretch3,1-Preload,8.8,26.037,2.102,-0.133
Stretch3,1-Preload,9,26.085,2.15,-0.133
Stretch3,1-Preload,9.2,26.145,2.21,-0.133
Stretch3,1-Preload,9.4,26.202,2.267,-0.333
Stretch3,1-Preload,9.6,26.255,2.32,-0.233
Stretch3,1-Preload,9.8,26.318,2.383,-0.034
Stretch3,1-Preload,10,26.37,2.435,-0.432
Stretch3,1-Preload,10.2,26.43,2.495,-0.034
Stretch3,1-Preload,10.4,26.493,2.558,-0.233
Stretch3,1-Preload,10.6,26.543,2.608,-0.233
Stretch3,1-Preload,10.8,26.602,2.667,-0.034
Stretch3,1-Preload,11,26.654,2.719,-0.333
Stretch3,1-Preload,11.2,26.704,2.769,-0.133
Stretch3,1-Preload,11.4,26.753,2.818,0.066
Stretch3,1-Preload,11.6,26.799,2.864,-0.333
