# Stretch,Cauchy_stress
1.000000000000000000e+00,9.663304695593018679e-04
1.003351561121890834e+00,9.695691851919752396e-04
1.006997118833421467e+00,3.289977709847078605e-03
1.010583877227024141e+00,9.765579926098500764e-04
1.014170635620626815e+00,9.800239865325360063e-04
1.017816193332157226e+00,9.835468000277246964e-04
1.021402951725759900e+00,9.870127939504104095e-04
1.025048509437290534e+00,3.348953720411311768e-03
1.028635267830892985e+00,9.940016013682850295e-04
1.032222026224495659e+00,9.974675952909707426e-04
1.035867583936026293e+00,-1.382320088323744402e-03
1.039454342329628966e+00,3.396019266301334404e-03
1.043041100723231640e+00,1.007922396631531292e-03
1.046686658434762052e+00,1.011445210126720199e-03
1.050273416828364503e+00,1.014911204049405912e-03
1.053860175221967177e+00,1.018377197972091626e-03
1.057505732933497811e+00,-1.411195253931006501e-03
1.061092491327100484e+00,3.466713637270838269e-03
1.064679249720703158e+00,1.028831999312652175e-03
1.068324807432233792e+00,3.490342462350319933e-03
1.071911565825836243e+00,3.502060822755590636e-03
1.075498324219438917e+00,1.039286800653212725e-03
1.079143881930969551e+00,1.042809614148401632e-03
1.082730640324572224e+00,3.537408008240342568e-03
1.086317398718174898e+00,-6.448412697961748881e-03
1.089962956429705310e+00,3.561036833319823798e-03
1.093549714823307983e+00,1.056730409411647895e-03
1.097195272534838617e+00,-6.512984083570568308e-03
1.100782030928441069e+00,3.596384018804575297e-03
1.104368789322043742e+00,-1.473731957705430411e-03
1.108014347033574376e+00,-1.478596795389262690e-03
1.111601105427177050e+00,1.074174018170083065e-03
1.115187863820779723e+00,-1.488169540509061677e-03
1.118833421532310135e+00,1.081162825587957685e-03
1.122420179925912587e+00,1.084628819510643181e-03
1.126006938319515260e+00,-1.502607123312692510e-03
1.129652496031045894e+00,3.690707214853559959e-03
1.133239254424648568e+00,-4.119600287964052081e-03
1.136826012818251241e+00,1.098549614773889661e-03
1.140471570529781875e+00,-1.521909543800156056e-03
1.144058328923384327e+00,-1.526695916360055550e-03
1.147645087316987000e+00,1.109004416114449994e-03
1.151290645028517412e+00,1.112527229609638901e-03
1.154877403422120086e+00,-1.219621165717468814e-02
1.158464161815722981e+00,1.119459217455010761e-03
1.162109719527253393e+00,-1.550784709407417939e-03
1.165696477920856067e+00,-1.555571081967317432e-03
1.169283236314458518e+00,-1.560357454527216709e-03
1.172928794025989152e+00,-6.962540541214666534e-03
1.176515552419591826e+00,-1.570008664770948699e-03
1.180161110131122459e+00,1.140425639708634621e-03
1.183747868524725133e+00,-4.303211383660680844e-03
1.187334626918327807e+00,-4.316250122703165978e-03
1.190980184629858218e+00,-1.589311085258411811e-03
1.194566943023460670e+00,-7.090985243398694599e-03
1.198153701417063344e+00,-1.598883830378210582e-03
1.201799259128593977e+00,-1.603748668062043078e-03
1.205386017522196651e+00,-1.608535040621942571e-03
1.208972775915799325e+00,-1.613321413181841848e-03
1.212559534309401998e+00,-4.407948795641295110e-03
1.216205092020932410e+00,-1.622972623425573621e-03
1.219791850414535084e+00,-4.434240023546633276e-03
1.223437408126065495e+00,-1.007722986988984770e-02
1.227024166519668169e+00,-4.460531251451970575e-03
1.230610924913270843e+00,4.020550244621599358e-03
1.234256482624801476e+00,1.192699646411436720e-03
1.237843241018404150e+00,4.044179069701080154e-03
1.241429999412006602e+00,4.055897430106350857e-03
1.245075557123537235e+00,4.067807894780560950e-03
1.248662315517139909e+00,6.952432068696980973e-03
1.252307873228670321e+00,4.091436719860041746e-03
1.255894631622273216e+00,1.280068803209531009e-02
1.259481390015875890e+00,1.573504421326850714e-02
1.263068148409478342e+00,2.740405681982064148e-02
1.266713706121008753e+00,3.625561139854282383e-02
1.270300464514611427e+00,2.756097218636959292e-02
1.273887222908214101e+00,5.111564501804012617e-02
1.277532780619744734e+00,5.420125625406341241e-02
1.281119539013347408e+00,7.206840351732406169e-02
1.284706297406950082e+00,8.412307356085277354e-02
1.288351855118480493e+00,1.051113469986450083e-01
1.291938613512083167e+00,1.084061760177062878e-01
1.295525371905685841e+00,1.325827688330558918e-01
1.299170929617216252e+00,1.508905437639958547e-01
1.302757688010818926e+00,1.753160387752359661e-01
1.306403245722349560e+00,2.059243014545164285e-01
1.309990004115952233e+00,2.215597098417068922e-01
1.313576762509554685e+00,2.554716478063485119e-01
1.317222320221085319e+00,2.834867923642045984e-01
1.320809078614687992e+00,3.268640986322371433e-01
1.324395837008290666e+00,3.521594147162930843e-01
1.328041394719821078e+00,3.928813529626831724e-01
1.331628153113423751e+00,4.460881909385133182e-01
1.335214911507026203e+00,4.811436701494224422e-01
1.338860469218556837e+00,5.287254407954932178e-01
1.342447227612159510e+00,5.703256675838490608e-01
1.346033986005762184e+00,6.307841833183512881e-01
1.349679543717292818e+00,6.822398853607403169e-01
1.353266302110895491e+00,7.463867475921435179e-01
1.356853060504498165e+00,8.077734232191056130e-01
1.360498618216028577e+00,8.726106784304415998e-01
1.364085376609631250e+00,9.440516775224930823e-01
1.367672135003233924e+00,1.025296441999059116e+00
1.371317692714764336e+00,1.103846676240058278e+00
1.374904451108367009e+00,1.176422715288053533e+00
1.378550008819897643e+00,1.271649610403535968e+00
1.382136767213500317e+00,1.354553683620143056e+00
1.385723525607102768e+00,1.447467516169986590e+00
1.389369083318633402e+00,1.540877387646323093e+00
1.392955841712236076e+00,1.653949883231464524e+00
1.396542600105838750e+00,1.764403184569943717e+00
1.400188157817369161e+00,1.865751691906442522e+00
1.403774916210971835e+00,1.986964865634486044e+00
1.407361674604574286e+00,2.108773034985923278e+00
1.411007232316104920e+00,2.227990290003642126e+00
1.414593990709707594e+00,2.360749030405586701e+00
1.418180749103310268e+00,2.494152280629821306e+00
1.421767507496912941e+00,2.624928856716528092e+00
1.425413065208443575e+00,2.769565429771055243e+00
1.428999823602046249e+00,2.911499645017480820e+00
1.432645381313576438e+00,3.064158330001258701e+00
1.436232139707179112e+00,3.217391368869449764e+00
1.439818898100781785e+00,3.361446419303501187e+00
1.443464455812312419e+00,3.512930980582536389e+00
1.447051214205915093e+00,3.658330083122830700e+00
1.449991180102310651e+00,3.789365960740042283e+00
