SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch3,1-Preload,0.000,17.551,0,0.217
Stretch3,1-Preload,0.200,17.551,0,-0.083
Stretch3,1-Preload,0.400,17.594,0.043,0.117
Stretch3,1-Preload,0.600,17.637,0.086,0.017
Stretch3,1-Preload,0.800,17.68,0.129,0.117
Stretch3,1-Preload,1.000,17.724,0.173,0.117
Stretch3,1-Preload,1.200,17.765,0.214,-0.083
Stretch3,1-Preload,1.400,17.813,0.262,0.117
Stretch3,1-Preload,1.600,17.857,0.306,0.117
Stretch3,1-Preload,1.800,17.894,0.343,0.117
Stretch3,1-Preload,2.000,17.941,0.39,0.117
Stretch3,1-Preload,2.200,17.984,0.433,0.017
Stretch3,1-Preload,2.400,18.023,0.472,0.117
Stretch3,1-Preload,2.600,18.071,0.52,0.117
Stretch3,1-Preload,2.800,18.112,0.561,-0.083
Stretch3,1-Preload,3.000,18.154,0.603,0.117
Stretch3,1-Preload,3.200,18.198,0.647,0.117
Stretch3,1-Preload,3.400,18.239,0.688,0.017
Stretch3,1-Preload,3.600,18.276,0.725,0.217
Stretch3,1-Preload,3.800,18.318,0.767,0.117
Stretch3,1-Preload,4.000,18.357,0.806,0.117
Stretch3,1-Preload,4.200,18.394,0.843,0.117
Stretch3,1-Preload,4.400,18.432,0.881,0.117
Stretch3,1-Preload,4.600,18.471,0.92,0.217
Stretch3,1-Preload,4.800,18.509,0.958,0.117
Stretch3,1-Preload,5.000,18.55,0.999,0.117
Stretch3,1-Preload,5.200,18.591,1.04,0.217
Stretch3,1-Preload,5.400,18.629,1.078,0.117
Stretch3,1-Preload,5.600,18.671,1.12,0.117
Stretch3,1-Preload,5.800,18.71,1.159,0.117
Stretch3,1-Preload,6.000,18.748,1.197,0.017
Stretch3,1-Preload,6.200,18.788,1.237,0.117
Stretch3,1-Preload,6.400,18.828,1.277,0.117
Stretch3,1-Preload,6.600,18.864,1.313,0.217
Stretch3,1-Preload,6.800,18.904,1.353,-0.083
Stretch3,1-Preload,7.000,18.948,1.397,0.117
Stretch3,1-Preload,7.200,18.981,1.43,0.117
Stretch3,1-Preload,7.400,19.022,1.471,0.217
Stretch3,1-Preload,7.600,19.061,1.51,0.017
Stretch3,1-Preload,7.800,19.1,1.549,0.217
Stretch3,1-Preload,8.000,19.139,1.588,0.117
Stretch3,1-Preload,8.200,19.178,1.627,0.017
Stretch3,1-Preload,8.400,19.218,1.667,0.017
Stretch3,1-Preload,8.600,19.262,1.711,0.217
Stretch3,1-Preload,8.800,19.304,1.753,0.017
Stretch3,1-Preload,9.000,19.345,1.794,0.117
Stretch3,1-Preload,9.200,19.388,1.837,0.217
Stretch3,1-Preload,9.400,19.428,1.877,0.017
Stretch3,1-Preload,9.600,19.474,1.923,0.117
Stretch3,1-Preload,9.800,19.518,1.967,-0.183
Stretch3,1-Preload,10.000,19.558,2.007,0.017
Stretch3,1-Preload,10.200,19.606,2.055,0.017
Stretch3,1-Preload,10.400,19.649,2.098,0.017
Stretch3,1-Preload,10.600,19.689,2.138,0.117
Stretch3,1-Preload,10.800,19.732,2.181,0.117
Stretch3,1-Preload,11.000,19.777,2.226,0.017
Stretch3,1-Preload,11.200,19.815,2.264,0.117
Stretch3,1-Preload,11.400,19.854,2.303,0.117
Stretch3,1-Preload,11.600,19.89,2.339,0.217
Stretch3,1-Preload,11.800,19.926,2.375,0.317
Stretch3,1-Preload,12.000,19.961,2.41,0.217
Stretch3,1-Preload,12.200,19.997,2.446,0.317
Stretch3,1-Preload,12.400,20.033,2.482,0.418
Stretch3,1-Preload,12.600,20.067,2.516,0.217
Stretch3,1-Preload,12.800,20.1,2.549,0.518
Stretch3,1-Preload,13.000,20.135,2.584,0.418
Stretch3,1-Preload,13.200,20.165,2.614,0.518
Stretch3,1-Preload,13.400,20.191,2.64,0.718
Stretch3,1-Preload,13.600,20.213,2.662,0.718
Stretch3,1-Preload,13.800,20.229,2.678,0.718
Stretch3,1-Preload,14.000,20.245,2.694,0.718
Stretch3,1-Preload,14.200,20.258,2.707,0.918
Stretch3,1-Preload,14.400,20.269,2.718,0.818
Stretch3,1-Preload,14.600,20.277,2.726,1.018
Stretch3,1-Stretch,14.720,20.277,0,1.018
Stretch3,1-Stretch,14.920,20.319,0.042,1.018
Stretch3,1-Stretch,15.120,20.368,0.091,1.118
Stretch3,1-Stretch,15.320,20.417,0.14,1.619
Stretch3,1-Stretch,15.520,20.466,0.189,1.819
Stretch3,1-Stretch,15.720,20.514,0.237,2.020
Stretch3,1-Stretch,15.920,20.563,0.286,2.220
Stretch3,1-Stretch,16.120,20.612,0.335,2.520
Stretch3,1-Stretch,16.320,20.661,0.384,3.021
Stretch3,1-Stretch,16.520,20.709,0.432,3.421
Stretch3,1-Stretch,16.720,20.758,0.481,4.022
Stretch3,1-Stretch,16.920,20.807,0.53,3.822
Stretch3,1-Stretch,17.120,20.856,0.579,4.222
Stretch3,1-Stretch,17.320,20.905,0.628,4.823
Stretch3,1-Stretch,17.520,20.953,0.676,5.324
Stretch3,1-Stretch,17.720,21.002,0.725,5.724
Stretch3,1-Stretch,17.920,21.051,0.774,6.125
Stretch3,1-Stretch,18.120,21.099,0.822,6.726
Stretch3,1-Stretch,18.320,21.148,0.871,7.326
Stretch3,1-Stretch,18.520,21.197,0.92,7.426
Stretch3,1-Stretch,18.720,21.246,0.969,7.927
Stretch3,1-Stretch,18.920,21.295,1.018,8.628
Stretch3,1-Stretch,19.120,21.343,1.066,9.329
Stretch3,1-Stretch,19.320,21.392,1.115,9.729
Stretch3,1-Stretch,19.520,21.441,1.164,10.430
Stretch3,1-Stretch,19.720,21.489,1.212,11.131
Stretch3,1-Stretch,19.920,21.538,1.261,11.031
Stretch3,1-Stretch,20.120,21.587,1.31,12.032
Stretch3,1-Stretch,20.320,21.636,1.359,12.833
Stretch3,1-Stretch,20.520,21.684,1.407,13.534
Stretch3,1-Stretch,20.720,21.733,1.456,14.235
Stretch3,1-Stretch,20.920,21.782,1.505,14.636
Stretch3,1-Stretch,21.120,21.83,1.553,15.537
Stretch3,1-Stretch,21.320,21.879,1.602,16.438
Stretch3,1-Stretch,21.520,21.928,1.651,17.039
Stretch3,1-Stretch,21.720,21.977,1.7,17.840
Stretch3,1-Stretch,21.920,22.026,1.749,18.240
Stretch3,1-Stretch,22.120,22.074,1.797,19.342
Stretch3,1-Stretch,22.320,22.123,1.846,20.143
Stretch3,1-Stretch,22.520,22.172,1.895,20.843
Stretch3,1-Stretch,22.720,22.221,1.944,21.644
Stretch3,1-Stretch,22.920,22.269,1.992,22.145
Stretch3,1-Stretch,23.120,22.318,2.041,23.146
Stretch3,1-Stretch,23.320,22.367,2.09,23.947
Stretch3,1-Stretch,23.520,22.416,2.139,24.949
Stretch3,1-Stretch,23.720,22.464,2.187,25.850
