# Stretch,Cauchy_stress
1.000000000000000000e+00,-1.849107052996201012e-02
1.003414774913428120e+00,-2.186746576189625008e-02
1.007021931512119828e+00,-2.527123983252674289e-02
1.010629088110811757e+00,-1.535053986433674092e-02
1.014236244709503687e+00,-2.880126782869968718e-02
1.017843401308195395e+00,-2.218190950098309841e-02
1.021450557906887102e+00,-1.551490818249577457e-02
1.025057714505579032e+00,-2.910856511917091910e-02
1.028664871104270961e+00,-1.902111468328335567e-02
1.032272027702962669e+00,-1.567927650065481168e-02
1.035879184301654377e+00,-2.257496417484165449e-02
1.039486340900346084e+00,-1.578885537942749731e-02
1.043093497499038014e+00,-2.962072726995631372e-02
1.046700654097729943e+00,-1.935461561867849248e-02
1.050307810696421651e+00,-1.595322369758652922e-02
1.053914967295113359e+00,-2.992802456042754911e-02
1.057522123893805288e+00,-1.955471617991557526e-02
1.061129280492496996e+00,-2.312524071824363647e-02
1.064736437091188925e+00,-2.320385165301535116e-02
1.068343593689880633e+00,-1.622717089451825370e-02
1.071950750288572562e+00,-2.690063011688585692e-02
1.075557906887264270e+00,-1.988821711531071554e-02
1.079165063485955978e+00,-1.995491730238974082e-02
1.082772220084647907e+00,-2.717219516427904491e-02
1.086379376683339615e+00,-2.008831767654779832e-02
1.089986533282031544e+00,-2.375412819641733314e-02
1.093593689880723252e+00,-2.022171805070585235e-02
1.097200846479414960e+00,-1.300632526315137656e-02
1.100808003078106889e+00,-3.125964615246957373e-02
1.104415159676798819e+00,-1.309184443158484951e-02
1.108022316275490526e+00,-1.682985472776804201e-02
1.111629472874182234e+00,-1.688464416715438482e-02
1.115236629472873942e+00,-2.062191917318001791e-02
1.118843786071565871e+00,-2.807741198892299561e-02
1.122450942670257801e+00,-1.704901248531342020e-02
1.126106194690265516e+00,-1.710453245055825258e-02
1.129665255867641216e+00,-1.715859136408610583e-02
1.133272412466333146e+00,-2.095542010857516166e-02
1.136927664486340861e+00,-1.726890076871728449e-02
1.140486725663716783e+00,-9.753579473264113731e-03
1.144093882262408490e+00,-6.006656761607404721e-03
1.147749134282416206e+00,-9.815688464132533986e-03
1.151308195459792127e+00,-2.128892104397030194e-02
1.154915352058484057e+00,-9.876974819360315877e-03
1.158522508657175765e+00,-2.256994577981380218e-03
1.162129665255867472e+00,-1.377599777905258970e-02
1.165784917275875188e+00,-2.271142958140595809e-03
1.169343978453251109e+00,-1.000037016545651629e-02
1.172951135051943039e+00,-6.158161472258340610e-03
1.176606387071950532e+00,-2.292224981556645683e-03
1.180165448249326676e+00,-1.009291667502866877e-02
1.183772604848018384e+00,-6.214975738752441352e-03
1.187427856868026099e+00,-1.015502566589708902e-02
1.191035013466717807e+00,-2.320334346111378992e-03
1.194594074644093729e+00,-2.327267989368213275e-03
1.198249326664101666e+00,-1.024757217546924150e-02
1.201856483262793374e+00,-2.341416369527428865e-03
1.205463639861485081e+00,-6.328856779591727870e-03
1.209070796460176789e+00,-6.347794868423093338e-03
1.212677953058868718e+00,-2.362498392943479172e-03
1.216285109657560648e+00,-2.369525734082162608e-03
1.219892266256252356e+00,-2.376553075220846044e-03
1.223499422854944063e+00,-2.383580416359528612e-03
1.227106579453635993e+00,-6.442485312579928486e-03
1.230713736052327700e+00,-2.397635098636895484e-03
1.234320892651019630e+00,-2.404662439775578919e-03
1.237928049249711338e+00,-2.411689780914262355e-03
1.241535205848403045e+00,-2.418717122052945357e-03
1.245142362447094975e+00,-6.537175756736762766e-03
1.248749519045786682e+00,-2.432771804330312228e-03
1.252356675644478612e+00,-2.439799145468995664e-03
1.255963832243170319e+00,-2.446826486607678666e-03
1.259570988841862249e+00,-2.453853827746362102e-03
1.263178145440553957e+00,-2.460881168885045538e-03
1.266785302039245664e+00,-2.467908510023728540e-03
1.270392458637937594e+00,5.914677203625424810e-03
1.273999615236629301e+00,-2.481963192301094977e-03
1.277606771835321231e+00,5.948265512118793008e-03
1.281213928434012939e+00,1.442613720730941650e-02
1.284821085032704646e+00,2.723652590661707062e-02
1.288428241631396576e+00,3.156735317266144009e-02
1.292035398230088505e+00,3.592200193409116754e-02
1.295642554828780213e+00,5.745598105348950768e-02
1.299249711427471921e+00,6.619612741287302093e-02
1.302856868026163850e+00,1.008389563353619817e-01
1.306464024624855780e+00,1.183738002785615362e-01
1.310071181223547487e+00,1.490246627068629592e-01
1.313678337822239195e+00,1.711670428184035586e-01
1.317285494420930902e+00,2.151769998588188848e-01
1.320892651019622832e+00,2.725536966232671165e-01
1.324499807618314762e+00,3.083294758662841750e-01
1.328106964217006469e+00,3.662668115246269784e-01
1.331714120815698177e+00,4.288676193986752372e-01
1.335321277414390106e+00,4.830278584512066042e-01
1.338928434013081814e+00,5.595799855460444894e-01
1.342535590611773744e+00,6.188054685673510802e-01
1.346142747210465451e+00,7.094556330611572204e-01
1.349749903809157159e+00,7.872121749626791454e-01
1.353357060407849088e+00,9.012135635847521309e-01
1.356964217006540796e+00,9.977991712737606100e-01
1.360571373605232726e+00,1.094930432547966737e+00
1.364178530203924433e+00,1.224094061641953113e+00
1.367785686802616363e+00,1.340421381073453100e+00
1.371392843401308070e+00,1.470884830063142079e+00
1.374999999999999778e+00,1.611141834171550657e+00
1.378607156598691708e+00,1.756666564959511234e+00
1.382214313197383637e+00,1.912058794375967041e+00
1.385821469796075345e+00,2.068238085999955622e+00
1.389428626394767052e+00,2.234426040845993722e+00
1.393035782993458760e+00,2.424447798850014824e+00
1.396642939592150690e+00,2.601542442827340818e+00
1.400250096190842619e+00,2.811977060972940201e+00
1.403857252789534327e+00,3.009508386587229634e+00
1.407464409388226034e+00,3.222006303555632112e+00
1.411071565986917964e+00,3.458850424047758221e+00
1.414678722585609894e+00,3.687520754233287068e+00
1.418285879184301601e+00,3.931361565540033354e+00
1.421893035782993309e+00,4.185831947346049020e+00
1.425500192381685016e+00,4.427374738695461609e+00
1.429155444401692732e+00,4.693885762044198273e+00
1.432714505579068875e+00,4.951907306277093745e+00
