SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch4,1-Stretch,0.000,19.589,0,0.122
Stretch4,1-Stretch,0.200,19.644,0.055,0.022
Stretch4,1-Stretch,0.400,19.707,0.118,0.122
Stretch4,1-Stretch,0.600,19.77,0.181,0.022
Stretch4,1-Stretch,0.800,19.832,0.243,0.122
Stretch4,1-Stretch,1.000,19.895,0.306,0.022
Stretch4,1-Stretch,1.200,19.958,0.369,-0.078
Stretch4,1-Stretch,1.400,20.021,0.432,0.122
Stretch4,1-Stretch,1.600,20.083,0.494,0.022
Stretch4,1-Stretch,1.800,20.147,0.558,0.022
Stretch4,1-Stretch,2.000,20.209,0.62,-0.078
Stretch4,1-Stretch,2.200,20.272,0.683,0.022
Stretch4,1-Stretch,2.400,20.335,0.746,-0.078
Stretch4,1-Stretch,2.600,20.398,0.809,0.122
Stretch4,1-Stretch,2.800,20.46,0.871,0.022
Stretch4,1-Stretch,3.000,20.523,0.934,0.022
Stretch4,1-Stretch,3.200,20.586,0.997,0.122
Stretch4,1-Stretch,3.400,20.649,1.06,0.022
Stretch4,1-Stretch,3.600,20.712,1.123,0.122
Stretch4,1-Stretch,3.800,20.774,1.185,0.022
Stretch4,1-Stretch,4.000,20.837,1.248,-0.278
Stretch4,1-Stretch,4.200,20.9,1.311,-0.078
Stretch4,1-Stretch,4.400,20.963,1.374,-0.078
Stretch4,1-Stretch,4.600,21.026,1.437,-0.178
Stretch4,1-Stretch,4.800,21.089,1.5,0.122
Stretch4,1-Stretch,5.000,21.151,1.562,-0.078
Stretch4,1-Stretch,5.200,21.214,1.625,0.022
Stretch4,1-Stretch,5.400,21.277,1.688,0.022
Stretch4,1-Stretch,5.600,21.34,1.751,-0.078
Stretch4,1-Stretch,5.800,21.403,1.814,-0.078
Stretch4,1-Stretch,6.000,21.466,1.877,-0.078
Stretch4,1-Stretch,6.200,21.528,1.939,-0.078
Stretch4,1-Stretch,6.400,21.591,2.002,-0.078
Stretch4,1-Stretch,6.600,21.654,2.065,-0.178
Stretch4,1-Stretch,6.800,21.717,2.128,0.022
Stretch4,1-Stretch,7.000,21.78,2.191,-0.078
Stretch4,1-Stretch,7.200,21.842,2.253,-0.278
Stretch4,1-Stretch,7.400,21.905,2.316,-0.078
Stretch4,1-Stretch,7.600,21.968,2.379,-0.078
Stretch4,1-Stretch,7.800,22.031,2.442,-0.078
Stretch4,1-Stretch,8.000,22.094,2.505,-0.178
Stretch4,1-Stretch,8.200,22.157,2.568,-0.178
Stretch4,1-Stretch,8.400,22.219,2.63,-0.378
Stretch4,1-Stretch,8.600,22.282,2.693,-0.078
Stretch4,1-Stretch,8.800,22.345,2.756,-0.579
Stretch4,1-Stretch,9.000,22.408,2.819,-0.178
Stretch4,1-Stretch,9.200,22.471,2.882,-0.078
Stretch4,1-Stretch,9.400,22.533,2.944,-0.278
Stretch4,1-Stretch,9.600,22.596,3.007,0.022
Stretch4,1-Stretch,9.800,22.659,3.07,-0.178
Stretch4,1-Stretch,10.000,22.721,3.132,-0.078
Stretch4,1-Stretch,10.200,22.785,3.196,-0.078
Stretch4,1-Stretch,10.400,22.848,3.259,-0.479
Stretch4,1-Stretch,10.600,22.91,3.321,-0.078
Stretch4,1-Stretch,10.800,22.973,3.384,0.022
Stretch4,1-Stretch,11.000,23.036,3.447,0.122
Stretch4,1-Stretch,11.200,23.098,3.509,-0.178
Stretch4,1-Stretch,11.400,23.161,3.572,-0.178
Stretch4,1-Stretch,11.600,23.224,3.635,-0.078
Stretch4,1-Stretch,11.800,23.287,3.698,0.022
Stretch4,1-Stretch,12.000,23.35,3.761,0.022
Stretch4,1-Stretch,12.200,23.413,3.824,0.022
Stretch4,1-Stretch,12.400,23.475,3.886,-0.078
Stretch4,1-Stretch,12.600,23.538,3.949,0.122
Stretch4,1-Stretch,12.800,23.601,4.012,0.122
Stretch4,1-Stretch,13.000,23.664,4.075,0.122
