SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch3,1-Preload,0.000,15.884,0,-0.191
Stretch3,1-Preload,0.200,15.884,0,0.209
Stretch3,1-Preload,0.400,15.923,0.039,-0.191
Stretch3,1-Preload,0.600,15.966,0.082,0.009
Stretch3,1-Preload,0.800,16.017,0.133,0.209
Stretch3,1-Preload,1.000,16.06,0.176,-0.191
Stretch3,1-Preload,1.200,16.104,0.22,0.610
Stretch3,1-Preload,1.400,16.133,0.249,0.410
Stretch3,1-Preload,1.600,16.171,0.287,0.309
Stretch3,1-Preload,1.800,16.211,0.327,0.209
Stretch3,1-Preload,2.000,16.255,0.371,-0.191
Stretch3,1-Preload,2.200,16.299,0.415,0.109
Stretch3,1-Preload,2.400,16.341,0.457,0.309
Stretch3,1-Preload,2.600,16.38,0.496,0.009
Stretch3,1-Preload,2.800,16.419,0.535,0.410
Stretch3,1-Preload,3.000,16.458,0.574,0.109
Stretch3,1-Preload,3.200,16.494,0.61,0.309
Stretch3,1-Preload,3.400,16.53,0.646,0.510
Stretch3,1-Preload,3.600,16.561,0.677,0.109
Stretch3,1-Preload,3.800,16.594,0.71,0.510
Stretch3,1-Preload,4.000,16.628,0.744,0.510
Stretch3,1-Preload,4.200,16.655,0.771,0.610
Stretch3,1-Preload,4.400,16.684,0.8,0.610
Stretch3,1-Preload,4.600,16.712,0.828,0.510
Stretch3,1-Preload,4.800,16.739,0.855,0.610
Stretch3,1-Preload,5.000,16.763,0.879,0.610
Stretch3,1-Preload,5.200,16.789,0.905,0.610
Stretch3,1-Preload,5.400,16.815,0.931,0.610
Stretch3,1-Preload,5.600,16.839,0.955,0.610
Stretch3,1-Preload,5.800,16.863,0.979,0.610
Stretch3,1-Preload,6.000,16.887,1.003,0.610
Stretch3,1-Preload,6.200,16.913,1.029,0.610
Stretch3,1-Preload,6.400,16.936,1.052,0.610
Stretch3,1-Preload,6.600,16.961,1.077,0.610
Stretch3,1-Preload,6.800,16.984,1.1,0.610
Stretch3,1-Preload,7.000,16.995,1.111,0.710
Stretch3,1-Preload,7.200,17.016,1.132,0.910
Stretch3,1-Preload,7.400,17.025,1.141,0.610
Stretch3,1-Preload,7.600,17.04,1.156,0.910
Stretch3,1-Preload,7.800,17.059,1.175,0.810
Stretch3,1-Preload,8.000,17.067,1.183,0.710
Stretch3,1-Preload,8.200,17.084,1.2,1.010
Stretch3,1-Preload,8.400,17.094,1.21,0.610
Stretch3,1-Preload,8.600,17.101,1.217,0.810
Stretch3,1-Stretch,8.650,17.101,0,0.710
Stretch3,1-Stretch,8.850,17.137,0.036,1.010
Stretch3,1-Stretch,9.050,17.178,0.077,0.710
Stretch3,1-Stretch,9.250,17.219,0.118,1.311
Stretch3,1-Stretch,9.450,17.26,0.159,1.411
Stretch3,1-Stretch,9.650,17.301,0.2,1.411
Stretch3,1-Stretch,9.850,17.342,0.241,1.411
Stretch3,1-Stretch,10.050,17.383,0.282,1.311
Stretch3,1-Stretch,10.250,17.424,0.323,1.411
Stretch3,1-Stretch,10.450,17.466,0.365,1.611
Stretch3,1-Stretch,10.650,17.507,0.406,1.411
Stretch3,1-Stretch,10.850,17.548,0.447,1.811
Stretch3,1-Stretch,11.050,17.589,0.488,1.711
Stretch3,1-Stretch,11.250,17.63,0.529,2.112
Stretch3,1-Stretch,11.450,17.671,0.57,1.911
Stretch3,1-Stretch,11.650,17.712,0.611,2.112
Stretch3,1-Stretch,11.850,17.753,0.652,2.212
Stretch3,1-Stretch,12.050,17.795,0.694,2.212
Stretch3,1-Stretch,12.250,17.836,0.735,2.712
Stretch3,1-Stretch,12.450,17.877,0.776,2.813
Stretch3,1-Stretch,12.650,17.918,0.817,2.612
Stretch3,1-Stretch,12.850,17.959,0.858,3.013
Stretch3,1-Stretch,13.050,18,0.899,3.013
Stretch3,1-Stretch,13.250,18.041,0.94,3.113
Stretch3,1-Stretch,13.450,18.082,0.981,3.513
Stretch3,1-Stretch,13.650,18.124,1.023,3.413
Stretch3,1-Stretch,13.850,18.165,1.064,3.313
Stretch3,1-Stretch,14.050,18.206,1.105,3.113
Stretch3,1-Stretch,14.250,18.247,1.146,3.413
Stretch3,1-Stretch,14.450,18.288,1.187,3.413
Stretch3,1-Stretch,14.650,18.329,1.228,3.814
Stretch3,1-Stretch,14.850,18.37,1.269,3.814
Stretch3,1-Stretch,15.050,18.411,1.31,3.814
Stretch3,1-Stretch,15.250,18.453,1.352,4.214
Stretch3,1-Stretch,15.450,18.494,1.393,3.914
Stretch3,1-Stretch,15.650,18.535,1.434,4.415
Stretch3,1-Stretch,15.850,18.576,1.475,4.615
Stretch3,1-Stretch,16.050,18.617,1.516,4.615
Stretch3,1-Stretch,16.250,18.658,1.557,4.815
Stretch3,1-Stretch,16.450,18.699,1.598,4.815
Stretch3,1-Stretch,16.650,18.74,1.639,4.715
Stretch3,1-Stretch,16.850,18.781,1.68,5.216
Stretch3,1-Stretch,17.050,18.823,1.722,5.316
Stretch3,1-Stretch,17.250,18.864,1.763,5.316
Stretch3,1-Stretch,17.450,18.905,1.804,5.115
Stretch3,1-Stretch,17.650,18.946,1.845,5.416
Stretch3,1-Stretch,17.850,18.987,1.886,5.416
Stretch3,1-Stretch,18.050,19.028,1.927,5.516
Stretch3,1-Stretch,18.250,19.069,1.968,6.017
Stretch3,1-Stretch,18.450,19.11,2.009,5.816
Stretch3,1-Stretch,18.650,19.152,2.051,6.117
Stretch3,1-Stretch,18.850,19.192,2.091,6.017
Stretch3,1-Stretch,19.050,19.234,2.133,5.816
Stretch3,1-Stretch,19.250,19.275,2.174,6.217
Stretch3,1-Stretch,19.450,19.316,2.215,6.217
Stretch3,1-Stretch,19.650,19.357,2.256,6.217
Stretch3,1-Stretch,19.850,19.398,2.297,6.317
Stretch3,1-Stretch,20.050,19.439,2.338,6.617
Stretch3,1-Stretch,20.250,19.481,2.38,6.818
Stretch3,1-Stretch,20.450,19.521,2.42,6.818
Stretch3,1-Stretch,20.650,19.563,2.462,6.617
Stretch3,1-Stretch,20.850,19.604,2.503,6.918
Stretch3,1-Stretch,21.050,19.645,2.544,7.018
Stretch3,1-Stretch,21.250,19.686,2.585,7.018
Stretch3,1-Stretch,21.450,19.727,2.626,7.318
Stretch3,1-Stretch,21.650,19.768,2.667,7.118
Stretch3,1-Stretch,21.850,19.809,2.708,7.018
Stretch3,1-Stretch,22.050,19.85,2.749,7.018
Stretch3,1-Stretch,22.250,19.892,2.791,7.218
Stretch3,1-Stretch,22.450,19.933,2.832,7.018
Stretch3,1-Stretch,22.650,19.974,2.873,7.318
Stretch3,1-Stretch,22.850,20.015,2.914,7.318
Stretch3,1-Stretch,23.050,20.056,2.955,7.418
Stretch3,1-Stretch,23.250,20.097,2.996,7.819
Stretch3,1-Stretch,23.450,20.138,3.037,7.819
Stretch3,1-Stretch,23.650,20.18,3.079,7.919
Stretch3,1-Stretch,23.850,20.22,3.119,8.119
Stretch3,1-Stretch,24.050,20.262,3.161,7.819
Stretch3,1-Stretch,24.250,20.303,3.202,8.520
Stretch3,1-Stretch,24.450,20.344,3.243,8.520
Stretch3,1-Stretch,24.650,20.385,3.284,8.620
Stretch3,1-Stretch,24.850,20.426,3.325,9.020
Stretch3,1-Stretch,25.050,20.467,3.366,8.720
Stretch3,1-Stretch,25.250,20.509,3.408,8.820
Stretch3,1-Stretch,25.450,20.549,3.448,9.020
Stretch3,1-Stretch,25.650,20.591,3.49,9.321
Stretch3,1-Stretch,25.850,20.632,3.531,9.421
Stretch3,1-Stretch,26.050,20.673,3.572,9.421
Stretch3,1-Stretch,26.250,20.714,3.613,10.122
Stretch3,1-Stretch,26.450,20.755,3.654,9.821
Stretch3,1-Stretch,26.650,20.796,3.695,10.122
Stretch3,1-Stretch,26.850,20.838,3.737,10.222
Stretch3,1-Stretch,27.050,20.878,3.777,10.422
Stretch3,1-Stretch,27.250,20.92,3.819,10.923
Stretch3,1-Stretch,27.450,20.961,3.86,10.823
Stretch3,1-Stretch,27.650,21.002,3.901,10.723
Stretch3,1-Stretch,27.850,21.043,3.942,10.923
Stretch3,1-Stretch,28.050,21.084,3.983,11.023
Stretch3,1-Stretch,28.250,21.125,4.024,11.123
Stretch3,1-Stretch,28.450,21.166,4.065,11.223
Stretch3,1-Stretch,28.650,21.207,4.106,11.524
Stretch3,1-Stretch,28.850,21.249,4.148,11.824
Stretch3,1-Stretch,29.050,21.29,4.189,11.924
Stretch3,1-Stretch,29.250,21.331,4.23,12.124
Stretch3,1-Stretch,29.450,21.372,4.271,12.224
Stretch3,1-Stretch,29.650,21.413,4.312,12.625
Stretch3,1-Stretch,29.850,21.454,4.353,12.525
Stretch3,1-Stretch,30.050,21.495,4.394,12.625
Stretch3,1-Stretch,30.250,21.536,4.435,12.925
Stretch3,1-Stretch,30.450,21.577,4.476,13.326
