SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch3,1-Preload,0.000,19.14,0,-0.084
Stretch3,1-Preload,0.200,19.14,0,-0.185
Stretch3,1-Preload,0.400,19.196,0.056,-0.185
Stretch3,1-Preload,0.600,19.261,0.121,-0.185
Stretch3,1-Preload,0.800,19.322,0.182,-0.388
Stretch3,1-Preload,1.000,19.389,0.249,-0.084
Stretch3,1-Preload,1.200,19.448,0.308,-0.388
Stretch3,1-Preload,1.400,19.505,0.365,-0.388
Stretch3,1-Preload,1.600,19.579,0.439,-0.185
Stretch3,1-Preload,1.800,19.644,0.504,-0.287
Stretch3,1-Preload,2.000,19.702,0.562,-0.185
Stretch3,1-Preload,2.200,19.767,0.627,-0.185
Stretch3,1-Preload,2.400,19.831,0.691,-0.388
Stretch3,1-Preload,2.600,19.902,0.762,-0.185
Stretch3,1-Preload,2.800,19.971,0.831,-0.287
Stretch3,1-Preload,3.000,20.029,0.889,-0.084
Stretch3,1-Preload,3.200,20.092,0.952,-0.084
Stretch3,1-Preload,3.400,20.148,1.008,-0.388
Stretch3,1-Preload,3.600,20.21,1.07,-0.185
Stretch3,1-Preload,3.800,20.278,1.138,-0.287
Stretch3,1-Preload,4.000,20.341,1.201,-0.287
Stretch3,1-Preload,4.200,20.408,1.268,-0.287
Stretch3,1-Preload,4.400,20.468,1.328,-0.388
Stretch3,1-Preload,4.600,20.531,1.391,-0.287
Stretch3,1-Preload,4.800,20.597,1.457,-0.084
Stretch3,1-Preload,5.000,20.656,1.516,-0.489
Stretch3,1-Preload,5.200,20.718,1.578,-0.084
Stretch3,1-Preload,5.400,20.766,1.626,-0.388
Stretch3,1-Preload,5.600,20.827,1.687,-0.185
Stretch3,1-Preload,5.800,20.883,1.743,-0.084
Stretch3,1-Preload,6.000,20.939,1.799,-0.287
Stretch3,1-Preload,6.200,20.992,1.852,-0.185
Stretch3,1-Preload,6.400,21.06,1.92,-0.185
Stretch3,1-Preload,6.600,21.121,1.981,-0.185
Stretch3,1-Preload,6.800,21.18,2.04,-0.185
Stretch3,1-Preload,7.000,21.245,2.105,-0.287
Stretch3,1-Preload,7.200,21.3,2.16,-0.388
Stretch3,1-Preload,7.400,21.356,2.216,-0.084
Stretch3,1-Preload,7.600,21.417,2.277,-0.185
Stretch3,1-Preload,7.800,21.478,2.338,-0.185
Stretch3,1-Preload,8.000,21.546,2.406,-0.185
Stretch3,1-Preload,8.200,21.608,2.468,-0.185
Stretch3,1-Preload,8.400,21.66,2.52,-0.185
Stretch3,1-Preload,8.600,21.726,2.586,-0.185
Stretch3,1-Preload,8.800,21.784,2.644,-0.388
