# Stretch,Cauchy_stress
1.000000000000000000e+00,-1.117043450454231930e-03
1.002585615534800301e+00,-1.119931695352773416e-03
1.005382301725502581e+00,-4.219047146836896883e-03
1.008178987916205083e+00,1.947986569232213307e-03
1.010975674106907141e+00,-1.129303755329672627e-03
1.013825127961585082e+00,-7.345859799537808946e-03
1.016621814152287362e+00,5.064210052688446033e-03
1.019418500342989642e+00,-1.138734759080011708e-03
1.022215186533692144e+00,-1.141858779072311590e-03
1.025011872724394424e+00,-1.144982799064611688e-03
1.027861326579072365e+00,-7.447561704845521470e-03
1.030658012769774645e+00,1.991420164882423075e-03
1.033454698960477147e+00,5.148061553093700830e-03
1.036251385151179427e+00,-1.157537822807250651e-03
1.039048071341881707e+00,2.007631295653276773e-03
1.041844757532583987e+00,-1.163785862791850414e-03
1.044694211387261706e+00,2.018540672964479372e-03
1.047490897577964208e+00,5.217981612992752052e-03
1.050287583768666488e+00,2.029348093478381548e-03
1.053084269959368990e+00,-1.176340886534489377e-03
1.055880956150071270e+00,2.040155513992284158e-03
1.058730410004748990e+00,2.045661181046535670e-03
1.061474328531475830e+00,2.050962934506186334e-03
1.064323782386153772e+00,-1.188895910277128340e-03
1.067120468576856052e+00,-1.192019930269428004e-03
1.069917154767558332e+00,5.329695994410408796e-03
1.072713840958260834e+00,-4.501601293657024085e-03
1.075510527148963114e+00,-1.201391990246327649e-03
1.078359981003640833e+00,2.083589109642494143e-03
1.081156667194343335e+00,-4.537031280719108946e-03
1.083953353385045615e+00,2.094396530156396753e-03
1.086750039575747895e+00,-1.213947013988966612e-03
1.089546725766450175e+00,-4.572239830362054801e-03
1.092396179621128338e+00,5.441673233196108427e-03
1.095192865811830396e+00,-7.935424979930631381e-03
1.097989552002532898e+00,-1.226502037731605791e-03
1.100786238193235178e+00,2.126920748495404138e-03
1.103582924383937680e+00,-7.996216720321332530e-03
1.106379610574639738e+00,2.137728169009306314e-03
1.109229064429317679e+00,2.143233836063558259e-03
1.111972982956044520e+00,-4.666350733495718689e-03
1.114822436810722239e+00,5.553387614613765171e-03
1.117619123001424741e+00,-8.097918625629042452e-03
1.120415809192127021e+00,2.164848677091362611e-03
1.123265263046804741e+00,2.170354344145614556e-03
1.126009181573531581e+00,-8.158710366019741866e-03
1.128858635428209523e+00,2.181161764659516732e-03
1.131655321618912025e+00,-1.264108165186083026e-03
1.134452007809614082e+00,-4.760683074048518981e-03
1.137248694000316585e+00,5.665101996031422782e-03
1.140045380191018864e+00,-4.784155440477151286e-03
1.142894834045696806e+00,-1.276663188928721772e-03
1.145691520236399086e+00,5.707159174918069455e-03
1.148488206427101366e+00,-8.321586349708032238e-03
1.151284892617803868e+00,2.224493403512426727e-03
1.154081578808506148e+00,-1.289159268897921299e-03
1.156878264999208428e+00,-1.292283288890221180e-03
1.159727718853886369e+00,5.777079234817122412e-03
1.162524405044588649e+00,2.246210201337531503e-03
1.165321091235290929e+00,1.650010819590331732e-02
1.168117777425993431e+00,2.010156319461433097e-02
1.170914463616695711e+00,2.014968998909030112e-02
1.173763917471373430e+00,2.381323349120768873e-02
1.176507835998100271e+00,2.745634102776605898e-02
1.179357289852778212e+00,3.111896691870773626e-02
1.182153976043480492e+00,4.564707294038958946e-02
1.184950662234182772e+00,4.940402002035935297e-02
1.187747348424885274e+00,5.676404384934722464e-02
1.190544034615587554e+00,6.782436023357962807e-02
1.193393488470265273e+00,7.893950229248565542e-02
1.196190174660967775e+00,8.645551842826904032e-02
1.198986860851670055e+00,1.049737626560975495e-01
1.201783547042372335e+00,1.309790386139267071e-01
1.204580233233074615e+00,1.349568798744738840e-01
1.207429687087752779e+00,1.389578493972588313e-01
1.210226373278454837e+00,1.614943097773656744e-01
1.213023059469157339e+00,1.841334406523546519e-01
1.215819745659859619e+00,1.994239158812547708e-01
1.218616431850561899e+00,2.296829234139026732e-01
1.221413118041264179e+00,2.601155872684784431e-01
1.224262571895942120e+00,2.756915925082199514e-01
1.227059258086644622e+00,3.063651691232932572e-01
1.229855944277346680e+00,3.371385662221489943e-01
1.232652630468049182e+00,3.718445963003987886e-01
1.235449316658751462e+00,4.067046321209715765e-01
1.238298770513429181e+00,4.189702212260476011e-01
1.241042689040156022e+00,4.730650329359055717e-01
1.243892142894833963e+00,5.045695781589562001e-01
1.246688829085536465e+00,5.590746879172776573e-01
1.249485515276238523e+00,5.832640878259773842e-01
1.252282201466941025e+00,6.343612183530662474e-01
1.255078887657643305e+00,6.856807453304175626e-01
1.257928341512321246e+00,7.180370742788443339e-01
1.260725027703023526e+00,7.774492420244893953e-01
1.263521713893725806e+00,8.333032991548762203e-01
1.266318400084428308e+00,8.777366401463961854e-01
1.269115086275130588e+00,9.379140064003846922e-01
1.271964540129808530e+00,1.002229574433250336e+00
1.274761226320510810e+00,1.062931157932861748e+00
1.277557912511213090e+00,1.135614678762082885e+00
1.280354598701915370e+00,1.196816627989048198e+00
1.283151284892617872e+00,1.274003038909567564e+00
1.285947971083320152e+00,1.343633399720613131e+00
1.288797424937997871e+00,1.421511006038459479e+00
1.291541343464724712e+00,1.495620082028317643e+00
1.294390797319402653e+00,1.586024932047688685e+00
1.297187483510104933e+00,1.660884241199736655e+00
1.299984169700807213e+00,1.751907347679490856e+00
1.302833623555485154e+00,1.843420681557567553e+00
1.305577542082211995e+00,1.943123096182660436e+00
1.308426995936889714e+00,2.047422287178615186e+00
1.311223682127592216e+00,2.148032875603366421e+00
1.314020368318294496e+00,2.241040485116535752e+00
1.316817054508996776e+00,2.354540620722020527e+00
1.319613740699699056e+00,2.472566245780154048e+00
1.322463194554376997e+00,2.583069428238125465e+00
1.325259880745079277e+00,2.697959550419663621e+00
1.328056566935781779e+00,2.821450706601562608e+00
1.330853253126484059e+00,2.949496064226075465e+00
