SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch3,1-Preload,0.000,17.408,0,0.142
Stretch3,1-Preload,0.200,17.408,0,-0.263
Stretch3,1-Preload,0.400,17.447,0.039,-0.061
Stretch3,1-Preload,0.600,17.498,0.09,0.041
Stretch3,1-Preload,0.800,17.539,0.131,-0.263
Stretch3,1-Preload,1.000,17.587,0.179,0.041
Stretch3,1-Preload,1.200,17.636,0.228,-0.162
Stretch3,1-Preload,1.400,17.677,0.269,-0.061
Stretch3,1-Preload,1.600,17.719,0.311,0.142
Stretch3,1-Preload,1.800,17.763,0.355,-0.263
Stretch3,1-Preload,2.000,17.81,0.402,0.041
Stretch3,1-Preload,2.200,17.855,0.447,0.243
Stretch3,1-Preload,2.400,17.895,0.487,-0.162
Stretch3,1-Preload,2.600,17.937,0.529,0.041
Stretch3,1-Preload,2.800,17.983,0.575,-0.162
Stretch3,1-Preload,3.000,18.024,0.616,-0.061
Stretch3,1-Preload,3.200,18.072,0.664,0.142
Stretch3,1-Preload,3.400,18.115,0.707,-0.263
Stretch3,1-Preload,3.600,18.159,0.751,-0.061
Stretch3,1-Preload,3.800,18.209,0.801,0.041
Stretch3,1-Preload,4.000,18.247,0.839,-0.263
Stretch3,1-Preload,4.200,18.295,0.887,0.041
Stretch3,1-Preload,4.400,18.34,0.932,-0.061
Stretch3,1-Preload,4.600,18.381,0.973,-0.061
Stretch3,1-Preload,4.800,18.43,1.022,0.142
Stretch3,1-Preload,5.000,18.473,1.065,-0.263
Stretch3,1-Preload,5.200,18.516,1.108,-0.061
Stretch3,1-Preload,5.400,18.567,1.159,0.041
Stretch3,1-Preload,5.600,18.607,1.199,-0.263
Stretch3,1-Preload,5.800,18.657,1.249,0.041
Stretch3,1-Preload,6.000,18.707,1.299,-0.162
Stretch3,1-Preload,6.200,18.749,1.341,-0.061
Stretch3,1-Preload,6.400,18.79,1.382,0.243
Stretch3,1-Preload,6.600,18.827,1.419,-0.061
Stretch3,1-Preload,6.800,18.863,1.455,0.344
Stretch3,1-Preload,7.000,18.905,1.497,0.041
Stretch3,1-Preload,7.200,18.941,1.533,-0.263
Stretch3,1-Preload,7.400,18.99,1.582,0.041
Stretch3,1-Preload,7.600,19.037,1.629,-0.061
Stretch3,1-Preload,7.800,19.078,1.67,-0.061
Stretch3,1-Preload,8.000,19.125,1.717,0.142
Stretch3,1-Preload,8.200,19.164,1.756,-0.263
Stretch3,1-Preload,8.400,19.211,1.803,0.041
Stretch3,1-Preload,8.600,19.26,1.852,-0.061
Stretch3,1-Preload,8.800,19.299,1.891,-0.263
Stretch3,1-Preload,9.000,19.347,1.939,0.041
Stretch3,1-Preload,9.200,19.393,1.985,-0.162
Stretch3,1-Preload,9.400,19.435,2.027,-0.061
Stretch3,1-Preload,9.600,19.484,2.076,0.142
Stretch3,1-Preload,9.800,19.526,2.118,-0.263
Stretch3,1-Preload,10.000,19.57,2.162,0.041
Stretch3,1-Preload,10.200,19.619,2.211,0.142
Stretch3,1-Preload,10.400,19.659,2.251,-0.263
Stretch3,1-Preload,10.600,19.702,2.294,0.041
Stretch3,1-Preload,10.800,19.742,2.334,0.041
Stretch3,1-Preload,11.000,19.78,2.372,0.142
Stretch3,1-Preload,11.200,19.821,2.413,0.142
Stretch3,1-Preload,11.400,19.859,2.451,-0.263
Stretch3,1-Preload,11.600,19.908,2.5,0.041
Stretch3,1-Preload,11.800,19.955,2.547,0.243
Stretch3,1-Preload,12.000,19.987,2.579,0.344
Stretch3,1-Preload,12.200,20.027,2.619,0.041
Stretch3,1-Preload,12.400,20.076,2.668,-0.162
Stretch3,1-Preload,12.600,20.116,2.708,-0.061
Stretch3,1-Preload,12.800,20.167,2.759,0.142
Stretch3,1-Preload,13.000,20.21,2.802,-0.263
Stretch3,1-Preload,13.200,20.253,2.845,0.041
Stretch3,1-Preload,13.400,20.298,2.89,0.142
Stretch3,1-Preload,13.600,20.334,2.926,-0.263
Stretch3,1-Preload,13.800,20.38,2.972,0.041
Stretch3,1-Preload,14.000,20.427,3.019,-0.061
Stretch3,1-Preload,14.200,20.464,3.056,0.547
Stretch3,1-Preload,14.400,20.493,3.085,0.446
Stretch3,1-Preload,14.600,20.528,3.12,0.041
Stretch3,1-Preload,14.800,20.566,3.158,0.142
Stretch3,1-Preload,15.000,20.611,3.203,0.041
Stretch3,1-Preload,15.200,20.649,3.241,-0.061
Stretch3,1-Preload,15.400,20.69,3.282,0.142
Stretch3,1-Preload,15.600,20.729,3.321,-0.061
Stretch3,1-Preload,15.800,20.765,3.357,0.344
Stretch3,1-Preload,16.000,20.8,3.392,0.446
Stretch3,1-Preload,16.200,20.837,3.429,0.446
Stretch3,1-Preload,16.400,20.868,3.46,0.446
Stretch3,1-Preload,16.600,20.903,3.495,0.243
Stretch3,1-Preload,16.800,20.937,3.529,0.547
Stretch3,1-Preload,17.000,20.969,3.561,0.243
Stretch3,1-Preload,17.200,21,3.592,0.547
Stretch3,1-Preload,17.400,21.025,3.617,0.547
Stretch3,1-Preload,17.600,21.05,3.642,0.547
Stretch3,1-Preload,17.800,21.077,3.669,0.547
Stretch3,1-Preload,18.000,21.11,3.702,0.547
Stretch3,1-Preload,18.200,21.138,3.73,0.243
Stretch3,1-Preload,18.400,21.165,3.757,0.547
Stretch3,1-Preload,18.600,21.19,3.782,0.547
Stretch3,1-Preload,18.800,21.216,3.808,0.547
Stretch3,1-Preload,19.000,21.242,3.834,0.547
Stretch3,1-Preload,19.200,21.266,3.858,0.547
Stretch3,1-Preload,19.400,21.292,3.884,0.547
Stretch3,1-Preload,19.600,21.318,3.91,0.547
Stretch3,1-Preload,19.800,21.342,3.934,0.547
Stretch3,1-Preload,20.000,21.368,3.96,0.547
Stretch3,1-Preload,20.200,21.388,3.98,0.851
Stretch3,1-Preload,20.400,21.406,3.998,0.648
Stretch3,1-Preload,20.600,21.416,4.008,0.648
Stretch3,1-Preload,20.800,21.435,4.027,0.952
Stretch3,1-Preload,21.000,21.447,4.039,0.547
Stretch3,1-Preload,21.200,21.457,4.049,0.750
Stretch3,1-Preload,21.400,21.478,4.07,0.750
Stretch3,1-Preload,21.600,21.486,4.078,0.547
Stretch3,1-Preload,21.800,21.501,4.093,0.851
Stretch3,1-Stretch,21.930,21.501,0,0.547
Stretch3,1-Stretch,22.130,21.548,0.047,0.851
Stretch3,1-Stretch,22.330,21.599,0.098,1.054
Stretch3,1-Stretch,22.530,21.651,0.15,1.256
Stretch3,1-Stretch,22.730,21.703,0.202,1.357
Stretch3,1-Stretch,22.930,21.755,0.254,1.357
Stretch3,1-Stretch,23.130,21.806,0.305,1.560
Stretch3,1-Stretch,23.330,21.858,0.357,1.560
Stretch3,1-Stretch,23.530,21.91,0.409,1.357
Stretch3,1-Stretch,23.730,21.962,0.461,1.965
Stretch3,1-Stretch,23.930,22.013,0.512,2.067
Stretch3,1-Stretch,24.130,22.065,0.564,2.168
Stretch3,1-Stretch,24.330,22.117,0.616,2.168
Stretch3,1-Stretch,24.530,22.168,0.667,2.776
Stretch3,1-Stretch,24.730,22.22,0.719,2.877
Stretch3,1-Stretch,24.930,22.272,0.771,3.080
Stretch3,1-Stretch,25.130,22.323,0.822,3.586
Stretch3,1-Stretch,25.330,22.375,0.874,3.789
Stretch3,1-Stretch,25.530,22.427,0.926,3.688
Stretch3,1-Stretch,25.730,22.478,0.977,3.789
Stretch3,1-Stretch,25.930,22.53,1.029,4.194
Stretch3,1-Stretch,26.130,22.582,1.081,4.599
Stretch3,1-Stretch,26.330,22.633,1.132,4.802
Stretch3,1-Stretch,26.530,22.685,1.184,5.106
Stretch3,1-Stretch,26.730,22.737,1.236,5.410
Stretch3,1-Stretch,26.930,22.788,1.287,5.815
Stretch3,1-Stretch,27.130,22.84,1.339,6.220
Stretch3,1-Stretch,27.330,22.892,1.391,6.828
Stretch3,1-Stretch,27.530,22.944,1.443,7.132
Stretch3,1-Stretch,27.730,22.995,1.494,7.740
Stretch3,1-Stretch,27.930,23.047,1.546,7.537
Stretch3,1-Stretch,28.130,23.099,1.598,8.145
Stretch3,1-Stretch,28.330,23.15,1.649,8.652
