# Stretch,Cauchy_stress
1.000000000000000000e+00,-4.855124113240813152e-03
1.003639973527465257e+00,-4.872796636485566928e-03
1.007647621148613837e+00,-4.892254263088377866e-03
1.011655268769762417e+00,-4.911711889691188805e-03
1.015662916390910997e+00,-4.931169516294000611e-03
1.019670564012059799e+00,-4.950627142896811550e-03
1.023678211633208157e+00,-7.624266164729784703e-03
1.027685859254356959e+00,-4.989542396102433428e-03
1.031693506875505539e+00,-5.009000022705243499e-03
1.035701154496654119e+00,-7.713811996058952437e-03
1.039708802117802700e+00,-5.047915275910864509e-03
1.043716449738951502e+00,-5.067372902513676315e-03
1.047724097360099860e+00,-5.086830529116485519e-03
1.051731744981248662e+00,-5.106288155719298193e-03
1.055739392602397242e+00,-7.863055048274229103e-03
1.059747040223545822e+00,-5.145203408924919203e-03
1.063754687844694402e+00,-5.164661035527730142e-03
1.067762335465842982e+00,-5.184118662130540213e-03
1.071769983086991562e+00,-5.203576288733352019e-03
1.075777630708140364e+00,-5.223033915336162090e-03
1.079785278329288944e+00,-5.242491541938973897e-03
1.083792925950437525e+00,-5.261949168541784835e-03
1.087800573571586105e+00,-5.281406795144594907e-03
1.091808221192734685e+00,-5.300864421747405845e-03
1.095815868813883265e+00,-5.320322048350216784e-03
1.099823516435032067e+00,-8.191389763147836900e-03
1.103831164056180425e+00,-5.359237301555837794e-03
1.107838811677329227e+00,-5.378694928158649601e-03
1.111846459298477807e+00,-5.398152554761459672e-03
1.115854106919626387e+00,-5.417610181364270611e-03
1.119861754540774967e+00,-5.437067807967081549e-03
1.123869402161923770e+00,-5.456525434569893356e-03
1.127877049783072128e+00,-5.475983061172702560e-03
1.131884697404220930e+00,-5.495440687775515233e-03
1.135892345025369510e+00,-5.514898314378324437e-03
1.139936760055886511e+00,-5.534534451316941960e-03
1.143907640267666670e+00,-5.553813567583946315e-03
1.147915287888815250e+00,-5.573271194186756386e-03
1.151922935509963830e+00,-8.579421698907555363e-03
1.155930583131112632e+00,-5.612186447392379998e-03
1.159938230752261212e+00,-5.631644073995190070e-03
1.163982645782778214e+00,-5.651280210933806725e-03
1.167953525994558373e+00,-5.670559327200811080e-03
1.171961173615706953e+00,-5.690016953803622018e-03
1.175968821236855755e+00,-5.709474580406432957e-03
1.179976468858004335e+00,-5.728932207009243896e-03
1.183984116479152693e+00,-5.748389833612053967e-03
1.188028531509669694e+00,-5.768025970550670622e-03
1.192036179130818496e+00,-5.787483597153481561e-03
1.196007059342598877e+00,-5.806762713420486784e-03
1.200014706963747235e+00,-5.826220340023297722e-03
1.204059121994264236e+00,-5.845856476961915245e-03
1.208030002206044617e+00,-5.865135593228919600e-03
1.212074417236561619e+00,-5.884771730167536255e-03
1.216082064857710199e+00,-5.904229356770347194e-03
1.220052945069490358e+00,-5.923508473037350681e-03
1.224060592690639160e+00,-5.942966099640163355e-03
1.228105007721155939e+00,-5.962602236578780010e-03
1.232112655342304741e+00,-2.818771663279283357e-03
1.236120302963453099e+00,-6.001517489784401020e-03
1.240127950584601679e+00,-2.837108693585596586e-03
1.244135598205750481e+00,-2.846277208738754068e-03
1.248106478417530640e+00,-6.059711859257028120e-03
1.252114126038679220e+00,-2.864530124227148648e-03
1.256158541069196222e+00,-6.098805622798454847e-03
