SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch3,1-Preload,0.000,13.938,0,0.020
Stretch3,1-Preload,0.200,13.938,0,0.020
Stretch3,1-Preload,0.400,13.981,0.043,0.020
Stretch3,1-Preload,0.600,14.04,0.102,0.020
Stretch3,1-Preload,0.800,14.081,0.143,-0.284
Stretch3,1-Preload,1.000,14.132,0.194,0.020
Stretch3,1-Preload,1.200,14.184,0.246,-0.182
Stretch3,1-Preload,1.400,14.24,0.302,-0.284
Stretch3,1-Preload,1.600,14.296,0.358,0.122
Stretch3,1-Preload,1.800,14.342,0.404,0.020
Stretch3,1-Preload,2.000,14.384,0.446,-0.081
Stretch3,1-Preload,2.200,14.442,0.504,0.122
Stretch3,1-Preload,2.400,14.485,0.547,-0.081
Stretch3,1-Preload,2.600,14.532,0.594,0.020
Stretch3,1-Preload,2.800,14.584,0.646,-0.081
Stretch3,1-Preload,3.000,14.629,0.691,-0.182
Stretch3,1-Preload,3.200,14.681,0.743,0.122
Stretch3,1-Preload,3.400,14.726,0.788,-0.081
Stretch3,1-Preload,3.600,14.774,0.836,0.223
Stretch3,1-Preload,3.800,14.824,0.886,0.122
Stretch3,1-Preload,4.000,14.869,0.931,-0.182
Stretch3,1-Preload,4.200,14.921,0.983,0.020
Stretch3,1-Preload,4.400,14.97,1.032,-0.081
Stretch3,1-Preload,4.600,15.011,1.073,-0.081
Stretch3,1-Preload,4.800,15.059,1.121,0.020
Stretch3,1-Preload,5.000,15.109,1.171,-0.081
Stretch3,1-Preload,5.200,15.155,1.217,0.020
Stretch3,1-Preload,5.400,15.197,1.259,0.020
Stretch3,1-Preload,5.600,15.246,1.308,-0.182
Stretch3,1-Preload,5.800,15.293,1.355,0.020
Stretch3,1-Preload,6.000,15.348,1.41,-0.081
Stretch3,1-Preload,6.200,15.393,1.455,-0.182
Stretch3,1-Preload,6.400,15.446,1.508,-0.081
Stretch3,1-Preload,6.600,15.494,1.556,0.020
Stretch3,1-Preload,6.800,15.537,1.599,0.122
Stretch3,1-Preload,7.000,15.589,1.651,-0.081
Stretch3,1-Preload,7.200,15.634,1.696,-0.081
Stretch3,1-Preload,7.400,15.687,1.749,0.020
Stretch3,1-Preload,7.600,15.746,1.808,-0.182
Stretch3,1-Preload,7.800,15.794,1.856,-0.182
Stretch3,1-Preload,8.000,15.842,1.904,0.122
Stretch3,1-Preload,8.200,15.891,1.953,-0.081
Stretch3,1-Preload,8.400,15.938,2,0.020
Stretch3,1-Preload,8.600,15.987,2.049,0.020
Stretch3,1-Preload,8.800,16.037,2.099,-0.284
Stretch3,1-Preload,9.000,16.089,2.151,0.020
Stretch3,1-Preload,9.200,16.138,2.2,0.020
Stretch3,1-Preload,9.400,16.181,2.243,-0.182
Stretch3,1-Preload,9.600,16.232,2.294,0.020
Stretch3,1-Preload,9.800,16.285,2.347,-0.081
Stretch3,1-Preload,10.000,16.334,2.396,-0.081
Stretch3,1-Preload,10.200,16.389,2.451,0.122
Stretch3,1-Preload,10.400,16.435,2.497,-0.081
Stretch3,1-Preload,10.600,16.482,2.544,0.020
Stretch3,1-Preload,10.800,16.531,2.593,0.020
Stretch3,1-Preload,11.000,16.572,2.634,-0.182
Stretch3,1-Preload,11.200,16.629,2.691,0.122
Stretch3,1-Preload,11.400,16.681,2.743,-0.182
Stretch3,1-Preload,11.600,16.727,2.789,-0.182
Stretch3,1-Preload,11.800,16.779,2.841,0.122
Stretch3,1-Preload,12.000,16.828,2.89,-0.284
Stretch3,1-Preload,12.200,16.881,2.943,0.020
Stretch3,1-Preload,12.400,16.936,2.998,-0.081
Stretch3,1-Preload,12.600,16.984,3.046,-0.284
Stretch3,1-Preload,12.800,17.032,3.094,0.122
Stretch3,1-Preload,13.000,17.083,3.145,-0.182
Stretch3,1-Preload,13.200,17.13,3.192,-0.081
Stretch3,1-Preload,13.400,17.177,3.239,0.223
Stretch3,1-Preload,13.600,17.223,3.285,-0.284
Stretch3,1-Preload,13.800,17.274,3.336,0.020
Stretch3,1-Preload,14.000,17.33,3.392,-0.081
Stretch3,1-Preload,14.200,17.377,3.439,-0.081
Stretch3,1-Preload,14.400,17.427,3.489,0.020
Stretch3,1-Preload,14.600,17.473,3.535,-0.081
Stretch3,1-Preload,14.800,17.518,3.58,-0.182
Stretch3,1-Preload,15.000,17.571,3.633,0.223
Stretch3,1-Preload,15.200,17.62,3.682,-0.284
Stretch3,1-Preload,15.400,17.674,3.736,0.020
Stretch3,1-Preload,15.600,17.73,3.792,-0.081
Stretch3,1-Preload,15.800,17.776,3.838,-0.182
Stretch3,1-Preload,16.000,17.827,3.889,0.122
Stretch3,1-Preload,16.200,17.877,3.939,-0.081
Stretch3,1-Preload,16.400,17.924,3.986,-0.081
Stretch3,1-Preload,16.600,17.982,4.044,0.020
