# Stretch,Cauchy_stress
1.000000000000000000e+00,-2.049844211839900107e-03
1.005253456221198105e+00,-2.060612978667077360e-03
1.010783410138248906e+00,-2.071948522695685451e-03
1.016405529953917197e+00,-2.083472992458103388e-03
1.022027649769585267e+00,-2.094997462220520891e-03
1.027649769585253559e+00,-2.106521931982938828e-03
1.033271889400921628e+00,-2.118046401745356765e-03
1.038801843317972429e+00,-2.129381945773964856e-03
1.044423963133640720e+00,-2.140906415536382792e-03
1.050138248847926281e+00,-2.152619811032610141e-03
1.055668202764977082e+00,-2.163955355061218666e-03
1.061290322580645151e+00,-2.175479824823636169e-03
1.066912442396313443e+00,-4.089520225648719245e-04
1.072534562211981735e+00,-2.198528764348472043e-03
1.078156682027649804e+00,-2.210053234110889980e-03
1.083778801843318096e+00,-2.221577703873307483e-03
1.089308755760368674e+00,-2.232913247901915574e-03
1.095023041474654457e+00,-2.244626643398143790e-03
1.100552995391705258e+00,-2.255962187426751014e-03
1.106175115207373327e+00,-2.267486657189168951e-03
1.111797235023041619e+00,-2.279011126951586887e-03
1.117419354838709689e+00,-2.290535596714004390e-03
1.123041474654377980e+00,-2.302060066476422761e-03
1.128663594470046050e+00,-2.313584536238840264e-03
1.134193548387096628e+00,-2.324920080267447488e-03
1.139907834101382633e+00,-2.336633475763676138e-03
1.145437788018433212e+00,-2.347969019792283795e-03
1.151059907834101503e+00,-2.359493489554702166e-03
1.156682027649769795e+00,-2.371017959317120102e-03
1.162304147465437865e+00,-2.382542429079537605e-03
1.167926267281106156e+00,-2.394066898841955542e-03
1.173548387096774226e+00,-2.405591368604373479e-03
1.179078341013824804e+00,-2.416926912632980703e-03
1.184792626728110587e+00,-2.428640308129208919e-03
1.190414746543778879e+00,-2.440164777891626856e-03
1.195944700460829679e+00,-2.451500321920234947e-03
1.201566820276497749e+00,-2.463024791682652884e-03
1.207188940092166041e+00,-2.474549261445070387e-03
1.212811059907834110e+00,1.556322579698996662e-03
1.218433179723502402e+00,-2.497598200969906260e-03
1.224055299539170694e+00,-2.509122670732324631e-03
1.229585253456221272e+00,-2.520458214760931855e-03
1.235299539170507055e+00,-2.532171610257160071e-03
1.240829493087557633e+00,1.592276836422797668e-03
1.246451612903225703e+00,-4.777701410821809597e-04
1.252073732718894217e+00,-2.566556093810603602e-03
1.257695852534562286e+00,3.688960806413428030e-03
1.263317972350230578e+00,1.621134858266900895e-03
1.268940092165898648e+00,-4.863900696849650569e-04
1.274470046082949226e+00,1.635445598607624101e-03
1.280184331797235009e+00,-2.624178442622692852e-03
1.285714285714285587e+00,1.649874609529675606e-03
1.291336405529953879e+00,3.787632262835888882e-03
1.296958525345622171e+00,-2.658562926176135949e-03
1.302580645161290240e+00,3.820612859229149776e-03
1.308202764976958754e+00,-5.014396171635963862e-04
