SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch4,1-Preload,0.000,9,0,0.276
Stretch4,1-Preload,0.200,9,0,-0.123
Stretch4,1-Preload,0.400,9.041,0.041,-0.123
Stretch4,1-Preload,0.600,9.09,0.09,-0.023
Stretch4,1-Preload,0.800,9.134,0.134,-0.123
Stretch4,1-Preload,1.000,9.177,0.177,0.176
Stretch4,1-Preload,1.200,9.222,0.222,-0.023
Stretch4,1-Preload,1.400,9.262,0.262,-0.023
Stretch4,1-Preload,1.600,9.307,0.307,0.077
Stretch4,1-Preload,1.800,9.35,0.35,-0.123
Stretch4,1-Preload,2.000,9.394,0.394,0.077
Stretch4,1-Preload,2.200,9.433,0.433,0.077
Stretch4,1-Preload,2.400,9.471,0.471,-0.123
Stretch4,1-Preload,2.600,9.516,0.516,0.176
Stretch4,1-Preload,2.800,9.559,0.559,0.077
Stretch4,1-Preload,3.000,9.599,0.599,-0.023
Stretch4,1-Preload,3.200,9.642,0.642,0.176
Stretch4,1-Preload,3.400,9.683,0.683,-0.023
Stretch4,1-Preload,3.600,9.723,0.723,0.077
Stretch4,1-Preload,3.800,9.768,0.768,0.176
Stretch4,1-Preload,4.000,9.806,0.806,-0.123
Stretch4,1-Preload,4.200,9.849,0.849,0.176
Stretch4,1-Preload,4.400,9.892,0.892,0.077
Stretch4,1-Preload,4.600,9.928,0.928,-0.023
Stretch4,1-Preload,4.800,9.973,0.973,0.276
Stretch4,1-Preload,5.000,10.017,1.017,-0.123
Stretch4,1-Preload,5.200,10.056,1.056,0.176
Stretch4,1-Preload,5.400,10.095,1.095,0.176
Stretch4,1-Preload,5.600,10.13,1.13,0.376
Stretch4,1-Preload,5.800,10.164,1.164,0.276
Stretch4,1-Preload,6.000,10.196,1.196,0.276
Stretch4,1-Preload,6.200,10.233,1.233,0.575
Stretch4,1-Preload,6.400,10.262,1.262,0.176
Stretch4,1-Preload,6.600,10.293,1.293,0.575
Stretch4,1-Preload,6.800,10.328,1.328,0.376
Stretch4,1-Preload,7.000,10.356,1.356,0.376
Stretch4,1-Preload,7.200,10.39,1.39,0.575
Stretch4,1-Preload,7.400,10.421,1.421,0.276
Stretch4,1-Preload,7.600,10.452,1.452,0.475
Stretch4,1-Preload,7.800,10.487,1.487,0.475
Stretch4,1-Preload,8.000,10.516,1.516,0.276
Stretch4,1-Preload,8.200,10.548,1.548,0.575
Stretch4,1-Preload,8.400,10.582,1.582,0.376
Stretch4,1-Preload,8.600,10.61,1.61,0.475
Stretch4,1-Preload,8.800,10.64,1.64,0.674
Stretch4,1-Preload,9.000,10.664,1.664,0.674
Stretch4,1-Preload,9.200,10.687,1.687,0.674
Stretch4,1-Preload,9.400,10.709,1.709,0.674
Stretch4,1-Preload,9.600,10.731,1.731,0.674
Stretch4,1-Preload,9.800,10.753,1.753,0.674
Stretch4,1-Preload,10.000,10.775,1.775,0.674
Stretch4,1-Preload,10.200,10.796,1.796,0.674
Stretch4,1-Preload,10.400,10.818,1.818,0.674
Stretch4,1-Preload,10.600,10.84,1.84,0.674
Stretch4,1-Preload,10.800,10.85,1.85,0.674
Stretch4,1-Stretch,10.840,10.85,0,0.774
Stretch4,1-Stretch,11.040,10.88,0.03,0.674
Stretch4,1-Stretch,11.240,10.915,0.065,0.973
Stretch4,1-Stretch,11.440,10.949,0.099,1.272
Stretch4,1-Stretch,11.640,10.984,0.134,1.272
Stretch4,1-Stretch,11.840,11.019,0.169,0.973
Stretch4,1-Stretch,12.040,11.054,0.204,1.372
Stretch4,1-Stretch,12.240,11.088,0.238,1.173
Stretch4,1-Stretch,12.440,11.123,0.273,1.272
Stretch4,1-Stretch,12.640,11.158,0.308,1.471
Stretch4,1-Stretch,12.840,11.193,0.343,1.471
Stretch4,1-Stretch,13.040,11.228,0.378,1.471
Stretch4,1-Stretch,13.240,11.263,0.413,1.471
Stretch4,1-Stretch,13.440,11.297,0.447,1.671
Stretch4,1-Stretch,13.640,11.332,0.482,2.169
Stretch4,1-Stretch,13.840,11.367,0.517,1.970
Stretch4,1-Stretch,14.040,11.402,0.552,1.870
Stretch4,1-Stretch,14.240,11.436,0.586,2.169
Stretch4,1-Stretch,14.440,11.471,0.621,2.069
Stretch4,1-Stretch,14.640,11.506,0.656,2.169
Stretch4,1-Stretch,14.840,11.541,0.691,2.169
Stretch4,1-Stretch,15.040,11.575,0.725,2.069
Stretch4,1-Stretch,15.240,11.61,0.76,2.069
Stretch4,1-Stretch,15.440,11.645,0.795,2.268
Stretch4,1-Stretch,15.640,11.68,0.83,2.268
Stretch4,1-Stretch,15.840,11.715,0.865,2.268
Stretch4,1-Stretch,16.040,11.75,0.9,2.567
Stretch4,1-Stretch,16.240,11.784,0.934,2.368
Stretch4,1-Stretch,16.440,11.819,0.969,2.368
Stretch4,1-Stretch,16.640,11.854,1.004,2.767
Stretch4,1-Stretch,16.840,11.889,1.039,3.065
Stretch4,1-Stretch,17.040,11.923,1.073,3.065
Stretch4,1-Stretch,17.240,11.958,1.108,3.065
Stretch4,1-Stretch,17.440,11.993,1.143,3.065
Stretch4,1-Stretch,17.640,12.028,1.178,3.364
Stretch4,1-Stretch,17.840,12.062,1.212,3.265
Stretch4,1-Stretch,18.040,12.097,1.247,3.663
Stretch4,1-Stretch,18.240,12.132,1.282,3.863
Stretch4,1-Stretch,18.440,12.167,1.317,3.863
Stretch4,1-Stretch,18.640,12.202,1.352,3.962
Stretch4,1-Stretch,18.840,12.236,1.386,3.962
Stretch4,1-Stretch,19.040,12.271,1.421,3.962
Stretch4,1-Stretch,19.240,12.306,1.456,4.261
Stretch4,1-Stretch,19.440,12.341,1.491,4.460
Stretch4,1-Stretch,19.640,12.376,1.526,4.560
Stretch4,1-Stretch,19.840,12.41,1.56,4.560
Stretch4,1-Stretch,20.040,12.445,1.595,4.660
Stretch4,1-Stretch,20.240,12.48,1.63,5.058
Stretch4,1-Stretch,20.440,12.515,1.665,4.958
Stretch4,1-Stretch,20.640,12.55,1.7,5.357
Stretch4,1-Stretch,20.840,12.584,1.734,5.457
Stretch4,1-Stretch,21.040,12.619,1.769,5.457
Stretch4,1-Stretch,21.240,12.654,1.804,5.955
Stretch4,1-Stretch,21.440,12.689,1.839,5.755
Stretch4,1-Stretch,21.640,12.723,1.873,5.855
Stretch4,1-Stretch,21.840,12.758,1.908,5.755
Stretch4,1-Stretch,22.040,12.793,1.943,5.955
Stretch4,1-Stretch,22.240,12.828,1.978,6.254
Stretch4,1-Stretch,22.440,12.863,2.013,6.254
Stretch4,1-Stretch,22.640,12.897,2.047,6.353
Stretch4,1-Stretch,22.840,12.932,2.082,6.353
Stretch4,1-Stretch,23.040,12.967,2.117,6.752
Stretch4,1-Stretch,23.240,13.002,2.152,7.051
Stretch4,1-Stretch,23.440,13.037,2.187,7.051
Stretch4,1-Stretch,23.640,13.071,2.221,7.150
Stretch4,1-Stretch,23.840,13.106,2.256,7.051
Stretch4,1-Stretch,24.040,13.141,2.291,7.349
Stretch4,1-Stretch,24.240,13.176,2.326,7.748
Stretch4,1-Stretch,24.440,13.211,2.361,7.748
Stretch4,1-Stretch,24.640,13.245,2.395,7.648
Stretch4,1-Stretch,24.840,13.28,2.43,7.848
Stretch4,1-Stretch,25.040,13.315,2.465,7.848
Stretch4,1-Stretch,25.240,13.349,2.499,8.246
Stretch4,1-Stretch,25.440,13.384,2.534,8.545
Stretch4,1-Stretch,25.640,13.419,2.569,8.346
Stretch4,1-Stretch,25.840,13.454,2.604,8.645
