SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch4,1-Preload,0,9.247,0,0.145
Stretch4,1-Preload,0.2,9.247,0,-0.054
Stretch4,1-Preload,0.4,9.285,0.038,-0.054
Stretch4,1-Preload,0.6,9.335,0.088,0.245
Stretch4,1-Preload,0.8,9.382,0.135,-0.153
Stretch4,1-Preload,1,9.427,0.18,0.046
Stretch4,1-Preload,1.2,9.478,0.231,0.046
Stretch4,1-Preload,1.4,9.519,0.272,-0.153
Stretch4,1-Preload,1.6,9.571,0.324,0.145
Stretch4,1-Preload,1.8,9.62,0.373,-0.054
Stretch4,1-Preload,2,9.665,0.418,-0.054
Stretch4,1-Preload,2.2,9.716,0.469,0.245
Stretch4,1-Preload,2.4,9.761,0.514,-0.153
Stretch4,1-Preload,2.6,9.806,0.559,0.046
Stretch4,1-Preload,2.8,9.859,0.612,0.145
Stretch4,1-Preload,3,9.902,0.655,-0.153
Stretch4,1-Preload,3.2,9.953,0.706,0.046
Stretch4,1-Preload,3.4,10,0.753,-0.054
Stretch4,1-Preload,3.6,10.04,0.793,-0.054
Stretch4,1-Preload,3.8,10.093,0.846,0.245
Stretch4,1-Preload,4,10.138,0.891,-0.153
Stretch4,1-Preload,4.2,10.184,0.937,0.345
Stretch4,1-Preload,4.4,10.221,0.974,0.245
Stretch4,1-Preload,4.6,10.256,1.009,0.444
Stretch4,1-Preload,4.8,10.291,1.044,0.245
Stretch4,1-Preload,5,10.325,1.078,0.544
Stretch4,1-Preload,5.2,10.36,1.113,0.444
Stretch4,1-Preload,5.4,10.395,1.148,0.145
Stretch4,1-Preload,5.6,10.43,1.183,0.544
Stretch4,1-Preload,5.8,10.466,1.219,0.345
Stretch4,1-Preload,6,10.497,1.25,0.245
Stretch4,1-Preload,6.2,10.533,1.286,0.544
Stretch4,1-Preload,6.4,10.568,1.321,0.544
Stretch4,1-Preload,6.6,10.595,1.348,0.544
Stretch4,1-Preload,6.8,10.622,1.375,0.644
Stretch4,1-Preload,7,10.649,1.402,0.644
Stretch4,1-Preload,7.2,10.674,1.427,0.644
Stretch4,1-Preload,7.4,10.699,1.452,0.644
Stretch4,1-Preload,7.6,10.725,1.478,0.644
Stretch4,1-Preload,7.8,10.75,1.503,0.743
Stretch4,1-Preload,8,10.771,1.524,0.843
Stretch4,1-Preload,8.2,10.775,1.528,0.843
Stretch4,1-Preload,8.4,10.79,1.543,1.042
Stretch4,1-Preload,8.6,10.793,1.546,0.843
Stretch4,1-Preload,8.8,10.795,1.548,0.743
Stretch4,1-Stretch,8.84,10.795,0,0.942
Stretch4,1-Stretch,9.04,10.825,0.03,1.142
Stretch4,1-Stretch,9.24,10.86,0.065,0.942
Stretch4,1-Stretch,9.44,10.895,0.1,1.341
Stretch4,1-Stretch,9.64,10.929,0.134,1.142
Stretch4,1-Stretch,9.84,10.964,0.169,1.341
Stretch4,1-Stretch,10.04,10.999,0.204,1.441
Stretch4,1-Stretch,10.24,11.033,0.238,1.441
Stretch4,1-Stretch,10.44,11.068,0.273,1.441
Stretch4,1-Stretch,10.64,11.102,0.307,1.839
Stretch4,1-Stretch,10.84,11.137,0.342,1.739
Stretch4,1-Stretch,11.04,11.171,0.376,2.138
Stretch4,1-Stretch,11.24,11.206,0.411,1.939
Stretch4,1-Stretch,11.44,11.241,0.446,2.138
Stretch4,1-Stretch,11.64,11.275,0.48,1.739
Stretch4,1-Stretch,11.84,11.31,0.515,1.939
Stretch4,1-Stretch,12.04,11.344,0.549,2.238
Stretch4,1-Stretch,12.24,11.379,0.584,2.238
Stretch4,1-Stretch,12.44,11.414,0.619,2.437
Stretch4,1-Stretch,12.64,11.448,0.653,2.238
Stretch4,1-Stretch,12.84,11.483,0.688,2.536
Stretch4,1-Stretch,13.04,11.518,0.723,3.035
Stretch4,1-Stretch,13.24,11.552,0.757,3.035
Stretch4,1-Stretch,13.44,11.587,0.792,3.333
Stretch4,1-Stretch,13.64,11.621,0.826,3.234
Stretch4,1-Stretch,13.84,11.656,0.861,3.732
Stretch4,1-Stretch,14.04,11.691,0.896,3.732
Stretch4,1-Stretch,14.24,11.725,0.93,3.832
Stretch4,1-Stretch,14.44,11.76,0.965,3.832
Stretch4,1-Stretch,14.64,11.795,1,4.23
Stretch4,1-Stretch,14.84,11.829,1.034,4.529
Stretch4,1-Stretch,15.04,11.864,1.069,4.529
Stretch4,1-Stretch,15.24,11.898,1.103,4.629
Stretch4,1-Stretch,15.44,11.933,1.138,4.928
Stretch4,1-Stretch,15.64,11.967,1.172,4.928
Stretch4,1-Stretch,15.84,12.002,1.207,5.426
Stretch4,1-Stretch,16.04,12.037,1.242,5.625
Stretch4,1-Stretch,16.24,12.071,1.276,5.824
Stretch4,1-Stretch,16.44,12.106,1.311,5.725
Stretch4,1-Stretch,16.64,12.14,1.345,5.725
Stretch4,1-Stretch,16.84,12.175,1.38,5.924
Stretch4,1-Stretch,17.04,12.21,1.415,6.223
Stretch4,1-Stretch,17.24,12.244,1.449,6.621
Stretch4,1-Stretch,17.44,12.279,1.484,6.322
Stretch4,1-Stretch,17.64,12.314,1.519,7.02
Stretch4,1-Stretch,17.84,12.348,1.553,7.02
Stretch4,1-Stretch,18.04,12.383,1.588,7.02
Stretch4,1-Stretch,18.24,12.417,1.622,7.617
Stretch4,1-Stretch,18.44,12.452,1.657,7.717
Stretch4,1-Stretch,18.64,12.487,1.692,7.817
Stretch4,1-Stretch,18.84,12.521,1.726,8.116
Stretch4,1-Stretch,19.04,12.556,1.761,8.514
Stretch4,1-Stretch,19.24,12.59,1.795,8.614
Stretch4,1-Stretch,19.44,12.625,1.83,8.713
Stretch4,1-Stretch,19.64,12.659,1.864,9.211
Stretch4,1-Stretch,19.84,12.694,1.899,9.211
Stretch4,1-Stretch,20.04,12.729,1.934,9.311
Stretch4,1-Stretch,20.24,12.763,1.968,9.411
Stretch4,1-Stretch,20.44,12.798,2.003,9.61
Stretch4,1-Stretch,20.64,12.833,2.038,9.411
Stretch4,1-Stretch,20.84,12.867,2.072,10.208
Stretch4,1-Stretch,21.04,12.902,2.107,10.208
Stretch4,1-Stretch,21.24,12.936,2.141,10.208
Stretch4,1-Stretch,21.44,12.971,2.176,10.905
Stretch4,1-Stretch,21.64,13.006,2.211,11.005
Stretch4,1-Stretch,21.84,13.04,2.245,11.104
Stretch4,1-Stretch,22.04,13.075,2.28,11.104
Stretch4,1-Stretch,22.24,13.11,2.315,11.702
Stretch4,1-Stretch,22.44,13.144,2.349,11.702
Stretch4,1-Stretch,22.64,13.179,2.384,11.802
Stretch4,1-Stretch,22.84,13.213,2.418,12.499
Stretch4,1-Stretch,23.04,13.248,2.453,12.3
Stretch4,1-Stretch,23.24,13.283,2.488,12.599
Stretch4,1-Stretch,23.44,13.317,2.522,13.196
Stretch4,1-Stretch,23.64,13.352,2.557,12.798
Stretch4,1-Stretch,23.84,13.386,2.591,12.698
Stretch4,1-Stretch,24.04,13.421,2.626,12.997
Stretch4,1-Stretch,24.24,13.455,2.66,13.396
Stretch4,1-Stretch,24.44,13.49,2.695,13.396
Stretch4,1-Stretch,24.64,13.525,2.73,13.695
Stretch4,1-Stretch,24.84,13.559,2.764,14.193
Stretch4,1-Stretch,25.04,13.594,2.799,14.193
Stretch4,1-Stretch,25.24,13.629,2.834,14.591
Stretch4,1-Stretch,25.44,13.663,2.868,14.591
Stretch4,1-Stretch,25.64,13.698,2.903,14.99
Stretch4,1-Stretch,25.84,13.732,2.937,14.99
Stretch4,1-Stretch,26.04,13.767,2.972,14.99
Stretch4,1-Stretch,26.24,13.802,3.007,15.289
Stretch4,1-Stretch,26.44,13.836,3.041,15.488
Stretch4,1-Stretch,26.64,13.871,3.076,15.787
Stretch4,1-Stretch,26.84,13.905,3.11,15.787
Stretch4,1-Stretch,27.04,13.94,3.145,16.484
Stretch4,1-Stretch,27.24,13.975,3.18,16.285
Stretch4,1-Stretch,27.44,14.009,3.214,16.385
Stretch4,1-Stretch,27.64,14.044,3.249,16.783
Stretch4,1-Stretch,27.84,14.078,3.283,16.683
Stretch4,1-Stretch,28.04,14.113,3.318,16.683
Stretch4,1-Stretch,28.24,14.148,3.353,16.683
Stretch4,1-Stretch,28.44,14.182,3.387,17.082
Stretch4,1-Stretch,28.64,14.217,3.422,17.381
Stretch4,1-Stretch,28.84,14.251,3.456,17.381
Stretch4,1-Stretch,29.04,14.286,3.491,17.779
Stretch4,1-Stretch,29.24,14.321,3.526,17.979
Stretch4,1-Stretch,29.44,14.355,3.56,18.178
Stretch4,1-Stretch,29.64,14.39,3.595,18.178
Stretch4,1-Stretch,29.84,14.425,3.63,18.277
Stretch4,1-Stretch,30.04,14.459,3.664,18.576
Stretch4,1-Stretch,30.24,14.494,3.699,18.875
Stretch4,1-Stretch,30.44,14.528,3.733,18.676
Stretch4,1-Stretch,30.64,14.563,3.768,18.975
Stretch4,1-Stretch,30.84,14.598,3.803,18.975
Stretch4,1-Stretch,31.04,14.632,3.837,19.373
Stretch4,1-Stretch,31.24,14.667,3.872,19.573
Stretch4,1-Stretch,31.44,14.701,3.906,19.672
Stretch4,1-Stretch,31.64,14.736,3.941,19.672
Stretch4,1-Stretch,31.84,14.77,3.975,20.27
Stretch4,1-Stretch,32.04,14.805,4.01,20.27
Stretch4,1-Stretch,32.24,14.84,4.045,20.071
Stretch4,1-Stretch,32.44,14.874,4.079,20.37
Stretch4,1-Stretch,32.64,14.909,4.114,20.27
Stretch4,1-Stretch,32.84,14.944,4.149,20.469
Stretch4,1-Stretch,33.04,14.978,4.183,20.569
Stretch4,1-Stretch,33.24,15.013,4.218,20.768
Stretch4,1-Stretch,33.44,15.047,4.252,20.569
Stretch4,1-Stretch,33.64,15.082,4.287,20.967
Stretch4,1-Stretch,33.84,15.112,4.317,21.266
Stretch4,1-Recover,33.87,15.112,4.317,21.167
Stretch4,1-Recover,34.07,15.031,4.236,19.074
Stretch4,1-Recover,34.27,14.944,4.149,16.783
Stretch4,1-Recover,34.47,14.857,4.062,14.99
Stretch4,1-Recover,34.67,14.77,3.975,13.296
Stretch4,1-Recover,34.87,14.683,3.888,12.001
Stretch4,1-Recover,35.07,14.597,3.802,10.905
Stretch4,1-Recover,35.27,14.51,3.715,9.51
Stretch4,1-Recover,35.47,14.423,3.628,8.713
Stretch4,1-Recover,35.67,14.336,3.541,7.717
Stretch4,1-Recover,35.87,14.249,3.454,7.02
Stretch4,1-Recover,36.07,14.163,3.368,6.123
Stretch4,1-Recover,36.27,14.076,3.281,6.023
Stretch4,1-Recover,36.47,13.989,3.194,5.027
Stretch4,1-Recover,36.67,13.902,3.107,4.429
Stretch4,1-Recover,36.87,13.815,3.02,3.931
Stretch4,1-Recover,37.07,13.729,2.934,3.433
Stretch4,1-Recover,37.27,13.642,2.847,3.035
Stretch4,1-Recover,37.47,13.555,2.76,2.437
Stretch4,1-Recover,37.67,13.468,2.673,2.138
Stretch4,1-Recover,37.87,13.382,2.587,2.138
Stretch4,1-Recover,38.07,13.295,2.5,1.839
Stretch4,1-Recover,38.27,13.208,2.413,1.441
Stretch4,1-Recover,38.47,13.121,2.326,1.341
Stretch4,1-Recover,38.67,13.034,2.239,1.042
Stretch4,1-Recover,38.87,12.948,2.153,1.042
Stretch4,1-Recover,39.07,12.861,2.066,0.644
Stretch4,1-Recover,39.27,12.774,1.979,0.644
Stretch4,1-Recover,39.47,12.687,1.892,0.644
Stretch4,1-Recover,39.67,12.6,1.805,0.245
Stretch4,1-Recover,39.87,12.514,1.719,0.544
Stretch4,1-Recover,40.07,12.427,1.632,0.444
Stretch4,1-Recover,40.27,12.34,1.545,0.345
Stretch4,1-Recover,40.47,12.253,1.458,-0.153
Stretch4,1-Recover,40.67,12.166,1.371,-0.054
Stretch4,1-Recover,40.87,12.08,1.285,-0.054
Stretch4,1-Recover,41.07,11.993,1.198,-0.153
Stretch4,1-Recover,41.27,11.906,1.111,0.145
Stretch4,1-Recover,41.47,11.819,1.024,-0.054
Stretch4,1-Recover,41.67,11.732,0.937,-0.054
Stretch4,1-Recover,41.87,11.646,0.851,0.245
Stretch4,1-Recover,42.07,11.559,0.764,-0.153
Stretch4,1-Recover,42.27,11.472,0.677,0.046
Stretch4,1-Recover,42.47,11.385,0.59,0.046
Stretch4,1-Recover,42.67,11.299,0.504,-0.153
Stretch4,1-Recover,42.87,11.212,0.417,0.145
Stretch4,1-Recover,43.07,11.125,0.33,0.046
Stretch4,1-Recover,43.27,11.038,0.243,-0.054
Stretch4,1-Recover,43.47,10.951,0.156,0.145
Stretch4,1-Recover,43.67,10.865,0.07,-0.153
Stretch4,1-Recover,43.87,10.795,0,0.046
Stretch4,2-Stretch,43.88,10.795,0,0.046
Stretch4,2-Stretch,44.08,10.828,0.033,0.145
Stretch4,2-Stretch,44.28,10.863,0.068,-0.153
Stretch4,2-Stretch,44.48,10.897,0.102,0.145
Stretch4,2-Stretch,44.68,10.932,0.137,-0.054
Stretch4,2-Stretch,44.88,10.967,0.172,-0.054
Stretch4,2-Stretch,45.08,11.001,0.206,0.245
Stretch4,2-Stretch,45.28,11.036,0.241,-0.153
Stretch4,2-Stretch,45.48,11.071,0.276,0.046
Stretch4,2-Stretch,45.68,11.105,0.31,0.145
Stretch4,2-Stretch,45.88,11.139,0.344,-0.153
Stretch4,2-Stretch,46.08,11.174,0.379,0.145
Stretch4,2-Stretch,46.28,11.209,0.414,0.046
Stretch4,2-Stretch,46.48,11.244,0.449,-0.054
Stretch4,2-Stretch,46.68,11.278,0.483,0.145
Stretch4,2-Stretch,46.88,11.313,0.518,-0.153
Stretch4,2-Stretch,47.08,11.347,0.552,0.046
Stretch4,2-Stretch,47.28,11.382,0.587,0.046
Stretch4,2-Stretch,47.48,11.417,0.622,-0.153
Stretch4,2-Stretch,47.68,11.451,0.656,0.145
Stretch4,2-Stretch,47.88,11.486,0.691,-0.054
Stretch4,2-Stretch,48.08,11.52,0.725,-0.054
Stretch4,2-Stretch,48.28,11.555,0.76,0.245
Stretch4,2-Stretch,48.48,11.59,0.795,-0.153
Stretch4,2-Stretch,48.68,11.624,0.829,0.046
Stretch4,2-Stretch,48.88,11.659,0.864,0.145
Stretch4,2-Stretch,49.08,11.694,0.899,-0.153
Stretch4,2-Stretch,49.28,11.728,0.933,0.145
Stretch4,2-Stretch,49.48,11.763,0.968,-0.054
Stretch4,2-Stretch,49.68,11.798,1.003,0.046
Stretch4,2-Stretch,49.88,11.832,1.037,0.145
Stretch4,2-Stretch,50.08,11.866,1.071,-0.153
Stretch4,2-Stretch,50.28,11.901,1.106,0.046
Stretch4,2-Stretch,50.48,11.936,1.141,0.245
Stretch4,2-Stretch,50.68,11.97,1.175,0.046
Stretch4,2-Stretch,50.88,12.005,1.21,0.245
Stretch4,2-Stretch,51.08,12.04,1.245,0.444
Stretch4,2-Stretch,51.28,12.074,1.279,0.444
Stretch4,2-Stretch,51.48,12.109,1.314,0.245
Stretch4,2-Stretch,51.68,12.143,1.348,0.544
Stretch4,2-Stretch,51.88,12.178,1.383,0.345
Stretch4,2-Stretch,52.08,12.213,1.418,0.345
Stretch4,2-Stretch,52.28,12.247,1.452,0.544
Stretch4,2-Stretch,52.48,12.282,1.487,0.245
Stretch4,2-Stretch,52.68,12.316,1.521,0.544
Stretch4,2-Stretch,52.88,12.351,1.556,0.444
Stretch4,2-Stretch,53.08,12.386,1.591,0.644
Stretch4,2-Stretch,53.28,12.421,1.626,0.644
Stretch4,2-Stretch,53.48,12.455,1.66,0.644
Stretch4,2-Stretch,53.68,12.49,1.695,0.644
Stretch4,2-Stretch,53.88,12.524,1.729,0.644
Stretch4,2-Stretch,54.08,12.559,1.764,0.644
Stretch4,2-Stretch,54.28,12.593,1.798,0.942
Stretch4,2-Stretch,54.48,12.628,1.833,1.241
Stretch4,2-Stretch,54.68,12.663,1.868,0.942
Stretch4,2-Stretch,54.88,12.697,1.902,1.341
Stretch4,2-Stretch,55.08,12.732,1.937,1.142
Stretch4,2-Stretch,55.28,12.766,1.971,1.341
Stretch4,2-Stretch,55.48,12.801,2.006,1.441
Stretch4,2-Stretch,55.68,12.836,2.041,1.441
Stretch4,2-Stretch,55.88,12.87,2.075,1.441
Stretch4,2-Stretch,56.08,12.905,2.11,2.038
Stretch4,2-Stretch,56.28,12.939,2.144,1.739
Stretch4,2-Stretch,56.48,12.974,2.179,2.138
Stretch4,2-Stretch,56.68,13.009,2.214,2.138
Stretch4,2-Stretch,56.88,13.044,2.249,2.038
Stretch4,2-Stretch,57.08,13.078,2.283,1.939
Stretch4,2-Stretch,57.28,13.113,2.318,2.238
Stretch4,2-Stretch,57.48,13.147,2.352,2.238
Stretch4,2-Stretch,57.68,13.182,2.387,2.238
Stretch4,2-Stretch,57.88,13.217,2.422,2.636
Stretch4,2-Stretch,58.08,13.251,2.456,2.238
Stretch4,2-Stretch,58.28,13.286,2.491,3.035
Stretch4,2-Stretch,58.48,13.32,2.525,3.035
Stretch4,2-Stretch,58.68,13.355,2.56,3.035
Stretch4,2-Stretch,58.88,13.389,2.594,3.433
Stretch4,2-Stretch,59.08,13.424,2.629,3.732
Stretch4,2-Stretch,59.28,13.459,2.664,3.832
Stretch4,2-Stretch,59.48,13.493,2.698,4.131
Stretch4,2-Stretch,59.68,13.528,2.733,3.832
Stretch4,2-Stretch,59.88,13.562,2.767,4.33
Stretch4,2-Stretch,60.08,13.597,2.802,4.429
Stretch4,2-Stretch,60.28,13.632,2.837,4.629
Stretch4,2-Stretch,60.48,13.666,2.871,5.027
Stretch4,2-Stretch,60.68,13.701,2.906,5.226
Stretch4,2-Stretch,60.88,13.736,2.941,5.426
Stretch4,2-Stretch,61.08,13.77,2.975,5.725
Stretch4,2-Stretch,61.28,13.805,3.01,5.824
Stretch4,2-Stretch,61.48,13.84,3.045,5.725
Stretch4,2-Stretch,61.68,13.874,3.079,6.223
Stretch4,2-Stretch,61.88,13.909,3.114,6.223
Stretch4,2-Stretch,62.08,13.943,3.148,6.92
Stretch4,2-Stretch,62.28,13.978,3.183,7.02
Stretch4,2-Stretch,62.48,14.012,3.217,7.119
Stretch4,2-Stretch,62.68,14.047,3.252,7.418
Stretch4,2-Stretch,62.88,14.082,3.287,7.817
Stretch4,2-Stretch,63.08,14.116,3.321,8.315
Stretch4,2-Stretch,63.28,14.151,3.356,8.514
Stretch4,2-Stretch,63.48,14.185,3.39,8.913
Stretch4,2-Stretch,63.68,14.22,3.425,9.211
Stretch4,2-Stretch,63.88,14.255,3.46,9.311
Stretch4,2-Stretch,64.08,14.289,3.494,9.411
Stretch4,2-Stretch,64.28,14.324,3.529,9.909
Stretch4,2-Stretch,64.48,14.359,3.564,10.208
Stretch4,2-Stretch,64.68,14.393,3.598,10.606
Stretch4,2-Stretch,64.88,14.428,3.633,11.104
Stretch4,2-Stretch,65.08,14.463,3.668,11.204
Stretch4,2-Stretch,65.28,14.497,3.702,11.602
Stretch4,2-Stretch,65.48,14.532,3.737,12.2
Stretch4,2-Stretch,65.68,14.566,3.771,12.499
Stretch4,2-Stretch,65.88,14.601,3.806,12.898
