# Stretch,Cauchy_stress
1.000000000000000000e+00,-1.890692068924909423e-03
1.004591669399803378e+00,4.850185906490012307e-03
1.009429321088881615e+00,-1.908520011523004260e-03
1.014184978681534899e+00,1.506616175126822667e-03
1.019022630370613358e+00,8.360319558698259268e-03
1.023860282059691817e+00,-1.935804514977480101e-03
1.028615939652345102e+00,4.966175497626281951e-03
1.033453591341423339e+00,1.535240542590223401e-03
1.038291243030501798e+00,-1.963089018431955074e-03
1.043128894719580257e+00,8.558093452346255195e-03
1.047884552312233541e+00,-1.981227012205669536e-03
1.052722204001312001e+00,1.563864910053624352e-03
1.057477861593965285e+00,5.105521354554496023e-03
1.062315513283043522e+00,-2.008511515660144509e-03
1.067153164972121981e+00,5.152233886138385746e-03
1.071908822564775488e+00,1.592367471698031894e-03
1.076746474253853725e+00,-2.035796019114620350e-03
1.081584125942932184e+00,8.873589901737104560e-03
1.086421777632010421e+00,1.613927101659827067e-03
1.091177435224663927e+00,-2.063080522569096190e-03
1.096015086913742387e+00,5.291579743066601553e-03
1.100770744506395671e+00,-2.081218516342810219e-03
1.105608396195473908e+00,5.337896405738761993e-03
1.110446047884552367e+00,-2.099511535704333409e-03
1.115201705477205651e+00,-2.108503019797285626e-03
1.120039357166284111e+00,9.189086351127953925e-03
1.124877008855362348e+00,1.671054030767635343e-03
1.129714660544440807e+00,1.678240574088233879e-03
1.134470318137094091e+00,1.313772095171170107e-02
1.139307969826172551e+00,-2.154080542613284657e-03
1.144063627418825835e+00,5.523558925339139107e-03
1.148901279107904294e+00,5.546915191131084402e-03
1.153738930796982531e+00,-2.181365046067759630e-03
1.158494588389636037e+00,9.504582800518805025e-03
1.163332240078714497e+00,1.728180959875444053e-03
1.168169891767792734e+00,1.735367503196042155e-03
1.173007543456870971e+00,9.623650756898718267e-03
1.177763201049524477e+00,-2.226787543295949499e-03
1.182600852738602937e+00,5.709617313851243769e-03
1.187356510331256221e+00,1.763870064840449697e-03
1.192194162020334458e+00,-2.254072046750424906e-03
1.197031813709412917e+00,9.820751950228185159e-03
1.201787471302066201e+00,1.785307888983251679e-03
1.206625122991144661e+00,1.792494432303850214e-03
1.211462774680223120e+00,1.402933124179968349e-02
1.216218432272876404e+00,-2.299494543978614341e-03
1.221056083961954641e+00,5.895279833451620884e-03
1.225893735651033101e+00,5.918636099243565311e-03
1.230649393243686607e+00,-2.326779047433090181e-03
1.235487044932764844e+00,1.013624839961903452e-02
1.240324696621843303e+00,1.842556623910053147e-03
1.245080354214496587e+00,1.849621361411658491e-03
1.249918005903575047e+00,1.447466162098100771e-02
1.254755657592653506e+00,-2.372356570249089646e-03
1.259511315185306790e+00,1.033334959294850142e-02
1.264348966874385027e+00,1.037303891174180467e-02
1.269186618563463487e+00,2.751017088067300720e-02
1.273942276156116771e+00,1.901099268832250749e-02
1.278779927845195230e+00,2.771811002357879930e-02
1.283617579534273467e+00,2.348917255035103124e-02
1.288373237126926751e+00,1.922634537630247414e-02
1.293210888816005211e+00,2.803090736675331943e-02
1.298048540505083670e+00,1.937072956483449834e-02
1.302804198097736954e+00,1.944169806428244426e-02
1.307641849786815413e+00,3.271446291286064789e-02
1.312397507379468697e+00,3.283343951487631418e-02
1.317235159068547157e+00,3.295446743761639569e-02
1.322072810757625394e+00,3.307549536035647025e-02
1.326910462446703853e+00,3.319652328309655176e-02
1.331666120039357137e+00,6.469771165273481561e-02
1.336503771728435597e+00,5.590804042365588034e-02
1.341259429321088881e+00,5.610697700921244563e-02
1.346097081010167340e+00,6.539882594685964001e-02
1.350934732699245577e+00,6.563385857954918967e-02
1.355690390291898861e+00,7.039626678357020773e-02
1.360528041980977321e+00,7.064746913873112821e-02
1.365365693670055780e+00,8.007216670018887927e-02
1.370203345359134017e+00,1.034402587298325210e-01
