SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch4,1-Preload,0.000,7.999,0,-0.101
Stretch4,1-Preload,0.200,7.999,0,0.199
Stretch4,1-Preload,0.400,8.039,0.04,-0.101
Stretch4,1-Preload,0.600,8.081,0.082,-0.001
Stretch4,1-Preload,0.800,8.129,0.13,0.099
Stretch4,1-Preload,1.000,8.166,0.167,-0.101
Stretch4,1-Preload,1.200,8.209,0.21,0.199
Stretch4,1-Preload,1.400,8.253,0.254,0.099
Stretch4,1-Preload,1.600,8.287,0.288,0.099
Stretch4,1-Preload,1.800,8.327,0.328,0.199
Stretch4,1-Preload,2.000,8.364,0.365,0.099
Stretch4,1-Preload,2.200,8.4,0.401,0.300
Stretch4,1-Preload,2.400,8.435,0.436,0.300
Stretch4,1-Preload,2.600,8.472,0.473,0.199
Stretch4,1-Preload,2.800,8.509,0.51,0.300
Stretch4,1-Preload,3.000,8.546,0.547,0.300
Stretch4,1-Preload,3.200,8.583,0.584,0.300
Stretch4,1-Preload,3.400,8.619,0.62,0.500
Stretch4,1-Preload,3.600,8.654,0.655,0.500
Stretch4,1-Preload,3.800,8.685,0.686,0.600
Stretch4,1-Preload,4.000,8.711,0.712,0.701
Stretch4,1-Preload,4.200,8.732,0.733,0.500
Stretch4,1-Preload,4.400,8.749,0.75,0.701
Stretch4,1-Preload,4.600,8.773,0.774,0.801
Stretch4,1-Preload,4.800,8.784,0.785,0.600
Stretch4,1-Preload,5.000,8.802,0.803,1.001
Stretch4,1-Stretch,5.180,8.802,0,0.701
Stretch4,1-Stretch,5.380,8.828,0.026,0.901
Stretch4,1-Stretch,5.580,8.856,0.054,0.901
Stretch4,1-Stretch,5.780,8.884,0.082,0.600
Stretch4,1-Stretch,5.980,8.912,0.11,1.001
Stretch4,1-Stretch,6.180,8.94,0.138,0.801
Stretch4,1-Stretch,6.380,8.968,0.166,0.701
Stretch4,1-Stretch,6.580,8.997,0.195,1.001
Stretch4,1-Stretch,6.780,9.025,0.223,0.901
Stretch4,1-Stretch,6.980,9.053,0.251,0.901
Stretch4,1-Stretch,7.180,9.081,0.279,1.101
Stretch4,1-Stretch,7.380,9.11,0.308,1.001
Stretch4,1-Stretch,7.580,9.138,0.336,0.901
Stretch4,1-Stretch,7.780,9.166,0.364,0.701
Stretch4,1-Stretch,7.980,9.194,0.392,0.801
Stretch4,1-Stretch,8.180,9.223,0.421,1.001
Stretch4,1-Stretch,8.380,9.251,0.449,1.001
Stretch4,1-Stretch,8.580,9.279,0.477,1.101
Stretch4,1-Stretch,8.780,9.307,0.505,1.101
Stretch4,1-Stretch,8.980,9.335,0.533,1.101
Stretch4,1-Stretch,9.180,9.364,0.562,1.101
Stretch4,1-Stretch,9.380,9.392,0.59,1.101
Stretch4,1-Stretch,9.580,9.42,0.618,1.302
Stretch4,1-Stretch,9.780,9.448,0.646,1.101
Stretch4,1-Stretch,9.980,9.477,0.675,1.402
Stretch4,1-Stretch,10.180,9.505,0.703,1.202
Stretch4,1-Stretch,10.380,9.533,0.731,1.302
Stretch4,1-Stretch,10.580,9.561,0.759,1.603
Stretch4,1-Stretch,10.780,9.589,0.787,1.803
Stretch4,1-Stretch,10.980,9.618,0.816,1.903
Stretch4,1-Stretch,11.180,9.646,0.844,1.903
Stretch4,1-Stretch,11.380,9.674,0.872,1.903
Stretch4,1-Stretch,11.580,9.702,0.9,2.204
Stretch4,1-Stretch,11.780,9.73,0.928,2.004
Stretch4,1-Stretch,11.980,9.759,0.957,2.004
Stretch4,1-Stretch,12.180,9.787,0.985,2.304
Stretch4,1-Stretch,12.380,9.815,1.013,2.605
Stretch4,1-Stretch,12.580,9.843,1.041,2.705
Stretch4,1-Stretch,12.780,9.872,1.07,2.605
Stretch4,1-Stretch,12.980,9.9,1.098,2.705
Stretch4,1-Stretch,13.180,9.928,1.126,2.805
Stretch4,1-Stretch,13.380,9.956,1.154,2.705
Stretch4,1-Stretch,13.580,9.984,1.182,2.705
Stretch4,1-Stretch,13.780,10.013,1.211,2.805
Stretch4,1-Stretch,13.980,10.041,1.239,3.206
Stretch4,1-Stretch,14.180,10.069,1.267,3.206
Stretch4,1-Stretch,14.380,10.097,1.295,3.206
Stretch4,1-Stretch,14.580,10.125,1.323,3.407
Stretch4,1-Stretch,14.780,10.154,1.352,3.507
Stretch4,1-Stretch,14.980,10.182,1.38,3.507
Stretch4,1-Stretch,15.180,10.21,1.408,3.507
Stretch4,1-Stretch,15.380,10.238,1.436,3.908
Stretch4,1-Stretch,15.580,10.267,1.465,4.209
Stretch4,1-Stretch,15.780,10.295,1.493,4.008
Stretch4,1-Stretch,15.980,10.323,1.521,4.108
Stretch4,1-Stretch,16.180,10.351,1.549,4.309
Stretch4,1-Stretch,16.380,10.379,1.577,4.309
Stretch4,1-Stretch,16.580,10.408,1.606,4.710
Stretch4,1-Stretch,16.780,10.436,1.634,4.609
Stretch4,1-Stretch,16.980,10.464,1.662,4.509
Stretch4,1-Stretch,17.180,10.492,1.69,4.409
Stretch4,1-Stretch,17.380,10.521,1.719,4.509
Stretch4,1-Stretch,17.580,10.549,1.747,4.710
Stretch4,1-Stretch,17.780,10.577,1.775,5.111
Stretch4,1-Stretch,17.980,10.605,1.803,5.111
Stretch4,1-Stretch,18.180,10.634,1.832,5.111
Stretch4,1-Stretch,18.380,10.662,1.86,5.211
Stretch4,1-Stretch,18.580,10.69,1.888,5.511
Stretch4,1-Stretch,18.780,10.718,1.916,5.411
Stretch4,1-Stretch,18.980,10.746,1.944,5.912
Stretch4,1-Stretch,19.180,10.775,1.973,5.912
Stretch4,1-Stretch,19.380,10.803,2.001,6.013
Stretch4,1-Stretch,19.580,10.831,2.029,6.213
Stretch4,1-Stretch,19.780,10.859,2.057,6.013
Stretch4,1-Stretch,19.980,10.888,2.086,6.614
Stretch4,1-Stretch,20.180,10.916,2.114,6.514
Stretch4,1-Stretch,20.380,10.944,2.142,6.614
Stretch4,1-Stretch,20.580,10.972,2.17,6.614
Stretch4,1-Stretch,20.780,11.001,2.199,6.714
Stretch4,1-Stretch,20.980,11.029,2.227,6.814
Stretch4,1-Stretch,21.180,11.057,2.255,6.814
Stretch4,1-Stretch,21.380,11.085,2.283,7.416
Stretch4,1-Stretch,21.580,11.113,2.311,7.316
Stretch4,1-Stretch,21.780,11.141,2.339,7.316
Stretch4,1-Stretch,21.980,11.17,2.368,7.516
Stretch4,1-Stretch,22.180,11.198,2.396,7.516
Stretch4,1-Stretch,22.380,11.226,2.424,7.616
Stretch4,1-Stretch,22.580,11.254,2.452,8.117
Stretch4,1-Stretch,22.780,11.283,2.481,7.917
Stretch4,1-Stretch,22.980,11.311,2.509,8.218
Stretch4,1-Stretch,23.180,11.339,2.537,8.218
Stretch4,1-Stretch,23.380,11.367,2.565,8.218
Stretch4,1-Stretch,23.580,11.396,2.594,8.117
Stretch4,1-Stretch,23.780,11.424,2.622,8.418
Stretch4,1-Stretch,23.980,11.452,2.65,8.318
Stretch4,1-Stretch,24.180,11.48,2.678,8.318
Stretch4,1-Stretch,24.380,11.508,2.706,8.418
Stretch4,1-Stretch,24.580,11.536,2.734,8.418
Stretch4,1-Stretch,24.780,11.565,2.763,8.418
Stretch4,1-Stretch,24.980,11.593,2.791,8.819
Stretch4,1-Stretch,25.180,11.621,2.819,8.819
Stretch4,1-Stretch,25.380,11.649,2.847,9.120
Stretch4,1-Stretch,25.580,11.678,2.876,9.120
Stretch4,1-Stretch,25.780,11.706,2.904,9.120
Stretch4,1-Stretch,25.980,11.734,2.932,9.420
Stretch4,1-Stretch,26.180,11.762,2.96,9.220
Stretch4,1-Stretch,26.380,11.791,2.989,9.420
Stretch4,1-Stretch,26.580,11.819,3.017,9.821
Stretch4,1-Stretch,26.780,11.847,3.045,9.921
Stretch4,1-Stretch,26.980,11.875,3.073,9.921
Stretch4,1-Stretch,27.180,11.903,3.101,9.921
Stretch4,1-Stretch,27.380,11.932,3.13,9.921
Stretch4,1-Stretch,27.580,11.96,3.158,10.222
Stretch4,1-Stretch,27.780,11.988,3.186,9.921
Stretch4,1-Stretch,27.980,12.016,3.214,10.022
Stretch4,1-Stretch,28.180,12.045,3.243,10.222
Stretch4,1-Stretch,28.380,12.073,3.271,10.623
Stretch4,1-Stretch,28.580,12.101,3.299,10.423
Stretch4,1-Stretch,28.780,12.129,3.327,10.523
Stretch4,1-Stretch,28.980,12.158,3.356,10.623
Stretch4,1-Stretch,29.180,12.186,3.384,10.723
Stretch4,1-Stretch,29.380,12.214,3.412,10.723
Stretch4,1-Stretch,29.580,12.242,3.44,10.824
Stretch4,1-Stretch,29.780,12.27,3.468,10.924
Stretch4,1-Stretch,29.980,12.298,3.496,11.425
Stretch4,1-Stretch,30.180,12.323,3.521,11.224
Stretch4,1-Recover,30.210,12.323,3.521,11.224
Stretch4,1-Recover,30.410,12.254,3.452,10.322
Stretch4,1-Recover,30.610,12.183,3.381,8.919
Stretch4,1-Recover,30.810,12.112,3.31,8.318
Stretch4,1-Recover,31.010,12.041,3.239,7.516
Stretch4,1-Recover,31.210,11.971,3.169,6.714
Stretch4,1-Recover,31.410,11.9,3.098,6.313
Stretch4,1-Recover,31.610,11.829,3.027,5.912
Stretch4,1-Recover,31.810,11.758,2.956,5.111
Stretch4,1-Recover,32.010,11.688,2.886,4.609
Stretch4,1-Recover,32.210,11.617,2.815,4.609
Stretch4,1-Recover,32.410,11.546,2.744,4.008
Stretch4,1-Recover,32.610,11.475,2.673,3.507
Stretch4,1-Recover,32.810,11.404,2.602,3.407
Stretch4,1-Recover,33.010,11.334,2.532,2.705
Stretch4,1-Recover,33.210,11.263,2.461,2.705
Stretch4,1-Recover,33.410,11.192,2.39,2.705
Stretch4,1-Recover,33.610,11.121,2.319,2.304
Stretch4,1-Recover,33.810,11.051,2.249,1.903
Stretch4,1-Recover,34.010,10.98,2.178,1.903
Stretch4,1-Recover,34.210,10.909,2.107,1.402
Stretch4,1-Recover,34.410,10.838,2.036,1.202
Stretch4,1-Recover,34.610,10.768,1.966,1.101
Stretch4,1-Recover,34.810,10.697,1.895,1.101
Stretch4,1-Recover,35.010,10.626,1.824,0.901
Stretch4,1-Recover,35.210,10.555,1.753,1.001
Stretch4,1-Recover,35.410,10.484,1.682,1.001
Stretch4,1-Recover,35.610,10.413,1.611,0.801
Stretch4,1-Recover,35.810,10.343,1.541,0.701
Stretch4,1-Recover,36.010,10.272,1.47,1.001
Stretch4,1-Recover,36.210,10.201,1.399,0.600
Stretch4,1-Recover,36.410,10.131,1.329,0.300
Stretch4,1-Recover,36.610,10.06,1.258,0.300
Stretch4,1-Recover,36.810,9.989,1.187,0.300
Stretch4,1-Recover,37.010,9.918,1.116,0.300
Stretch4,1-Recover,37.210,9.848,1.046,0.300
Stretch4,1-Recover,37.410,9.777,0.975,0.199
Stretch4,1-Recover,37.610,9.706,0.904,0.199
Stretch4,1-Recover,37.810,9.635,0.833,-0.001
Stretch4,1-Recover,38.010,9.564,0.762,0.199
Stretch4,1-Recover,38.210,9.493,0.691,0.099
Stretch4,1-Recover,38.410,9.423,0.621,-0.101
Stretch4,1-Recover,38.610,9.352,0.55,0.199
Stretch4,1-Recover,38.810,9.281,0.479,-0.001
Stretch4,1-Recover,39.010,9.21,0.408,-0.101
Stretch4,1-Recover,39.210,9.14,0.338,0.099
Stretch4,1-Recover,39.410,9.069,0.267,-0.101
Stretch4,1-Recover,39.610,8.998,0.196,-0.302
Stretch4,1-Recover,39.810,8.927,0.125,-0.001
Stretch4,1-Recover,40.010,8.857,0.055,-0.402
Stretch4,2-Stretch,40.210,8.801,-0.001,-0.001
Stretch4,2-Stretch,40.410,8.828,0.026,-0.001
Stretch4,2-Stretch,40.610,8.857,0.055,-0.001
Stretch4,2-Stretch,40.810,8.885,0.083,0.199
Stretch4,2-Stretch,41.010,8.913,0.111,-0.101
Stretch4,2-Stretch,41.210,8.941,0.139,0.199
Stretch4,2-Stretch,41.410,8.969,0.167,0.099
Stretch4,2-Stretch,41.610,8.998,0.196,-0.201
Stretch4,2-Stretch,41.810,9.026,0.224,0.199
Stretch4,2-Stretch,42.010,9.054,0.252,-0.101
Stretch4,2-Stretch,42.210,9.082,0.28,-0.101
Stretch4,2-Stretch,42.410,9.111,0.309,0.099
Stretch4,2-Stretch,42.610,9.139,0.337,-0.101
Stretch4,2-Stretch,42.810,9.167,0.365,0.099
Stretch4,2-Stretch,43.010,9.195,0.393,0.099
Stretch4,2-Stretch,43.210,9.224,0.422,-0.101
Stretch4,2-Stretch,43.410,9.252,0.45,0.199
Stretch4,2-Stretch,43.610,9.28,0.478,-0.001
Stretch4,2-Stretch,43.810,9.308,0.506,-0.001
Stretch4,2-Stretch,44.010,9.336,0.534,0.199
Stretch4,2-Stretch,44.210,9.365,0.563,-0.101
Stretch4,2-Stretch,44.410,9.393,0.591,0.099
Stretch4,2-Stretch,44.610,9.421,0.619,0.099
Stretch4,2-Stretch,44.810,9.449,0.647,-0.101
Stretch4,2-Stretch,45.010,9.478,0.676,0.199
Stretch4,2-Stretch,45.210,9.506,0.704,0.199
Stretch4,2-Stretch,45.410,9.534,0.732,0.099
Stretch4,2-Stretch,45.610,9.562,0.76,0.300
Stretch4,2-Stretch,45.810,9.59,0.788,0.199
Stretch4,2-Stretch,46.010,9.619,0.817,0.300
Stretch4,2-Stretch,46.210,9.647,0.845,0.300
Stretch4,2-Stretch,46.410,9.675,0.873,0.300
Stretch4,2-Stretch,46.610,9.703,0.901,0.300
Stretch4,2-Stretch,46.810,9.732,0.93,0.300
Stretch4,2-Stretch,47.010,9.76,0.958,0.199
Stretch4,2-Stretch,47.210,9.788,0.986,0.300
Stretch4,2-Stretch,47.410,9.816,1.014,0.300
Stretch4,2-Stretch,47.610,9.845,1.043,0.300
Stretch4,2-Stretch,47.810,9.873,1.071,0.300
Stretch4,2-Stretch,48.010,9.901,1.099,0.300
Stretch4,2-Stretch,48.210,9.929,1.127,0.400
Stretch4,2-Stretch,48.410,9.957,1.155,0.701
Stretch4,2-Stretch,48.610,9.986,1.184,0.600
Stretch4,2-Stretch,48.810,10.014,1.212,1.001
Stretch4,2-Stretch,49.010,10.042,1.24,0.701
Stretch4,2-Stretch,49.210,10.07,1.268,1.001
Stretch4,2-Stretch,49.410,10.099,1.297,0.901
