# Stretch,Cauchy_stress
1.000000000000000000e+00,-7.384500225868425964e-03
1.005256241787122251e+00,-1.481699589727075717e-03
1.010906701708278455e+00,-4.484984572646912547e-03
1.016557161629434880e+00,-6.008409984938027984e-03
1.022076215505913099e+00,-1.506491425999632915e-03
1.027726675427069525e+00,-3.029639866994891014e-03
1.033377135348225950e+00,-3.046296881990515765e-03
1.038896189224704170e+00,-3.062566524544381094e-03
1.044546649145860595e+00,-6.173843196777712219e-03
1.050197109067017021e+00,-1.547940277267815514e-03
1.055847568988173446e+00,-4.684369042144538586e-03
1.061366622864651665e+00,-3.128807212085121543e-03
1.067017082785808091e+00,-1.572732113540372930e-03
1.072667542706964516e+00,-3.162121242076371044e-03
1.078186596583442736e+00,-1.589195442315118403e-03
1.083837056504599161e+00,-1.597523949812930562e-03
1.089487516425755587e+00,-4.833615896505335553e-03
1.095006570302233806e+00,-1.613987278587676035e-03
1.100657030223390231e+00,-3.244631572170976388e-03
1.106307490144546657e+00,-3.261288587166601572e-03
1.111957950065702860e+00,-1.638972801081112728e-03
1.117477003942181302e+00,-4.957793943297717984e-03
1.123127463863337727e+00,-3.310872259711716836e-03
1.128777923784493931e+00,-1.663764637353670360e-03
1.134296977660972372e+00,-1.671899458630603458e-03
1.139947437582128797e+00,-1.680227966128416050e-03
1.145597897503285001e+00,0.000000000000000000e+00
1.151116951379763442e+00,-3.393382589806322614e-03
1.156767411300919868e+00,-1.705019802400973465e-03
1.162417871222076071e+00,0.000000000000000000e+00
1.168068331143232497e+00,-1.721676817396597999e-03
1.173587385019710716e+00,0.000000000000000000e+00
1.179237844940867364e+00,0.000000000000000000e+00
1.184888304862023567e+00,0.000000000000000000e+00
1.190407358738501786e+00,0.000000000000000000e+00
1.196057818659658434e+00,0.000000000000000000e+00
1.201708278580814637e+00,0.000000000000000000e+00
1.207227332457292857e+00,-1.779395311218646145e-03
1.212877792378449504e+00,0.000000000000000000e+00
1.218528252299605708e+00,0.000000000000000000e+00
1.224178712220762133e+00,0.000000000000000000e+00
1.229697766097240574e+00,0.000000000000000000e+00
1.235348226018396778e+00,0.000000000000000000e+00
1.240998685939553203e+00,1.829172669984641120e-03
1.246517739816031645e+00,0.000000000000000000e+00
1.252168199737187848e+00,0.000000000000000000e+00
1.257818659658344052e+00,0.000000000000000000e+00
1.263337713534822715e+00,0.000000000000000000e+00
1.268988173455978918e+00,0.000000000000000000e+00
1.274638633377135122e+00,3.757512685059511900e-03
1.280289093298291769e+00,5.680125398582981135e-03
1.285808147174769989e+00,5.704611210626548377e-03
1.291458607095926192e+00,1.336290821519223876e-02
1.297109067017082840e+00,7.666625512063506877e-03
1.302628120893561059e+00,9.619257652961066274e-03
1.308278580814717262e+00,1.158932349059997591e-02
1.313929040735873910e+00,5.829372252943778102e-03
1.319448094612352129e+00,1.365251947382430629e-02
1.325098554533508333e+00,1.173832242659804577e-02
1.330749014454664980e+00,1.178837675665989938e-02
1.336399474375821184e+00,1.579770670807129074e-02
1.341918528252299625e+00,1.586294797471229229e-02
1.347568988173456050e+00,1.592974260484474741e-02
1.353219448094612254e+00,1.599653723497720254e-02
1.358738501971090695e+00,1.806449402551075015e-02
1.364388961892246899e+00,2.620390372901633749e-02
1.370039421813403324e+00,2.631242418171283320e-02
1.375558475689881766e+00,2.439091354278617382e-02
1.381208935611037969e+00,3.059861309097359344e-02
1.386859395532194394e+00,3.278839657757805226e-02
1.392509855453350820e+00,3.084896802635783350e-02
1.398028909329829039e+00,2.478935127834372421e-02
1.403679369250985465e+00,3.109641185784225298e-02
1.409329829172141890e+00,3.331964689165477916e-02
1.414848883048620110e+00,3.345012942493678226e-02
1.420499342969776535e+00,3.567746673290753817e-02
1.426149802890932961e+00,3.371730794546661664e-02
1.431668856767411180e+00,4.017842460819036343e-02
1.437319316688567605e+00,5.095088420968049703e-02
1.442969776609724031e+00,5.115118481500287306e-02
1.448620236530880234e+00,5.777842808623707277e-02
1.454139290407358676e+00,5.154712787203549751e-02
1.459789750328515101e+00,6.900374350390302280e-02
1.465440210249671305e+00,6.927083873935785396e-02
1.470959264126149746e+00,6.953172245770909699e-02
1.476609724047306171e+00,6.979881769316394202e-02
1.482260183968462375e+00,8.101166359192966959e-02
1.487779237844940594e+00,8.352814731160236594e-02
1.493429697766097242e+00,8.824786796278183409e-02
1.499080157687253445e+00,9.965171559140549584e-02
1.504599211563731664e+00,1.022363032600638044e-01
1.510249671484888312e+00,1.048685435496450880e-01
1.515900131406044515e+00,1.164550644006289021e-01
1.521550591327201163e+00,1.146464534598528595e-01
1.527069645203679382e+00,1.150623055235296538e-01
1.532720105124835586e+00,1.268064307893052578e-01
1.538370565045992233e+00,1.340763636786613255e-01
1.543889618922470452e+00,1.345573756607663651e-01
1.549540078843626656e+00,1.465152588504910480e-01
1.555190538764783303e+00,1.539263618787972687e-01
1.560709592641261523e+00,1.636972642215335783e-01
1.566360052562417726e+00,1.642899208150779000e-01
1.572010512483574152e+00,1.788081576535044681e-01
1.577660972404730577e+00,1.841249160805445428e-01
1.583180026281208796e+00,1.917929613126070354e-01
1.588830486202365222e+00,2.042102004280803018e-01
1.594480946123521647e+00,2.072866348860396279e-01
1.599999999999999867e+00,2.127207729735192121e-01
1.605650459921156292e+00,2.253525970531046752e-01
1.611300919842312718e+00,2.332705788583143147e-01
1.616819973718790937e+00,2.484159348795662858e-01
1.622470433639947363e+00,2.540669860395330937e-01
1.628120893561103788e+00,2.597753489522580117e-01
1.633771353482259991e+00,2.775576963860894031e-01
1.639290407358738433e+00,2.857681850589333106e-01
1.644940867279894858e+00,2.989002638466681239e-01
1.650591327201051062e+00,2.926039954633970486e-01
1.656110381077529503e+00,3.156004379428913320e-01
1.661760840998685929e+00,3.289485039829775914e-01
1.667411300919842354e+00,3.424045985127593394e-01
1.672930354796320573e+00,3.534012189251219405e-01
1.678580814717476777e+00,3.645161932396150939e-01
1.684231274638633424e+00,3.782052632401816106e-01
1.689881734559789628e+00,3.919530434080210068e-01
1.695400788436267847e+00,4.032538867675188321e-01
1.699999999999999956e+00,4.169014672427107659e-01
