SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch4,1-Preload,0.000,8.834,0,-0.146
Stretch4,1-Preload,0.200,8.834,0,-0.046
Stretch4,1-Preload,0.400,8.874,0.04,0.054
Stretch4,1-Preload,0.600,8.922,0.088,0.054
Stretch4,1-Preload,0.800,8.961,0.127,0.054
Stretch4,1-Preload,1.000,8.994,0.16,0.555
Stretch4,1-Preload,1.200,9.024,0.19,0.355
Stretch4,1-Preload,1.400,9.055,0.221,0.255
Stretch4,1-Preload,1.600,9.089,0.255,0.555
Stretch4,1-Preload,1.800,9.121,0.287,0.255
Stretch4,1-Preload,2.000,9.147,0.313,0.455
Stretch4,1-Preload,2.200,9.18,0.346,0.555
Stretch4,1-Preload,2.400,9.207,0.373,0.455
Stretch4,1-Preload,2.600,9.236,0.402,0.555
Stretch4,1-Preload,2.800,9.262,0.428,0.655
Stretch4,1-Preload,3.000,9.285,0.451,0.455
Stretch4,1-Preload,3.200,9.308,0.474,0.655
Stretch4,1-Preload,3.400,9.33,0.496,0.655
Stretch4,1-Preload,3.600,9.352,0.518,0.655
Stretch4,1-Preload,3.800,9.374,0.54,0.655
Stretch4,1-Preload,4.000,9.389,0.555,0.655
Stretch4,1-Preload,4.200,9.401,0.567,0.856
Stretch4,1-Preload,4.400,9.407,0.573,0.856
Stretch4,1-Preload,4.600,9.413,0.579,0.655
Stretch4,1-Preload,4.800,9.419,0.585,1.056
Stretch4,1-Preload,5.000,9.424,0.59,0.856
Stretch4,1-Stretch,5.190,9.424,0,0.756
Stretch4,1-Stretch,5.390,9.452,0.028,0.956
Stretch4,1-Stretch,5.590,9.482,0.058,0.956
Stretch4,1-Stretch,5.790,9.512,0.088,1.357
Stretch4,1-Stretch,5.990,9.543,0.119,1.157
Stretch4,1-Stretch,6.190,9.573,0.149,1.157
Stretch4,1-Stretch,6.390,9.603,0.179,1.357
Stretch4,1-Stretch,6.590,9.633,0.209,1.357
Stretch4,1-Stretch,6.790,9.663,0.239,1.357
Stretch4,1-Stretch,6.990,9.694,0.27,1.257
Stretch4,1-Stretch,7.190,9.724,0.3,1.157
Stretch4,1-Stretch,7.390,9.754,0.33,1.558
Stretch4,1-Stretch,7.590,9.784,0.36,1.457
Stretch4,1-Stretch,7.790,9.815,0.391,1.457
Stretch4,1-Stretch,7.990,9.845,0.421,1.457
Stretch4,1-Stretch,8.190,9.875,0.451,1.758
Stretch4,1-Stretch,8.390,9.905,0.481,1.558
Stretch4,1-Stretch,8.590,9.935,0.511,1.658
Stretch4,1-Stretch,8.790,9.966,0.542,1.958
Stretch4,1-Stretch,8.990,9.996,0.572,2.259
Stretch4,1-Stretch,9.190,10.026,0.602,2.259
Stretch4,1-Stretch,9.390,10.056,0.632,2.259
Stretch4,1-Stretch,9.590,10.086,0.662,2.259
Stretch4,1-Stretch,9.790,10.116,0.692,2.560
Stretch4,1-Stretch,9.990,10.147,0.723,2.460
Stretch4,1-Stretch,10.190,10.177,0.753,2.961
Stretch4,1-Stretch,10.390,10.207,0.783,2.961
Stretch4,1-Stretch,10.590,10.238,0.814,3.061
Stretch4,1-Stretch,10.790,10.268,0.844,3.161
Stretch4,1-Stretch,10.990,10.298,0.874,3.161
Stretch4,1-Stretch,11.190,10.328,0.904,3.562
Stretch4,1-Stretch,11.390,10.358,0.934,3.462
Stretch4,1-Stretch,11.590,10.388,0.964,3.763
Stretch4,1-Stretch,11.790,10.419,0.995,3.863
Stretch4,1-Stretch,11.990,10.449,1.025,3.863
Stretch4,1-Stretch,12.190,10.479,1.055,4.364
Stretch4,1-Stretch,12.390,10.51,1.086,4.364
Stretch4,1-Stretch,12.590,10.54,1.116,4.464
Stretch4,1-Stretch,12.790,10.57,1.146,4.665
Stretch4,1-Stretch,12.990,10.6,1.176,4.665
Stretch4,1-Stretch,13.190,10.63,1.206,5.166
Stretch4,1-Stretch,13.390,10.66,1.236,5.065
Stretch4,1-Stretch,13.590,10.691,1.267,5.065
Stretch4,1-Stretch,13.790,10.721,1.297,4.765
Stretch4,1-Stretch,13.990,10.751,1.327,5.466
Stretch4,1-Stretch,14.190,10.781,1.357,5.466
Stretch4,1-Stretch,14.390,10.811,1.387,5.466
Stretch4,1-Stretch,14.590,10.842,1.418,5.867
Stretch4,1-Stretch,14.790,10.872,1.448,6.268
Stretch4,1-Stretch,14.990,10.902,1.478,6.268
Stretch4,1-Stretch,15.190,10.933,1.509,6.569
