# Stretch,Cauchy_stress
1.000000000000000000e+00,-6.216678602689583791e-03
1.004521129359660536e+00,-4.460560722028412452e-03
1.009411330503783066e+00,-9.861006288029744438e-03
1.014209263701790098e+00,-4.503580734503197062e-03
1.019007196899797130e+00,-6.334840236953660254e-03
1.023805130097804161e+00,-4.546191032573461063e-03
1.028603063295811193e+00,-6.394494654252029855e-03
1.033400996493818003e+00,-4.588801330643722462e-03
1.038198929691825256e+00,-6.454149071550396854e-03
1.042996862889832066e+00,-6.483976280199580354e-03
1.047887064033954596e+00,-8.375627685876551806e-03
1.052684997231961850e+00,-4.674431641188772808e-03
1.057482930429968659e+00,-2.798659126973445863e-03
1.062280863627975691e+00,-8.490675490666262440e-03
1.067078796825982723e+00,-2.824054864623323346e-03
1.071876730023989754e+00,-8.567374027192736774e-03
1.076674663221996786e+00,-6.693340340910200123e-03
1.081564864366119316e+00,-9.413237609616002506e-04
1.086362797564126126e+00,-1.061275027744627147e-02
1.091160730762133380e+00,-6.783395567024084159e-03
1.095958663960140411e+00,-4.866587696909478386e-03
1.100756597158147221e+00,-1.075336426107813964e-02
1.105554530356154253e+00,-4.909197994979740652e-03
1.110352463554161506e+00,-8.874905659226772769e-03
1.115242664698283814e+00,-8.913992413418145994e-03
1.120040597896290846e+00,-6.962932419085518694e-03
1.124838531094298100e+00,-1.098862227215453846e-02
1.129636464292304909e+00,-7.022586836383887428e-03
1.134434397490311941e+00,-5.037438603595051530e-03
1.139232330688318973e+00,-1.112923625578640489e-02
1.144030263886326004e+00,-7.112068462331440528e-03
1.148920465030448534e+00,-9.183174777188942220e-03
1.153718398228455566e+00,-9.221524045452180254e-03
1.158516331426462376e+00,-5.144374063175230841e-03
1.163314264624469629e+00,-1.136449426686280025e-02
1.168112197822476661e+00,-7.261778105743693298e-03
1.172910131020483471e+00,-7.291605314392875063e-03
1.177708064218490502e+00,-1.150510825049466668e-02
1.182598265362613033e+00,-5.251309522755411019e-03
1.187396198560620064e+00,-9.490706409222976481e-03
1.192101863812511597e+00,-5.293510106421152675e-03
1.196992064956634128e+00,-5.315224969860805719e-03
1.201789998154641159e+00,-5.336530118895937286e-03
1.206587931352648191e+00,-5.357835267931069720e-03
1.211385864550655223e+00,-3.205967688511855707e-03
1.216183797748662032e+00,-1.058487330936260917e-03
1.220981730946669286e+00,-3.231363426161732756e-03
1.225779664144676318e+00,3.287605741899243730e-03
1.230577597342683127e+00,-1.071014758568918307e-03
1.235375530540690159e+00,-5.485666162141858253e-03
1.240265731684812911e+00,3.326458139451233566e-03
1.245063664882819721e+00,-1.083622490224862020e-03
1.249861598080826752e+00,1.132198230024962027e-03
1.254659531278834006e+00,3.365063069502891458e-03
1.259457464476840816e+00,-1.096149917857519411e-03
1.264255397674847847e+00,1.145236981234462603e-03
1.269053330872854879e+00,1.149583231637629462e-03
1.273943532016977409e+00,-3.371528362806245054e-03
1.278741465214984441e+00,3.429652087089319745e-03
1.283539398412991472e+00,-1.117109267935234790e-03
1.288337331610998282e+00,-3.409621969281059761e-03
1.293135264809005536e+00,3.468257017140978938e-03
1.297933198007012567e+00,-3.435017706930936811e-03
1.302731131205019377e+00,1.180090566198319741e-03
1.307621332349142129e+00,1.184520398340009086e-03
1.312419265547148939e+00,5.874399911436869320e-03
1.317217198745155970e+00,5.895875501664281371e-03
1.322015131943163002e+00,5.917351091891694288e-03
1.326813065141170034e+00,5.938826682119106339e-03
1.331610998339177065e+00,5.960302272346520991e-03
1.336408931537184097e+00,5.981777862573932174e-03
1.341299132681306627e+00,8.386073764334237360e-03
1.346097065879313659e+00,2.039462760310191761e-02
1.350894999077320691e+00,1.324497194129965402e-02
1.355692932275327722e+00,2.294798743837294860e-02
1.360490865473334532e+00,1.819621155075617711e-02
1.365288798671341786e+00,2.311041789461679499e-02
1.370086731869348817e+00,2.562517279983616766e-02
1.374884665067355627e+00,2.571491008757214106e-02
1.379774866211478379e+00,2.828162825128820168e-02
1.384572799409485189e+00,3.824164448345705736e-02
1.389370732607492220e+00,3.341390098981147916e-02
1.394168665805499252e+00,4.345930825931313551e-02
1.398966599003506284e+00,4.609370632608333906e-02
1.403764532201513315e+00,4.126507457160875914e-02
1.408562465399520347e+00,4.640987473776468641e-02
1.413452666543642877e+00,4.657099902448692819e-02
1.418250599741649909e+00,4.672908323032759492e-02
1.423048532939656940e+00,4.941477754054392907e-02
1.427846466137663750e+00,5.721514161960764011e-02
1.432644399335670782e+00,6.761146272115171885e-02
1.437442332533678035e+00,6.783789384509711362e-02
1.442240265731684845e+00,7.577503698096638152e-02
1.447130466875807375e+00,8.117273582159979795e-02
1.451928400073814629e+00,8.920437057115512824e-02
1.456726333271821439e+00,8.949914861320519555e-02
1.461524266469828470e+00,8.979392665525527673e-02
1.466322199667835502e+00,9.792816700256376516e-02
1.471120132865842534e+00,1.087005747891641033e-01
1.475918066063849565e+00,1.117028242814596534e-01
1.480808267207972095e+00,1.226200448049093450e-01
1.485606200405978905e+00,1.309335171767623263e-01
1.490404133603985937e+00,1.366773476629085937e-01
1.495202066801992968e+00,1.450846479111123077e-01
1.500000000000000222e+00,1.402216263683797870e-01
1.504797933198007254e+00,1.540609349414515661e-01
1.509595866396014285e+00,1.572334814065577957e-01
1.514393799594021095e+00,1.658296845781102591e-01
1.519191732792028127e+00,1.798739486849000035e-01
1.523989665990035158e+00,1.804420291787727781e-01
1.528787599188042190e+00,1.946143798415616855e-01
1.533585532386049000e+00,2.034242310476384874e-01
1.538475733530171752e+00,2.204960109146218705e-01
1.543273666728178561e+00,2.294345271934369879e-01
1.548071599926185593e+00,2.466733722060081291e-01
1.552869533124192625e+00,2.474378861739847946e-01
1.557667466322199878e+00,2.509967867671246133e-01
1.562465399520206910e+00,2.600956324867172986e-01
1.567263332718213942e+00,2.776525764852438294e-01
1.572153533862336472e+00,2.897166351538209561e-01
1.576951467060343504e+00,3.018046850590690999e-01
1.581749400258350535e+00,3.083700191480034380e-01
1.586547333456357345e+00,3.234236589394882122e-01
1.591345266654364377e+00,3.385626897683057246e-01
1.596143199852371408e+00,3.509520518409273149e-01
1.600018453589223233e+00,3.660422578235869584e-01
