# Stretch,Cauchy_stress
1.000000000000000000e+00,-7.277257696427739129e-04
1.003026423000815015e+00,2.119599125446082564e-03
1.006285647770922997e+00,7.041346129851655880e-04
1.009544872541031424e+00,3.560332663046677278e-03
1.012687696426492812e+00,2.140015363975967741e-03
1.015946921196601238e+00,2.146902769745086259e-03
1.019089745082062848e+00,5.034444380450780153e-03
1.022348969852170830e+00,3.605488502195199063e-03
1.025491793737632440e+00,9.414568922850080970e-03
1.028751018507740644e+00,6.536278394775139194e-03
1.031893842393202254e+00,6.556246658710298061e-03
1.035153067163310681e+00,9.503264634609057127e-03
1.038412291933418663e+00,5.129900436093819648e-03
1.041555115818880273e+00,9.562038901437291266e-03
1.044814340588988699e+00,8.115149378405879868e-03
1.047957164474450087e+00,5.177053427435564410e-03
1.051216389244558513e+00,9.650734613196265688e-03
1.054359213130019901e+00,6.698982767580134029e-03
1.057618437900128106e+00,8.214599738435360982e-03
1.060877662670236532e+00,9.739430324955238374e-03
1.064020486555697920e+00,5.256408461644840151e-03
1.067163310441159307e+00,8.288735461366429635e-03
1.070422535211267734e+00,9.827057413680969841e-03
1.073681759981375938e+00,8.339364735563258024e-03
1.076824583866837326e+00,1.140788808253882271e-02
1.080083808636945752e+00,1.144241633530188734e-02
1.083226632522407140e+00,1.147571143618055130e-02
1.086485857292515567e+00,1.151023968894361420e-02
1.089628681177977176e+00,1.154353478982228336e-02
1.092887905948085159e+00,1.157806304258534279e-02
1.096147130718193585e+00,1.161259129534840742e-02
1.099289954603655195e+00,1.164588639622707485e-02
1.102549179373763177e+00,1.168041464899013428e-02
1.105692003259225009e+00,1.171370974986880344e-02
1.108951228029332992e+00,1.489869020148822804e-02
1.112094051914794601e+00,1.651282248721885546e-02
1.115353276684903028e+00,1.656121677543762744e-02
1.118496100570364415e+00,1.818884042696291420e-02
1.121755325340472842e+00,1.824184152301401227e-02
1.125014550110580824e+00,1.670467127265754664e-02
1.128157373996042434e+00,2.312979169499482235e-02
1.131300197881503822e+00,1.999611492296209797e-02
1.134559422651612248e+00,2.005372282684551866e-02
1.137818647421720453e+00,2.332786977079801677e-02
1.140961471307182062e+00,2.016688120947366172e-02
1.144220696077290267e+00,2.345912632705314874e-02
1.147363519962751655e+00,2.514532224958940937e-02
1.150622744732860081e+00,2.359038288330827723e-02
1.153881969502968285e+00,2.528817890435018992e-02
1.157024793388429895e+00,2.535705622003842433e-02
1.160284018158538100e+00,2.542848454741881634e-02
