SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch3,1-Preload,0.000,14.154,0,0.440
Stretch3,1-Preload,0.200,14.154,0,0.035
Stretch3,1-Preload,0.400,14.194,0.04,0.440
Stretch3,1-Preload,0.600,14.231,0.077,0.238
Stretch3,1-Preload,0.800,14.272,0.118,-0.066
Stretch3,1-Preload,1.000,14.313,0.159,0.440
Stretch3,1-Preload,1.200,14.363,0.209,0.035
Stretch3,1-Preload,1.400,14.404,0.25,-0.066
Stretch3,1-Preload,1.600,14.448,0.294,0.238
Stretch3,1-Preload,1.800,14.488,0.334,0.035
Stretch3,1-Preload,2.000,14.525,0.371,0.440
Stretch3,1-Preload,2.200,14.567,0.413,0.137
Stretch3,1-Preload,2.400,14.603,0.449,0.035
Stretch3,1-Preload,2.600,14.644,0.49,0.339
Stretch3,1-Preload,2.800,14.683,0.529,0.137
Stretch3,1-Preload,3.000,14.72,0.566,0.238
Stretch3,1-Preload,3.200,14.759,0.605,0.339
Stretch3,1-Preload,3.400,14.798,0.644,0.035
Stretch3,1-Preload,3.600,14.836,0.682,0.440
Stretch3,1-Preload,3.800,14.876,0.722,0.238
Stretch3,1-Preload,4.000,14.914,0.76,0.035
Stretch3,1-Preload,4.200,14.951,0.797,0.440
Stretch3,1-Preload,4.400,14.992,0.838,0.137
Stretch3,1-Preload,4.600,15.028,0.874,0.339
Stretch3,1-Preload,4.800,15.064,0.91,0.238
Stretch3,1-Preload,5.000,15.102,0.948,0.137
Stretch3,1-Preload,5.200,15.14,0.986,0.440
Stretch3,1-Preload,5.400,15.178,1.024,0.238
Stretch3,1-Preload,5.600,15.218,1.064,0.137
Stretch3,1-Preload,5.800,15.257,1.103,0.440
Stretch3,1-Preload,6.000,15.294,1.14,0.137
Stretch3,1-Preload,6.200,15.331,1.177,0.339
Stretch3,1-Preload,6.400,15.369,1.215,0.339
Stretch3,1-Preload,6.600,15.405,1.251,0.035
Stretch3,1-Preload,6.800,15.442,1.288,0.440
Stretch3,1-Preload,7.000,15.481,1.327,0.238
Stretch3,1-Preload,7.200,15.517,1.363,0.238
Stretch3,1-Preload,7.400,15.555,1.401,0.440
Stretch3,1-Preload,7.600,15.592,1.438,0.137
Stretch3,1-Preload,7.800,15.629,1.475,0.440
Stretch3,1-Preload,8.000,15.667,1.513,0.339
Stretch3,1-Preload,8.200,15.703,1.549,0.137
Stretch3,1-Preload,8.400,15.74,1.586,0.440
Stretch3,1-Preload,8.600,15.777,1.623,0.339
Stretch3,1-Preload,8.800,15.812,1.658,0.238
Stretch3,1-Preload,9.000,15.849,1.695,0.440
Stretch3,1-Preload,9.200,15.884,1.73,0.339
Stretch3,1-Preload,9.400,15.921,1.767,0.440
Stretch3,1-Preload,9.600,15.957,1.803,0.440
Stretch3,1-Preload,9.800,15.993,1.839,0.440
Stretch3,1-Preload,10.000,16.024,1.87,0.541
Stretch3,1-Preload,10.200,16.056,1.902,0.541
Stretch3,1-Preload,10.400,16.086,1.932,0.541
Stretch3,1-Preload,10.600,16.119,1.965,0.541
Stretch3,1-Preload,10.800,16.149,1.995,0.541
Stretch3,1-Preload,11.000,16.182,2.028,0.541
Stretch3,1-Preload,11.200,16.212,2.058,0.541
Stretch3,1-Preload,11.400,16.245,2.091,0.541
Stretch3,1-Preload,11.600,16.278,2.124,0.541
Stretch3,1-Preload,11.800,16.309,2.155,0.743
Stretch3,1-Preload,12.000,16.335,2.181,0.642
Stretch3,1-Preload,12.200,16.361,2.207,0.743
Stretch3,1-Preload,12.400,16.382,2.228,0.743
Stretch3,1-Preload,12.600,16.405,2.251,0.642
Stretch3,1-Preload,12.800,16.424,2.27,0.844
Stretch3,1-Preload,13.000,16.429,2.275,0.844
Stretch3,1-Preload,13.200,16.435,2.281,0.945
Stretch3,1-Preload,13.400,16.454,2.3,0.945
