# Stretch,Cauchy_stress
1.000000000000000000e+00,-6.494528516489340075e-04
1.005377389050858383e+00,4.840800711897397723e-04
1.010949141561386266e+00,-6.565638028590842093e-04
1.016585681891804427e+00,-6.602244700501084824e-04
1.022157434402332310e+00,-6.638430606067529131e-04
1.027793974732750248e+00,-6.675037277977770777e-04
1.033430515063168187e+00,-6.711643949888011339e-04
1.039002267573696070e+00,-6.747829855454456731e-04
1.044638807904114008e+00,-6.784436527364697293e-04
1.050210560414642114e+00,-6.820622432931143769e-04
1.055847100745059830e+00,-6.857229104841383246e-04
1.061483641075477768e+00,5.110947213798619016e-04
1.067055393586005652e+00,-6.930021682318070284e-04
1.072691933916423590e+00,-6.966628354228311931e-04
1.078328474246841528e+00,-7.003235026138552493e-04
1.083900226757369634e+00,-7.039420931705000052e-04
1.089536767087787572e+00,-7.076027603615240615e-04
1.095108519598315455e+00,-7.112213509181683838e-04
1.100745059928733172e+00,-7.148820181091924400e-04
1.106381600259151332e+00,-7.185426853002168214e-04
1.111953352769679215e+00,-7.221612758568612522e-04
1.117589893100097154e+00,-7.258219430478854168e-04
1.123226433430515092e+00,-7.294826102389095814e-04
1.128798185941042975e+00,-7.331012007955540121e-04
1.134434726271461136e+00,-7.367618679865781768e-04
1.140006478781989019e+00,-7.403804585432227159e-04
1.145643019112406735e+00,-7.440411257342466637e-04
1.151279559442824674e+00,-7.477017929252709368e-04
1.156851311953352779e+00,-7.513203834819154759e-04
1.162487852283770717e+00,-7.549810506729395321e-04
1.168059604794298600e+00,-7.585996412295839628e-04
1.173696145124716539e+00,-7.622603084206081275e-04
1.179332685455134255e+00,-7.659209756116322921e-04
1.184904437965662582e+00,5.705207128488949632e-04
1.190540978296080299e+00,-7.732002333593008874e-04
1.196177518626498237e+00,-7.768609005503250521e-04
1.201749271137026120e+00,-7.804794911069695912e-04
1.207385811467444059e+00,-7.841401582979937558e-04
1.212957563977972164e+00,5.840280379439559194e-04
1.218594104308390103e+00,-7.914194160456624596e-04
1.224230644638807819e+00,-7.950800832366865158e-04
1.229802397149335924e+00,-7.986986737933311634e-04
1.235438937479753641e+00,-8.023593409843550028e-04
1.241075477810171579e+00,-8.060200081753792758e-04
1.246647230320699684e+00,-8.096385987320237065e-04
1.252283770651117623e+00,-8.132992659230478712e-04
1.257855523161645506e+00,-8.169178564796924103e-04
1.263492063492063444e+00,-8.205785236707165749e-04
1.269128603822481161e+00,6.110738828802558375e-04
1.274700356333009488e+00,6.137566310515613988e-04
1.280336896663427204e+00,6.164705739690447489e-04
1.285973436993845143e+00,-8.351791158004333911e-04
1.291545189504373026e+00,6.218672650578334436e-04
1.297181729834790964e+00,6.245812079753169021e-04
1.302753482345319069e+00,2.115192410261866260e-03
1.308390022675737008e+00,2.124344078239426455e-03
1.314026563006154724e+00,2.133495746216987083e-03
1.319598315516682829e+00,6.353745901528946166e-04
1.325234855847100546e+00,6.647992158500683202e-03
1.330806608357628651e+00,3.665807795010561383e-03
1.336443148688046589e+00,3.681334073096629526e-03
1.342079689018464528e+00,6.732493647682310546e-03
1.347651441528992411e+00,3.712208166302257382e-03
1.353287981859410571e+00,8.319212235647119313e-03
1.358924522189828288e+00,6.816995136863937023e-03
1.364496274700356393e+00,6.844945629439398889e-03
1.370132815030774109e+00,9.972307439804940429e-03
1.375704567541302215e+00,5.345327125558762583e-03
1.381341107871720153e+00,1.005388532835639961e-02
1.386977648202138091e+00,8.526316331900303178e-03
1.392549400712665975e+00,5.410778055795425340e-03
1.398185941043083913e+00,1.017648793542795527e-02
1.403822481373501629e+00,7.042224106105734148e-03
1.409394233884029735e+00,7.070174598681196014e-03
1.415030774214447673e+00,1.029909054249951092e-02
1.420602526724975556e+00,5.519779028074173026e-03
1.426239067055393495e+00,1.038066843105097184e-02
1.431875607385811433e+00,8.802322367868486985e-03
1.437447359896339538e+00,8.836574199171899277e-03
1.443083900226757477e+00,1.213531776866156632e-02
1.448655652737285360e+00,1.218217227742087773e-02
1.454292193067703076e+00,1.222957160604948128e-02
1.459928733398121015e+00,1.227697093467808830e-02
1.465500485908649120e+00,1.232382544343739797e-02
1.471137026239067058e+00,1.571524425106653536e-02
1.476773566569484997e+00,2.245604730857960266e-02
1.482345319080012880e+00,1.918787386488512645e-02
1.487981859410430818e+00,2.430930614069561416e-02
1.493553611920958923e+00,2.608945754603630984e-02
1.499190152251376640e+00,2.618791687048453720e-02
1.504826692581794578e+00,3.140884950471455050e-02
1.510398445092322461e+00,3.152514351846601864e-02
1.516034985422740400e+00,3.164278978819135002e-02
1.521671525753158338e+00,3.003951114276131457e-02
1.527243278263686443e+00,3.705840883331806834e-02
1.532879818594104160e+00,4.066238066135254708e-02
1.538451571104632265e+00,4.428998577418329780e-02
1.544088111435049981e+00,4.621582099693038320e-02
1.549724651765468142e+00,5.514778437715923270e-02
1.555296404275996025e+00,6.239928460440320040e-02
1.560932944606413963e+00,6.792140759119599802e-02
1.566504697116941847e+00,6.816385315849118887e-02
1.572141237447359785e+00,7.374312782211887851e-02
1.577777777777777724e+00,8.294707311605896416e-02
1.583349530288305829e+00,9.042043835817198394e-02
1.588986070618723545e+00,9.613348624983980573e-02
1.594622610949141484e+00,1.000813533124955135e-01
1.600194363459669589e+00,1.058602359023239070e-01
1.605830903790087527e+00,1.153316224607582735e-01
1.611402656300615410e+00,1.230394553951962844e-01
1.617039196631033349e+00,1.326137381866283049e-01
1.622675736961451065e+00,1.441050919280498221e-01
1.628247489471979392e+00,1.538071846727875058e-01
1.633884029802397109e+00,1.617492415452547183e-01
1.639520570132815047e+00,1.641614463884691899e-01
1.645092322643342930e+00,1.796218092504036912e-01
1.650728862973760869e+00,1.933238976550381294e-01
1.656300615484288974e+00,2.071072556280582622e-01
1.661937155814706912e+00,2.172098475625459102e-01
1.667573696145124629e+00,2.387291231725339469e-01
1.673145448655652734e+00,2.433112396381024722e-01
1.678781988986070450e+00,2.574399677043247570e-01
1.684418529316488389e+00,2.735630491650852814e-01
1.689990281827016494e+00,2.859356501332791511e-01
1.695626822157434432e+00,3.061038762080848241e-01
1.700097181729834706e+00,3.203889269510786231e-01
