SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch,1-Preload,0.000,9,0,0.004
Stretch,1-Preload,0.200,9,0,0.004
Stretch,1-Preload,0.400,9.04,0.04,0.004
Stretch,1-Preload,0.600,9.086,0.086,0.004
Stretch,1-Preload,0.800,9.13,0.13,0.004
Stretch,1-Preload,1.000,9.172,0.172,0.004
Stretch,1-Preload,1.200,9.218,0.218,-0.096
Stretch,1-Preload,1.400,9.264,0.264,0.004
Stretch,1-Preload,1.600,9.306,0.306,0.004
Stretch,1-Preload,1.800,9.352,0.352,0.004
Stretch,1-Preload,2.000,9.396,0.396,0.004
Stretch,1-Preload,2.200,9.439,0.439,-0.096
Stretch,1-Preload,2.400,9.486,0.486,0.004
Stretch,1-Preload,2.600,9.53,0.53,0.004
Stretch,1-Preload,2.800,9.572,0.572,0.004
Stretch,1-Preload,3.000,9.618,0.618,0.004
Stretch,1-Preload,3.200,9.662,0.662,0.004
Stretch,1-Preload,3.400,9.704,0.704,0.004
Stretch,1-Preload,3.600,9.75,0.75,0.004
Stretch,1-Preload,3.800,9.794,0.794,0.004
Stretch,1-Preload,4.000,9.836,0.836,0.004
Stretch,1-Preload,4.200,9.882,0.882,0.004
Stretch,1-Preload,4.400,9.926,0.926,0.004
Stretch,1-Preload,4.600,9.968,0.968,0.004
Stretch,1-Preload,4.800,10.014,1.014,0.004
Stretch,1-Preload,5.000,10.058,1.058,0.004
Stretch,1-Preload,5.200,10.1,1.1,0.004
Stretch,1-Preload,5.400,10.146,1.146,0.004
Stretch,1-Preload,5.600,10.19,1.19,0.004
Stretch,1-Preload,5.800,10.232,1.232,0.004
Stretch,1-Preload,6.000,10.278,1.278,0.004
Stretch,1-Preload,6.200,10.321,1.321,0.004
Stretch,1-Preload,6.400,10.36,1.36,0.203
Stretch,1-Preload,6.600,10.399,1.399,0.004
Stretch,1-Preload,6.800,10.442,1.442,0.104
Stretch,1-Preload,7.000,10.486,1.486,0.104
Stretch,1-Preload,7.200,10.523,1.523,0.004
Stretch,1-Preload,7.400,10.564,1.564,0.303
Stretch,1-Preload,7.600,10.605,1.605,0.203
Stretch,1-Preload,7.800,10.641,1.641,0.104
Stretch,1-Preload,8.000,10.681,1.681,0.402
Stretch,1-Preload,8.200,10.719,1.719,0.104
