# Stretch,Cauchy_stress
1.000000000000000000e+00,-5.906161904932427870e-04
1.001818181818181719e+00,-2.133198295299685091e-03
1.003818181818181721e+00,-3.697644502813525122e-03
1.005818181818181722e+00,-2.141715602467850980e-03
1.007818181818181946e+00,-5.952337352552810549e-04
1.009818181818181948e+00,-5.964149676362674171e-04
1.011909090909090869e+00,-3.727448013115137841e-03
1.013818181818181730e+00,-5.987774323982402499e-04
1.015818181818181731e+00,-2.163008870388265052e-03
1.017909090909090875e+00,-2.167461099135261065e-03
1.019909090909090876e+00,-6.023748219221537401e-04
1.021909090909090878e+00,-6.035560543031402107e-04
1.023909090909090880e+00,-6.047372866841266813e-04
1.025909090909090882e+00,-6.059185190651132603e-04
1.027909090909090883e+00,-2.188754367055675571e-03
1.029909090909090885e+00,-6.082809838270862015e-04
1.031909090909090887e+00,-6.094622162080726721e-04
1.033909090909090889e+00,-2.201530327807923754e-03
1.035909090909090891e+00,-6.118246809700456134e-04
1.037909090909090892e+00,-6.130059133510320840e-04
1.039909090909090894e+00,-6.141871457320185546e-04
1.041909090909090896e+00,-6.153683781130050252e-04
1.043909090909090898e+00,-2.222823595728338261e-03
1.045909090909090899e+00,-6.177308428749779664e-04
1.047909090909090901e+00,-6.189120752559645455e-04
1.050000000000000044e+00,-6.201470000179049860e-04
1.051909090909090905e+00,-6.212745400179374867e-04
1.054000000000000048e+00,-2.244310438811665618e-03
1.056000000000000050e+00,-6.236906971608645062e-04
1.058000000000000052e+00,-6.248719295418509768e-04
1.060000000000000053e+00,-2.257086399563914235e-03
1.062000000000000055e+00,-6.272343943038239181e-04
1.064000000000000057e+00,-6.284156266848102803e-04
1.066000000000000059e+00,-6.295968590657968593e-04
1.067999999999999838e+00,-6.307780914467832215e-04
1.070000000000000062e+00,-2.278379667484328307e-03
1.072000000000000064e+00,-6.331405562087563796e-04
1.074000000000000066e+00,-6.343217885897428502e-04
1.076000000000000068e+00,-2.291155628236576924e-03
1.078090909090908989e+00,-6.367379457326696529e-04
1.080000000000000071e+00,-6.378654857327023704e-04
1.081999999999999851e+00,-2.303931588988825108e-03
1.084090909090909216e+00,-6.402816428756292816e-04
1.086090909090908996e+00,-2.312642471319903848e-03
1.088090909090908998e+00,-6.426441076376020059e-04
1.090090909090908999e+00,-6.438253400185885850e-04
1.092090909090909001e+00,-6.450065723995750556e-04
1.094090909090909003e+00,-6.461878047805614178e-04
1.096090909090909227e+00,-6.473690371615482136e-04
1.098090909090909228e+00,-6.485502695425346843e-04
1.100090909090909230e+00,-6.497315019235210464e-04
1.102090909090909010e+00,-4.059639948162322397e-03
1.104090909090909012e+00,-6.520939666854939877e-04
1.106090909090909014e+00,-6.532751990664804583e-04
1.108090909090909015e+00,-2.359487660744815155e-03
1.110090909090909017e+00,-6.556376638284533995e-04
1.112090909090909241e+00,-6.568188962094399785e-04
1.114090909090909243e+00,-2.372263621497064205e-03
1.116181818181818164e+00,-6.592350533523668897e-04
1.118090909090909024e+00,-6.603625933523993904e-04
1.120181818181818167e+00,-6.615975181143398309e-04
1.122181818181818169e+00,-6.627787504953263015e-04
1.124181818181818171e+00,-2.393750464580391129e-03
1.126181818181818173e+00,-6.651412152572992427e-04
1.128181818181818175e+00,-6.663224476382857133e-04
1.130181818181818176e+00,-6.675036800192721840e-04
1.132181818181818178e+00,-6.686849124002587630e-04
1.134181818181818180e+00,-6.698661447812452336e-04
