SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch,1-Stretch,0.000,29.969,0,6.226
Stretch,1-Stretch,0.200,30.022,0.053,6.624
Stretch,1-Stretch,0.400,30.082,0.113,7.023
Stretch,1-Stretch,0.600,30.143,0.174,7.620
Stretch,1-Stretch,0.800,30.203,0.234,8.119
Stretch,1-Stretch,1.000,30.263,0.294,8.617
Stretch,1-Stretch,1.200,30.323,0.354,8.916
Stretch,1-Stretch,1.400,30.383,0.414,9.314
Stretch,1-Stretch,1.600,30.443,0.474,9.513
Stretch,1-Stretch,1.800,30.503,0.534,10.111
Stretch,1-Stretch,2.000,30.563,0.594,10.211
Stretch,1-Stretch,2.200,30.623,0.654,11.008
Stretch,1-Stretch,2.400,30.683,0.714,11.207
Stretch,1-Stretch,2.600,30.743,0.774,11.605
Stretch,1-Stretch,2.800,30.804,0.835,11.805
Stretch,1-Stretch,3.000,30.864,0.895,12.203
Stretch,1-Stretch,3.200,30.924,0.955,12.303
Stretch,1-Stretch,3.400,30.984,1.015,12.303
Stretch,1-Stretch,3.600,31.044,1.075,12.602
Stretch,1-Stretch,3.800,31.104,1.135,12.602
Stretch,1-Stretch,4.000,31.164,1.195,12.602
Stretch,1-Stretch,4.200,31.224,1.255,12.602
Stretch,1-Stretch,4.400,31.284,1.315,12.602
Stretch,1-Stretch,4.600,31.344,1.375,12.502
Stretch,1-Stretch,4.800,31.404,1.435,12.303
Stretch,1-Stretch,5.000,31.465,1.496,11.805
Stretch,1-Stretch,5.200,31.525,1.556,11.805
Stretch,1-Stretch,5.400,31.585,1.616,11.406
Stretch,1-Stretch,5.600,31.645,1.676,11.207
Stretch,1-Stretch,5.800,31.705,1.736,11.107
Stretch,1-Stretch,6.000,31.765,1.796,11.008
Stretch,1-Stretch,6.200,31.825,1.856,10.808
Stretch,1-Stretch,6.400,31.885,1.916,10.410
Stretch,1-Stretch,6.600,31.945,1.976,10.211
Stretch,1-Stretch,6.800,32.005,2.036,10.011
Stretch,1-Stretch,7.000,32.065,2.096,9.713
Stretch,1-Stretch,7.200,32.126,2.157,9.513
Stretch,1-Stretch,7.400,32.186,2.217,9.414
