# Stretch,Cauchy_stress
1.000000000000000000e+00,-4.187372141831877809e-03
1.001831107281344169e+00,-4.195039669450483129e-03
1.003877638948728945e+00,-4.203609259141867331e-03
1.005816458423093307e+00,-4.211727817796861659e-03
1.007862990090478084e+00,-4.220297407488245861e-03
1.009909521757862860e+00,-4.228866997179629196e-03
1.011848341232227444e+00,-4.236985555834624391e-03
1.013894872899612221e+00,-4.245555145526008593e-03
1.015833692373976582e+00,-4.253673704181002921e-03
1.017880224041361359e+00,-4.262243293872387123e-03
1.019926755708746136e+00,-4.270812883563770458e-03
1.021865575183110719e+00,-4.278931442218765653e-03
1.023912106850495496e+00,-4.287501031910149855e-03
1.025850926324859858e+00,-4.295619590565144183e-03
1.027897457992244634e+00,-4.304189180256527518e-03
1.029943989659629411e+00,-4.312758769947911720e-03
1.031882809133993995e+00,-4.320877328602906915e-03
1.033929340801378549e+00,-4.329446918294289383e-03
1.035975872468763326e+00,3.382620015155495593e-03
1.037914691943127909e+00,-1.785019759513131960e-03
1.039961223610512464e+00,-1.788539412422092802e-03
1.041900043084877048e+00,3.401963340257756901e-03
1.043946574752261824e+00,-4.371392804678430645e-03
1.045993106419646601e+00,8.082073465801443805e-04
1.047931925894010963e+00,8.097054139510063671e-04
1.049978457561395739e+00,-4.396650542716192510e-03
1.051917277035760323e+00,3.434671144521581152e-03
1.053963808703145100e+00,-4.413338691062571907e-03
1.056010340370529876e+00,-1.816140901023946151e-03
1.057949159844894238e+00,8.174454287004609583e-04
1.059995691512279015e+00,-4.438596429100333772e-03
1.061934510986643598e+00,8.205247894072333677e-04
1.063981042654028375e+00,-1.829849022879899943e-03
1.066027574321413152e+00,-4.463854167138096504e-03
1.068074105988797928e+00,3.487425667527749382e-03
1.070012925463162290e+00,-1.840222736716838007e-03
1.071951744937526874e+00,-1.843557144735853736e-03
1.073998276604911650e+00,3.506768992630010691e-03
1.076044808272296427e+00,-4.505800053522237766e-03
1.078091339939681204e+00,8.330086841644182517e-04
1.080030159414045565e+00,8.345067515352803467e-04
1.082076691081430342e+00,-4.531057791559999631e-03
1.084015510555794926e+00,8.375861122420526477e-04
1.086062042223179702e+00,-1.867824225318691573e-03
1.088108573890564257e+00,-1.871343878227652198e-03
1.090047393364928840e+00,8.422467662847349379e-04
1.092093925032313395e+00,-4.573003677944140026e-03
1.094032744506677979e+00,8.453261269915070221e-04
1.096079276174062755e+00,8.469074203274172281e-04
1.098125807841447532e+00,-4.598261415981902758e-03
1.100064627315811894e+00,3.591879623079961836e-03
1.102111158983196670e+00,-1.895425713920543837e-03
1.104049978457561254e+00,-1.898760121939560000e-03
1.106096510124946031e+00,8.546474350768717108e-04
1.108143041792330807e+00,-4.640207302366044020e-03
1.110081861266695169e+00,8.577267957836439034e-04
1.112128392934079946e+00,8.593080891195540010e-04
1.114174924601464722e+00,-4.665465040403805885e-03
1.116113744075829306e+00,3.644282449266089165e-03
1.118160275743214083e+00,-1.923027202522397620e-03
1.120099095217578444e+00,-1.926361610541413132e-03
1.122145626884963221e+00,3.663977471188391809e-03
1.124192158552347998e+00,-4.707410926787947147e-03
1.126130978026712581e+00,3.676990253529913415e-03
1.128177509694097358e+00,-1.940254977287312471e-03
1.130116329168461942e+00,-4.732217633789321740e-03
1.132162860835846496e+00,3.696685275452216493e-03
1.134209392503231273e+00,-4.749356813172088410e-03
1.136148211977595857e+00,-1.953963099143266914e-03
1.138194743644980633e+00,3.716380297374519137e-03
1.140133563119345217e+00,-4.774163520173462134e-03
1.142180094786729772e+00,8.825281333679178830e-04
1.144226626454114548e+00,-1.967856465889165386e-03
1.146273158121499103e+00,-4.799872289247612139e-03
1.148211977595863686e+00,3.749088101638342954e-03
1.150150797070228270e+00,-1.978044934836158120e-03
1.152197328737612825e+00,-1.981564587745118962e-03
1.154243860404997601e+00,3.768783123560645165e-03
1.156290392072382378e+00,-4.841818175631753401e-03
1.158229211546746962e+00,8.949288021600547644e-04
1.160275743214131738e+00,8.965100954959648620e-04
1.162214562688496100e+00,-4.866624882633127126e-03
1.164261094355880877e+00,3.801490927824469415e-03
1.166307626023265653e+00,-2.005831668327956799e-03
1.168246445497630237e+00,-2.009166076346972311e-03
1.170292977165015014e+00,3.821185949746772493e-03
1.172231796639379375e+00,-4.908570769017268388e-03
1.174278328306764152e+00,9.073294709521916458e-04
1.176324859974148929e+00,-2.023059443092871650e-03
1.178263679448513512e+00,-4.933828507055031121e-03
1.180310211115898289e+00,3.853893754010597177e-03
1.182249030590262873e+00,-2.033247912039864817e-03
1.184295562257647427e+00,-2.036767564948825226e-03
1.186342093925032204e+00,3.873588775932898954e-03
1.187742352434295379e+00,-2.042695401427075796e-03
1.189681171908659962e+00,9.192307839540412705e-04
1.191727703576044739e+00,6.831831541183510347e-03
1.193666523050409323e+00,-4.998325945258602805e-03
1.195713054717794099e+00,3.904186399276477794e-03
1.197759586385178654e+00,-2.059923176191991081e-03
1.199698405859543238e+00,-2.063257584211006593e-03
1.201744937526928014e+00,6.889257457066560141e-03
1.203683757001292598e+00,-5.040271831642744067e-03
1.205838000861697568e+00,9.317146787112260461e-04
1.207776820336061929e+00,9.332127460820880327e-04
1.209823352003446706e+00,-5.065980600716894072e-03
