SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch,1-Stretch,0.000,9.284,0,-0.168
Stretch,1-Stretch,0.200,9.301,0.017,-0.168
Stretch,1-Stretch,0.400,9.32,0.036,-0.168
Stretch,1-Stretch,0.600,9.338,0.054,-0.168
Stretch,1-Stretch,0.800,9.357,0.073,-0.168
Stretch,1-Stretch,1.000,9.376,0.092,-0.168
Stretch,1-Stretch,1.200,9.394,0.11,-0.168
Stretch,1-Stretch,1.400,9.413,0.129,-0.168
Stretch,1-Stretch,1.600,9.431,0.147,-0.168
Stretch,1-Stretch,1.800,9.45,0.166,-0.168
Stretch,1-Stretch,2.000,9.469,0.185,-0.168
Stretch,1-Stretch,2.200,9.487,0.203,-0.168
Stretch,1-Stretch,2.400,9.506,0.222,-0.168
Stretch,1-Stretch,2.600,9.524,0.24,-0.168
Stretch,1-Stretch,2.800,9.543,0.259,-0.168
Stretch,1-Stretch,3.000,9.562,0.278,-0.168
Stretch,1-Stretch,3.200,9.58,0.296,-0.168
Stretch,1-Stretch,3.400,9.599,0.315,-0.168
Stretch,1-Stretch,3.600,9.618,0.334,0.131
Stretch,1-Stretch,3.800,9.636,0.352,-0.069
Stretch,1-Stretch,4.000,9.655,0.371,-0.069
Stretch,1-Stretch,4.200,9.673,0.389,0.131
Stretch,1-Stretch,4.400,9.692,0.408,-0.168
Stretch,1-Stretch,4.600,9.711,0.427,0.031
Stretch,1-Stretch,4.800,9.729,0.445,0.031
Stretch,1-Stretch,5.000,9.748,0.464,-0.168
Stretch,1-Stretch,5.200,9.766,0.482,0.131
Stretch,1-Stretch,5.400,9.785,0.501,-0.168
Stretch,1-Stretch,5.600,9.804,0.52,-0.069
Stretch,1-Stretch,5.800,9.822,0.538,0.031
Stretch,1-Stretch,6.000,9.841,0.557,-0.168
Stretch,1-Stretch,6.200,9.859,0.575,0.031
Stretch,1-Stretch,6.400,9.878,0.594,-0.069
Stretch,1-Stretch,6.600,9.897,0.613,-0.168
Stretch,1-Stretch,6.800,9.916,0.632,0.131
Stretch,1-Stretch,7.000,9.934,0.65,-0.069
Stretch,1-Stretch,7.200,9.952,0.668,-0.069
Stretch,1-Stretch,7.400,9.971,0.687,0.131
Stretch,1-Stretch,7.600,9.99,0.706,-0.168
Stretch,1-Stretch,7.800,10.009,0.725,0.031
Stretch,1-Stretch,8.000,10.027,0.743,0.031
Stretch,1-Stretch,8.200,10.046,0.762,-0.168
Stretch,1-Stretch,8.400,10.064,0.78,0.031
Stretch,1-Stretch,8.600,10.083,0.799,-0.069
Stretch,1-Stretch,8.800,10.102,0.818,-0.069
Stretch,1-Stretch,9.000,10.12,0.836,0.031
Stretch,1-Stretch,9.200,10.139,0.855,-0.168
Stretch,1-Stretch,9.400,10.157,0.873,0.031
Stretch,1-Stretch,9.600,10.176,0.892,0.031
Stretch,1-Stretch,9.800,10.195,0.911,-0.168
Stretch,1-Stretch,10.000,10.213,0.929,0.131
Stretch,1-Stretch,10.200,10.232,0.948,-0.069
Stretch,1-Stretch,10.400,10.25,0.966,-0.069
Stretch,1-Stretch,10.600,10.269,0.985,0.031
Stretch,1-Stretch,10.800,10.288,1.004,-0.168
Stretch,1-Stretch,11.000,10.306,1.022,0.031
Stretch,1-Stretch,11.200,10.325,1.041,0.031
Stretch,1-Stretch,11.400,10.344,1.06,-0.168
Stretch,1-Stretch,11.600,10.362,1.078,0.131
Stretch,1-Stretch,11.800,10.381,1.097,-0.069
Stretch,1-Stretch,12.000,10.399,1.115,-0.069
Stretch,1-Stretch,12.200,10.418,1.134,0.131
Stretch,1-Stretch,12.400,10.437,1.153,-0.168
Stretch,1-Stretch,12.600,10.455,1.171,0.131
Stretch,1-Stretch,12.800,10.474,1.19,-0.069
Stretch,1-Stretch,13.000,10.492,1.208,-0.168
