# Stretch,Cauchy_stress
1.000000000000000000e+00,-9.025596591934727242e-03
1.001856271546009092e+00,-6.815006848401430027e-03
1.003845133916732912e+00,-7.949970187706536726e-03
1.005833996287456955e+00,-7.965721020201002589e-03
1.007822858658180776e+00,-6.855593839954906080e-03
1.009811721028904818e+00,-9.114153227814223920e-03
1.011933174224343590e+00,-6.883553767469521682e-03
1.013922036595067633e+00,-6.897082764654014278e-03
1.015910898965791676e+00,-9.169201947414993767e-03
1.017899761336515496e+00,-8.061276070667425936e-03
1.019888623707239539e+00,-6.937669756207492065e-03
1.021877486077963360e+00,-9.223053955720093497e-03
1.023866348448687402e+00,-6.964727750576475522e-03
1.025855210819411445e+00,-8.124279400645289390e-03
1.027844073190135266e+00,-9.276905964025193227e-03
1.029965526385574037e+00,-7.006216675275582853e-03
1.031954388756298080e+00,-8.172581953628315146e-03
1.033943251127022123e+00,-8.188332786122781010e-03
1.035932113497745943e+00,-8.204083618617245138e-03
1.037920975868469986e+00,-9.367856022496030138e-03
1.039909838239193807e+00,-7.073861661198043230e-03
1.042031291434632800e+00,-7.088292591528168839e-03
1.043887562980641892e+00,-7.100919655567027554e-03
1.046009016176080664e+00,-7.115350585897152295e-03
1.047997878546804484e+00,-8.299638669083668485e-03
1.049986740917528527e+00,-7.142408580266135752e-03
1.051975603288252570e+00,-7.155937577450629215e-03
1.053964465658976390e+00,-8.346891166567066075e-03
1.055953328029700433e+00,-7.182995571819611805e-03
1.057942190400424254e+00,-6.026357972418070960e-03
1.060063643595863248e+00,-8.395193719550093567e-03
1.062052505966587068e+00,-7.224484496518720870e-03
1.064041368337311111e+00,-7.238013493703213466e-03
1.066030230708034932e+00,-7.251542490887705195e-03
1.068019093078758974e+00,-7.265071488072196923e-03
1.070007955449483017e+00,-8.473947882022422884e-03
1.071996817820207060e+00,-7.292129482441182114e-03
1.073985680190930658e+00,-7.305658479625671241e-03
1.075974542561654701e+00,-8.521200379505817005e-03
1.078095995757093695e+00,-7.333618407140290313e-03
1.080084858127817737e+00,-8.553752099994382102e-03
1.082073720498541558e+00,-7.360676401509273770e-03
1.084062582869265601e+00,-7.374205398693766365e-03
1.086051445239989421e+00,-7.387734395878258094e-03
1.088040307610713242e+00,-6.197805930776123517e-03
1.090029169981437285e+00,-8.632506262466706215e-03
1.092018032352161327e+00,-8.648257094961172078e-03
1.094006894722885148e+00,-7.441850384616225875e-03
1.096128347918323920e+00,-8.680808815449731972e-03
1.098117210289047962e+00,-7.469810312130841477e-03
1.100106072659772005e+00,-7.483339309315334073e-03
1.102094935030495826e+00,-7.496868306499824934e-03
1.104083797401219869e+00,-7.510397303684318397e-03
1.106072659771943911e+00,-6.300523650321036319e-03
1.108194112967382683e+00,-7.538357231198935735e-03
1.110050384513391775e+00,-6.323181970808884438e-03
1.112171837708830546e+00,-7.565415225567918324e-03
1.114028109254839416e+00,-7.578042289606776172e-03
1.116149562450278410e+00,-6.357924728890252015e-03
1.118138424821002452e+00,-7.606002217121395244e-03
1.120127287191726495e+00,-7.619531214305887840e-03
1.122116149562450094e+00,-7.633060211490376966e-03
1.124105011933174136e+00,-7.646589208674871296e-03
1.126226465128613130e+00,-7.661020139004996905e-03
1.128215327499337173e+00,-7.674549136189488634e-03
1.130204189870060993e+00,-7.688078133373979495e-03
1.132193052240785036e+00,-7.701607130558472958e-03
1.134181914611508857e+00,-6.460642448435163950e-03
1.136170776982232899e+00,-6.471971608679088876e-03
1.138159639352956720e+00,-6.483300768923012936e-03
1.140148501723680763e+00,-6.494629929166936995e-03
1.142137364094404806e+00,-6.505959089410862789e-03
1.144258817289843577e+00,-7.783683046811055474e-03
1.146247679660567398e+00,-6.529372687248304573e-03
1.148236542031291441e+00,-6.540701847492228632e-03
1.150225404402015483e+00,-6.552031007736153559e-03
1.152214266772739304e+00,-6.563360167980076751e-03
1.154203129143463347e+00,-6.574689328224001678e-03
1.156191991514187389e+00,-6.586018488467927472e-03
1.158180853884911210e+00,-6.597347648711850664e-03
1.160169716255635031e+00,-6.608676808955773856e-03
1.162158578626359073e+00,-6.620005969199698782e-03
1.164280031821798067e+00,-6.632090406793217374e-03
1.166268894192521888e+00,-6.643419567037142301e-03
1.168257756563245930e+00,-6.654748727281065493e-03
1.170246618933969973e+00,-6.666077887524991287e-03
1.172235481304693572e+00,-6.677407047768913612e-03
1.174356934500132565e+00,-6.689491485362433071e-03
1.176213206046141657e+00,-6.700065368256762598e-03
1.178334659241580651e+00,-6.712149805850282057e-03
1.180190930787589521e+00,-6.722723688744610716e-03
1.182312383983028292e+00,-6.734808126338130176e-03
1.184301246353752335e+00,-6.746137286582054235e-03
1.186290108724476156e+00,-6.757466446825977427e-03
1.187748607796340616e+00,-6.765774497671522489e-03
1.189737470167064659e+00,-6.777103657915448283e-03
1.191726332537788258e+00,-6.788432818159370608e-03
1.193715194908512300e+00,-6.799761978403295534e-03
1.195704057279236343e+00,-6.811091138647219594e-03
1.197692919649960164e+00,-6.822420298891142786e-03
1.199681782020684206e+00,-6.833749459135067712e-03
1.201670644391408249e+00,-6.845078619378992639e-03
1.203792097586847021e+00,-6.857163056972510363e-03
1.205780959957570841e+00,-6.868492217216434423e-03
1.207769822328294884e+00,-6.879821377460358482e-03
1.209758684699018927e+00,-6.891150537704283409e-03
1.211747547069742748e+00,-6.902479697948207468e-03
1.213736409440466790e+00,-6.913808858192133262e-03
1.215725271811190833e+00,-6.925138018436057322e-03
1.217846725006629605e+00,-6.937222456029575914e-03
1.219835587377353425e+00,-6.948551616273498238e-03
1.221824449748077468e+00,-6.959880776517424032e-03
1.223813312118801511e+00,-6.971209936761348959e-03
1.225802174489525331e+00,-6.982539097005273018e-03
1.227791036860249374e+00,-6.993868257249196210e-03
1.229779899230973195e+00,-7.005197417493120270e-03
1.231768761601697015e+00,-5.654094232545384124e-03
1.233757623972421058e+00,-5.663223555848740515e-03
1.235879077167860052e+00,-5.672961500705655559e-03
1.237867939538584094e+00,-1.916849916533160927e-04
1.239856801909307915e+00,-5.691220147312368340e-03
1.241845664280031736e+00,-2.939457317377746834e-03
1.243834526650755778e+00,-1.568386945799458455e-03
1.245823389021479821e+00,-2.948872619483377307e-03
1.247812251392203642e+00,2.567130515512765221e-03
1.249801113762927685e+00,-1.935328546833930182e-04
1.251922566958366456e+00,-1.578585389855930495e-03
1.253911429329090499e+00,2.579678385421764562e-03
1.255900291699814320e+00,-1.583601018080425414e-03
1.257889154070538362e+00,1.196538241829559878e-03
1.259878016441262405e+00,1.198430101598448299e-03
1.261866878811986226e+00,-1.591124460417167033e-03
1.263855741182710268e+00,2.600136868969045011e-03
1.265844603553434311e+00,-1.960172038682743033e-04
1.267833465924157910e+00,-1.598647902753909085e-03
1.269954919119596903e+00,2.612684738878043485e-03
1.271943781490320946e+00,-1.603830718585886640e-03
1.273932643861044989e+00,1.211799243965258968e-03
1.275921506231768809e+00,1.213691103734147172e-03
1.277910368602492630e+00,-1.611354160922628476e-03
1.279899230973216673e+00,2.633143222425324368e-03
1.281888093343940493e+00,-1.985015530531555070e-04
1.284009546539379487e+00,-1.988300620362802660e-04
1.285998408910103530e+00,2.645691092334322841e-03
1.287987271280827350e+00,-1.994460163796392773e-04
1.289976133651551171e+00,2.653874485753234154e-03
1.291964996022275214e+00,4.101270399821463006e-03
1.293953858392999257e+00,2.662057879172147635e-03
1.295942720763723077e+00,2.666149575881603291e-03
1.297931583134447120e+00,4.120210995879752813e-03
1.299920445505171163e+00,4.126524527899183038e-03
1.301909307875895205e+00,4.132838059918612396e-03
1.304030761071333977e+00,4.139572494072670146e-03
1.306019623442057798e+00,4.145886026092099504e-03
1.308008485812781840e+00,4.152199558111529729e-03
1.309997348183505883e+00,4.158513090130959086e-03
1.311986210554229704e+00,5.615985723944950415e-03
1.313975072924953746e+00,4.171140154169818669e-03
1.315963935295677567e+00,5.633012461864943601e-03
1.318085388491116561e+00,4.184188120343305776e-03
1.320074250861840381e+00,1.004552312482774254e-02
1.322063113232564424e+00,1.152296294527228697e-02
1.324051975603288467e+00,1.300480243959796847e-02
1.326040837974012065e+00,8.609556096944741277e-03
1.328029700344736108e+00,1.451277599677759135e-02
1.330018562715460151e+00,1.159230180563898538e-02
1.332140015910899145e+00,1.161079216840343702e-02
1.333996287456908014e+00,1.457797916369602161e-02
1.336117740652346786e+00,1.016761114191333353e-02
1.338106603023070829e+00,1.166279631367845952e-02
1.340095465393794649e+00,1.464463128987930282e-02
1.342084327764518692e+00,1.466636567885211406e-02
1.344073190135242735e+00,1.468810006782492357e-02
1.346062052505966555e+00,1.619868409817402238e-02
1.348050914876690598e+00,1.473156884577054258e-02
1.350039777247414641e+00,1.624655255000077847e-02
1.352161230442853412e+00,1.328089077498698957e-02
1.354150092813577233e+00,1.180262968208463034e-02
1.356138955184301276e+00,1.031996891530113925e-02
1.358127817555025318e+00,1.484168974989944802e-02
1.360116679925749139e+00,1.335902898311595692e-02
1.362105542296473182e+00,1.639175352054193791e-02
1.364094404667197002e+00,1.641568774645531248e-02
1.366215857862635996e+00,1.644121758742958864e-02
1.368072129408644866e+00,1.646355619828206857e-02
1.370193582604083860e+00,1.648908603925633778e-02
1.372182444974807902e+00,1.651302026516971930e-02
1.374171307345531723e+00,1.807209456792077326e-02
1.375497215592681011e+00,1.655291064169201257e-02
1.377486077963404831e+00,1.963929506833027999e-02
1.379607531158843825e+00,1.966954135970512899e-02
1.381596393529567868e+00,1.662630893449303787e-02
1.383585255900291910e+00,2.125660638768797281e-02
1.385574118271015509e+00,1.822205598560131673e-02
1.387562980641739552e+00,1.978296495236080491e-02
1.389551843012463594e+00,2.443754860537960746e-02
1.391540705383187415e+00,2.755083117156917685e-02
1.393662158578626187e+00,2.913433246370829288e-02
1.395651020949350229e+00,2.917590938188502694e-02
1.397639883320074272e+00,2.921748630006175754e-02
1.399628745690798093e+00,2.925906321823849507e-02
1.401617608061522136e+00,2.930064013641522219e-02
1.403606470432246178e+00,3.091024029401724660e-02
1.405595332802970221e+00,3.406343523509852006e-02
1.407584195173694042e+00,2.942537089094541744e-02
1.409705648369132813e+00,3.260380089485093169e-02
1.411561919915141905e+00,3.420803051720203158e-02
1.413683373110580899e+00,3.113215397834988643e-02
1.415672235481304719e+00,3.902083084266035756e-02
1.417661097852028762e+00,4.221173832169277523e-02
1.419649960222752805e+00,4.227095793213286185e-02
1.421638822593476403e+00,4.233017754257293458e-02
1.423627684964200446e+00,4.238939715301302119e-02
1.425616547334924489e+00,4.402545988245210734e-02
1.427738000530363482e+00,4.409097395965813626e-02
1.429726862901087303e+00,4.257100395836262152e-02
1.431715725271811124e+00,4.421381285441943615e-02
1.433704587642535166e+00,4.427523230180008956e-02
1.435693450013258987e+00,4.274866278968286748e-02
1.437682312383983030e+00,4.759435067740268310e-02
1.439671174754707073e+00,5.404567021688372330e-02
1.441792627950146066e+00,5.091989257687172532e-02
1.443781490320869665e+00,5.099013337038404287e-02
1.445770352691593708e+00,5.427463511188985318e-02
1.447759215062317750e+00,5.434929757765272901e-02
1.449748077433041571e+00,5.602749451729348990e-02
1.451736939803765614e+00,5.610435681999693253e-02
1.453725802174489656e+00,5.618121912270037516e-02
1.455714664545213477e+00,5.947834939480299565e-02
1.457836117740652249e+00,6.280611459613995307e-02
1.459824980111376291e+00,6.450647855935184860e-02
1.461813842482100334e+00,6.784429114927537086e-02
1.463802704852824155e+00,6.468224553090320961e-02
1.465791567223548197e+00,6.802890146532782067e-02
1.467780429594272240e+00,6.974468628549310156e-02
1.469769291964996061e+00,6.821351178138027049e-02
1.471758154335719881e+00,7.156157561144683987e-02
1.473747016706443924e+00,7.491843878927569034e-02
1.475868469901882918e+00,7.830745918350175139e-02
1.477857332272606961e+00,8.004761086417871985e-02
1.479846194643330559e+00,7.359166726744860443e-02
1.481835057014054602e+00,7.532959711281557447e-02
1.483823919384778645e+00,7.378947660514446893e-02
1.485812781755502465e+00,7.719166522329676261e-02
1.487801644126226508e+00,7.234166125549955362e-02
1.489923097321665280e+00,7.905317750831095114e-02
1.491911959692389322e+00,8.245904572038584290e-02
1.493900822063113143e+00,8.423786613480409302e-02
1.495889684433837186e+00,8.435001382203423381e-02
1.497878546804561228e+00,8.446216150926440236e-02
1.499867409175285049e+00,8.623327956127474492e-02
1.501856271546009092e+00,8.966996748888700353e-02
1.503845133916733134e+00,8.812534464827750935e-02
1.505966587112171906e+00,9.492918512436861189e-02
1.507955449482895727e+00,9.672247019995007522e-02
1.509944311853619769e+00,9.852015494941267215e-02
1.511933174224343812e+00,9.864992333053677898e-02
1.513922036595067633e+00,1.004709527496126797e-01
1.515910898965791676e+00,1.006029429660467572e-01
1.517899761336515496e+00,1.057716798416048626e-01
1.520021214531954490e+00,1.059195088840110266e-01
1.521877486077963360e+00,1.111156381291530659e-01
1.523998939273402353e+00,1.095848683950373520e-01
1.525987801644126396e+00,1.114157413511433076e-01
1.527976664014849995e+00,1.115609525875901620e-01
1.529965526385574037e+00,1.133984250545178318e-01
1.531954388756298080e+00,1.135458361279052947e-01
1.533943251127022123e+00,1.171035356190602283e-01
1.535932113497745943e+00,1.257666606786237151e-01
1.538053566693184715e+00,1.225209449954960256e-01
1.540042429063908758e+00,1.261032254646248518e-01
1.542031291434632800e+00,1.279716863012553552e-01
1.544020153805356621e+00,1.281367400669061185e-01
1.546009016176080664e+00,1.283017938325569374e-01
1.547997878546804706e+00,1.387572081748467967e-01
1.549986740917528527e+00,1.337922641934628787e-01
1.551975603288252570e+00,1.408475298997233505e-01
1.554097056483691341e+00,1.410400596287618435e-01
1.556085918854415384e+00,1.429417086720356778e-01
1.558074781225139205e+00,1.431244051299498388e-01
1.560063643595863248e+00,1.450326536840453595e-01
1.562052505966587290e+00,1.434897980457781330e-01
1.563511005038451307e+00,1.436237754482485030e-01
1.565499867409175350e+00,1.455380368899815979e-01
1.567488729779899170e+00,1.439891683640768250e-01
1.569477592150623213e+00,1.511330830993682650e-01
1.571466454521347256e+00,1.530627653980547453e-01
1.573455316892071298e+00,1.567372117022035882e-01
1.575444179262795119e+00,1.586953188272780813e-01
1.577433041633518940e+00,1.606404219829179469e-01
1.579554494828957933e+00,1.608564635691772660e-01
1.581543357199681976e+00,1.663244266650652503e-01
1.583532219570405797e+00,1.700366075055346204e-01
1.585521081941129840e+00,1.737575876937662578e-01
1.587509944311853660e+00,1.739755475378376715e-01
1.589498806682577481e+00,1.741935073819091129e-01
1.591487669053301524e+00,1.761893798410213707e-01
1.593609122248740517e+00,1.764242402990282566e-01
1.595597984619464560e+00,1.819389895269682700e-01
1.597586846990188159e+00,1.821657707171713547e-01
1.599575709360912201e+00,1.877180110328105223e-01
1.601564571731636244e+00,1.879514137322047529e-01
1.603553434102360065e+00,1.917321268261626410e-01
1.605542296473084107e+00,1.990911078866696993e-01
1.607663749668522879e+00,1.975759716604115757e-01
1.609652612039246922e+00,2.031794036482157118e-01
1.611641474409970742e+00,2.034304490398732845e-01
1.613630336780694785e+00,2.054662954693115828e-01
1.615619199151418828e+00,2.128854142055419396e-01
1.617608061522142648e+00,2.149366814919335678e-01
1.619596923892866691e+00,2.134095473550016164e-01
1.621585786263590734e+00,2.136716139297314965e-01
1.623707239459029505e+00,2.157470984877228326e-01
1.625696101829753326e+00,2.160113648993932378e-01
1.627684964200477369e+00,2.216946744330673125e-01
1.629673826571201412e+00,2.237681087430301308e-01
1.631662688941925232e+00,2.222364502747903869e-01
1.633651551312649275e+00,2.297531919082112795e-01
1.635640413683373096e+00,2.336511929750503536e-01
1.637761866878812089e+00,2.375953422212287447e-01
1.639750729249536132e+00,2.415112572935539381e-01
1.641739591620259953e+00,2.399882955140192065e-01
1.643728453990983995e+00,2.457514825935632474e-01
1.645717316361707816e+00,2.496894180336635127e-01
1.647706178732431637e+00,2.518136612441636002e-01
1.649695041103155679e+00,2.539605510426878321e-01
1.651816494298594673e+00,2.561141738088082431e-01
1.653805356669318716e+00,2.600810224390973091e-01
1.655794219040042314e+00,2.622252328362279505e-01
1.657783081410766357e+00,2.680594541171408829e-01
1.659771943781490400e+00,2.683810482794825036e-01
1.661760806152214220e+00,2.723970969962263289e-01
1.663749668522938263e+00,2.837829367722032314e-01
1.665738530893662306e+00,2.804188757279048594e-01
1.667859984089101077e+00,2.844840262717202028e-01
1.669848846459824898e+00,2.885172293169265822e-01
1.671837708830548941e+00,2.888608658454127065e-01
1.673826571201272984e+00,2.873531196047169889e-01
1.675815433571996804e+00,2.876945562962624492e-01
1.677804295942720847e+00,2.898917754308709682e-01
1.679793158313444890e+00,2.883774296793535918e-01
1.681914611508883661e+00,2.980618759684303121e-01
1.683903473879607482e+00,3.040205449581870889e-01
1.685892336250331525e+00,3.043796243419960024e-01
1.687881198621055567e+00,3.103581578593261336e-01
1.689870060991779388e+00,3.182190625155408847e-01
1.691858923362503431e+00,3.204649127121156349e-01
1.693847785733227251e+00,3.245886903769549803e-01
1.695836648103951072e+00,3.212183568642600351e-01
