SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch,1-Preload,0.000,9.858,0,-0.339
Stretch,1-Preload,0.200,9.858,0,0.062
Stretch,1-Preload,0.400,9.894,0.036,0.062
Stretch,1-Preload,0.600,9.93,0.072,0.162
Stretch,1-Preload,0.800,9.969,0.111,0.363
Stretch,1-Preload,1.000,10.007,0.149,0.062
Stretch,1-Preload,1.200,10.044,0.186,0.263
Stretch,1-Preload,1.400,10.081,0.223,0.263
Stretch,1-Preload,1.600,10.118,0.26,0.263
Stretch,1-Preload,1.800,10.155,0.297,0.463
Stretch,1-Preload,2.000,10.187,0.329,0.463
Stretch,1-Preload,2.200,10.218,0.36,0.363
Stretch,1-Preload,2.400,10.249,0.391,0.463
Stretch,1-Preload,2.600,10.281,0.423,0.463
Stretch,1-Preload,2.800,10.312,0.454,0.463
Stretch,1-Preload,3.000,10.34,0.482,0.864
Stretch,1-Preload,3.200,10.348,0.49,0.664
Stretch,1-Preload,3.400,10.368,0.51,1.064
Stretch,1-Preload,3.600,10.379,0.521,0.563
Stretch,1-Preload,3.800,10.388,0.53,0.764
Stretch,1-Preload,4.000,10.396,0.538,0.964
Stretch,1-Preload,4.200,10.407,0.549,0.764
Stretch,1-Preload,4.400,10.408,0.55,0.964
Stretch,1-Preload,4.600,10.417,0.559,1.064
Stretch,1-Preload,4.800,10.419,0.561,0.764
Stretch,1-Preload,5.000,10.419,0.561,0.964
Stretch,1-Preload,5.200,10.429,0.571,0.864
Stretch,1-Preload,5.400,10.425,0.567,0.964
Stretch,1-Preload,5.600,10.428,0.57,1.165
Stretch,1-Preload,5.800,10.428,0.57,0.764
Stretch,1-Preload,6.000,10.431,0.573,0.964
Stretch,1-Preload,6.200,10.443,0.585,1.064
Stretch,1-Preload,6.400,10.443,0.585,0.764
Stretch,1-Preload,6.600,10.442,0.584,1.165
Stretch,1-Preload,6.800,10.448,0.59,0.864
Stretch,1-Preload,7.000,10.448,0.59,0.964
Stretch,1-Preload,7.200,10.452,0.594,1.165
Stretch,1-Preload,7.400,10.451,0.593,0.864
Stretch,1-Preload,7.600,10.445,0.587,1.064
Stretch,1-Preload,7.800,10.448,0.59,1.064
Stretch,1-Preload,8.000,10.448,0.59,0.764
Stretch,1-Preload,8.200,10.446,0.588,1.165
Stretch,1-Preload,8.400,10.449,0.591,0.864
Stretch,1-Preload,8.600,10.443,0.585,0.964
Stretch,1-Preload,8.800,10.449,0.591,1.064
Stretch,1-Preload,9.000,10.458,0.6,0.664
Stretch,1-Preload,9.200,10.457,0.599,1.064
Stretch,1-Preload,9.400,10.462,0.604,1.064
Stretch,1-Preload,9.600,10.46,0.602,0.764
Stretch,1-Preload,9.800,10.458,0.6,1.165
Stretch,1-Preload,10.000,10.457,0.599,0.964
Stretch,1-Preload,10.200,10.454,0.596,0.964
Stretch,1-Preload,10.400,10.458,0.6,1.165
Stretch,1-Preload,10.600,10.458,0.6,0.764
Stretch,1-Preload,10.800,10.455,0.597,1.064
Stretch,1-Preload,11.000,10.456,0.598,0.964
Stretch,1-Preload,11.200,10.462,0.604,0.764
Stretch,1-Preload,11.400,10.462,0.604,1.165
Stretch,1-Preload,11.600,10.466,0.608,0.864
Stretch,1-Preload,11.800,10.463,0.605,0.864
Stretch,1-Preload,12.000,10.474,0.616,1.165
Stretch,1-Preload,12.200,10.478,0.62,0.764
Stretch,1-Preload,12.400,10.478,0.62,0.864
Stretch,1-Preload,12.600,10.487,0.629,1.064
Stretch,1-Preload,12.800,10.482,0.624,0.764
Stretch,1-Preload,13.000,10.483,0.625,1.064
Stretch,1-Preload,13.200,10.486,0.628,0.964
Stretch,1-Preload,13.400,10.479,0.621,0.864
Stretch,1-Preload,13.600,10.488,0.63,1.165
Stretch,1-Preload,13.800,10.491,0.633,0.864
Stretch,1-Preload,14.000,10.485,0.627,1.064
Stretch,1-Preload,14.200,10.493,0.635,1.064
Stretch,1-Preload,14.400,10.487,0.629,0.864
Stretch,1-Preload,14.600,10.486,0.628,1.064
Stretch,1-Preload,14.800,10.491,0.633,0.964
Stretch,1-Preload,15.000,10.487,0.629,0.864
Stretch,1-Preload,15.200,10.492,0.634,1.165
Stretch,1-Preload,15.400,10.492,0.634,0.864
Stretch,1-Preload,15.600,10.49,0.632,0.964
Stretch,1-Preload,15.800,10.494,0.636,1.064
Stretch,1-Preload,16.000,10.487,0.629,0.864
Stretch,1-Preload,16.200,10.486,0.628,1.064
Stretch,1-Preload,16.400,10.493,0.635,0.964
Stretch,1-Preload,16.600,10.487,0.629,0.563
Stretch,1-Preload,16.800,10.497,0.639,1.165
Stretch,1-Preload,17.000,10.497,0.639,0.764
Stretch,1-Preload,17.200,10.495,0.637,0.964
Stretch,1-Preload,17.400,10.505,0.647,1.064
Stretch,1-Preload,17.600,10.501,0.643,0.764
Stretch,1-Preload,17.800,10.5,0.642,1.165
Stretch,1-Preload,18.000,10.5,0.642,0.964
Stretch,1-Preload,18.200,10.496,0.638,0.864
Stretch,1-Preload,18.400,10.499,0.641,1.165
Stretch,1-Preload,18.600,10.495,0.637,0.864
Stretch,1-Preload,18.800,10.488,0.63,1.064
Stretch,1-Preload,19.000,10.497,0.639,1.064
Stretch,1-Preload,19.200,10.498,0.64,0.764
Stretch,1-Preload,19.400,10.499,0.641,1.165
Stretch,1-Preload,19.600,10.501,0.643,0.964
Stretch,1-Preload,19.800,10.495,0.637,0.864
Stretch,1-Preload,20.000,10.498,0.64,1.165
Stretch,1-Preload,20.200,10.498,0.64,0.864
Stretch,1-Preload,20.400,10.492,0.634,1.064
Stretch,1-Preload,20.600,10.495,0.637,1.064
Stretch,1-Preload,20.800,10.489,0.631,0.864
Stretch,1-Preload,21.000,10.489,0.631,1.064
Stretch,1-Preload,21.200,10.496,0.638,0.764
Stretch,1-Preload,21.400,10.493,0.635,0.764
Stretch,1-Preload,21.600,10.499,0.641,1.165
Stretch,1-Preload,21.800,10.498,0.64,0.764
Stretch,1-Preload,22.000,10.495,0.637,0.964
Stretch,1-Preload,22.200,10.502,0.644,1.064
Stretch,1-Preload,22.400,10.502,0.644,0.864
Stretch,1-Preload,22.600,10.502,0.644,1.165
Stretch,1-Preload,22.800,10.505,0.647,0.964
Stretch,1-Preload,23.000,10.498,0.64,0.764
Stretch,1-Preload,23.200,10.504,0.646,1.165
Stretch,1-Preload,23.400,10.503,0.645,0.864
Stretch,1-Preload,23.600,10.503,0.645,0.964
Stretch,1-Stretch,23.610,10.503,0,0.964
Stretch,1-Stretch,23.810,10.522,0.019,1.064
Stretch,1-Stretch,24.010,10.543,0.04,0.764
Stretch,1-Stretch,24.210,10.564,0.061,1.165
Stretch,1-Stretch,24.410,10.585,0.082,0.964
Stretch,1-Stretch,24.610,10.606,0.103,0.864
Stretch,1-Stretch,24.810,10.627,0.124,1.165
Stretch,1-Stretch,25.010,10.648,0.145,1.064
Stretch,1-Stretch,25.210,10.67,0.167,1.165
Stretch,1-Stretch,25.410,10.691,0.188,1.265
Stretch,1-Stretch,25.610,10.711,0.208,1.165
Stretch,1-Stretch,25.810,10.733,0.23,1.265
Stretch,1-Stretch,26.010,10.754,0.251,0.964
Stretch,1-Stretch,26.210,10.775,0.272,0.964
Stretch,1-Stretch,26.410,10.796,0.293,1.064
Stretch,1-Stretch,26.610,10.817,0.314,0.864
Stretch,1-Stretch,26.810,10.838,0.335,1.064
Stretch,1-Stretch,27.010,10.859,0.356,1.265
Stretch,1-Stretch,27.210,10.88,0.377,1.265
Stretch,1-Stretch,27.410,10.901,0.398,1.265
Stretch,1-Stretch,27.610,10.922,0.419,1.265
Stretch,1-Stretch,27.810,10.943,0.44,1.265
Stretch,1-Stretch,28.010,10.964,0.461,1.265
Stretch,1-Stretch,28.210,10.985,0.482,1.265
Stretch,1-Stretch,28.410,11.006,0.503,1.265
Stretch,1-Stretch,28.610,11.027,0.524,1.365
Stretch,1-Stretch,28.810,11.048,0.545,1.566
Stretch,1-Stretch,29.010,11.07,0.567,1.265
Stretch,1-Stretch,29.210,11.091,0.588,1.465
Stretch,1-Stretch,29.410,11.111,0.608,1.566
Stretch,1-Stretch,29.610,11.133,0.63,1.265
Stretch,1-Stretch,29.810,11.153,0.65,1.566
Stretch,1-Stretch,30.010,11.174,0.671,1.365
Stretch,1-Stretch,30.210,11.196,0.693,1.866
Stretch,1-Stretch,30.410,11.217,0.714,1.966
Stretch,1-Stretch,30.610,11.238,0.735,1.966
Stretch,1-Stretch,30.810,11.259,0.756,2.067
Stretch,1-Stretch,31.010,11.28,0.777,2.067
Stretch,1-Stretch,31.210,11.301,0.798,2.067
Stretch,1-Stretch,31.410,11.322,0.819,2.067
Stretch,1-Stretch,31.610,11.343,0.84,2.167
Stretch,1-Stretch,31.810,11.364,0.861,2.067
Stretch,1-Stretch,32.010,11.385,0.882,2.267
Stretch,1-Stretch,32.210,11.406,0.903,2.067
Stretch,1-Stretch,32.410,11.427,0.924,2.267
Stretch,1-Stretch,32.610,11.448,0.945,2.367
Stretch,1-Stretch,32.810,11.469,0.966,2.067
Stretch,1-Stretch,33.010,11.491,0.988,2.367
Stretch,1-Stretch,33.210,11.511,1.008,2.267
Stretch,1-Stretch,33.410,11.533,1.03,2.367
Stretch,1-Stretch,33.610,11.553,1.05,2.668
Stretch,1-Stretch,33.810,11.574,1.071,2.868
Stretch,1-Stretch,34.010,11.596,1.093,2.868
Stretch,1-Stretch,34.210,11.617,1.114,2.668
Stretch,1-Stretch,34.410,11.638,1.135,2.868
Stretch,1-Stretch,34.610,11.659,1.156,2.768
Stretch,1-Stretch,34.810,11.68,1.177,2.868
Stretch,1-Stretch,35.010,11.701,1.198,2.868
Stretch,1-Stretch,35.210,11.722,1.219,2.969
Stretch,1-Stretch,35.410,11.743,1.24,2.868
Stretch,1-Stretch,35.610,11.764,1.261,2.969
Stretch,1-Stretch,35.810,11.785,1.282,2.969
Stretch,1-Stretch,36.010,11.806,1.303,2.868
Stretch,1-Stretch,36.210,11.827,1.324,2.868
Stretch,1-Stretch,36.410,11.848,1.345,2.969
Stretch,1-Stretch,36.610,11.869,1.366,3.269
Stretch,1-Stretch,36.810,11.891,1.388,3.169
Stretch,1-Stretch,37.010,11.911,1.408,3.570
Stretch,1-Stretch,37.210,11.932,1.429,3.370
Stretch,1-Stretch,37.410,11.953,1.45,3.269
Stretch,1-Stretch,37.610,11.974,1.471,3.570
Stretch,1-Stretch,37.810,11.996,1.493,3.269
Stretch,1-Stretch,38.010,12.017,1.514,3.470
Stretch,1-Stretch,38.210,12.038,1.535,3.570
Stretch,1-Stretch,38.410,12.059,1.556,3.670
Stretch,1-Stretch,38.610,12.08,1.577,3.670
Stretch,1-Stretch,38.810,12.101,1.598,3.670
Stretch,1-Stretch,39.010,12.122,1.619,3.670
Stretch,1-Stretch,39.210,12.143,1.64,3.670
Stretch,1-Stretch,39.410,12.164,1.661,3.771
Stretch,1-Stretch,39.610,12.185,1.682,3.871
Stretch,1-Stretch,39.810,12.206,1.703,4.272
Stretch,1-Stretch,40.010,12.227,1.724,3.871
Stretch,1-Stretch,40.210,12.248,1.745,4.372
Stretch,1-Stretch,40.410,12.269,1.766,4.171
Stretch,1-Stretch,40.610,12.29,1.787,4.071
Stretch,1-Stretch,40.810,12.311,1.808,4.372
Stretch,1-Stretch,41.010,12.332,1.829,4.071
Stretch,1-Stretch,41.210,12.353,1.85,4.372
Stretch,1-Stretch,41.410,12.374,1.871,4.372
Stretch,1-Stretch,41.610,12.395,1.892,4.372
Stretch,1-Stretch,41.810,12.417,1.914,4.472
Stretch,1-Stretch,42.010,12.438,1.935,4.472
Stretch,1-Stretch,42.210,12.459,1.956,4.472
Stretch,1-Stretch,42.410,12.473,1.97,4.572
Stretch,1-Stretch,42.610,12.494,1.991,4.472
Stretch,1-Stretch,42.810,12.516,2.013,4.472
Stretch,1-Stretch,43.010,12.537,2.034,4.472
Stretch,1-Stretch,43.210,12.558,2.055,4.673
Stretch,1-Stretch,43.410,12.579,2.076,5.174
Stretch,1-Stretch,43.610,12.6,2.097,4.973
Stretch,1-Stretch,43.810,12.621,2.118,4.673
