# Stretch,Cauchy_stress
1.000000000000000000e+00,-7.938466577941536350e-04
1.001840623646600204e+00,-7.953078307242642062e-04
1.003789519272412223e+00,-7.968549550032046069e-04
1.005846686877436058e+00,-2.199344224720405257e-03
1.007795582503248077e+00,-5.024782201013155113e-03
1.009852750108271913e+00,-5.035039061973538982e-03
1.011801645734083932e+00,-5.044756088146532674e-03
1.013858813339107767e+00,-3.642998158853588426e-03
1.015807708964919787e+00,-5.064729975279911971e-03
1.017864876569943622e+00,-8.080286303511085731e-04
1.019922044174967457e+00,-3.664784563904400529e-03
1.021870939800779476e+00,-7.941307496208130021e-03
1.023928107405803312e+00,-3.679179152955828862e-03
1.025877003031615331e+00,-8.143890301645308107e-04
1.027934170636639166e+00,-7.988426930387790975e-03
1.029883066262451186e+00,-3.700576515059305228e-03
1.031940233867475021e+00,-5.145165358600814129e-03
1.033889129493287040e+00,-5.154882384773808689e-03
1.035946297098310875e+00,-2.265158831229799590e-03
1.037895192724122895e+00,-8.065837429397235830e-03
1.039952360329146730e+00,-8.255627055124345600e-04
1.041901255954958749e+00,-3.743760282213591962e-03
1.043958423559982585e+00,-5.205087020000948549e-03
1.045907319185794604e+00,-5.214804046173943976e-03
1.047964486790818439e+00,-5.225060907134327845e-03
1.049913382416630458e+00,-3.772549460316450363e-03
1.051970550021654294e+00,-3.779941276315833265e-03
1.054027717626678129e+00,-8.191208781053839830e-03
1.055976613252490148e+00,-2.308956321173101598e-03
1.058033780857513984e+00,-2.313454441761873120e-03
1.059982676483326003e+00,-2.317715819161762000e-03
1.062039844088349838e+00,-2.322213939750533522e-03
1.063988739714161857e+00,-5.304956455667841561e-03
1.066045907319185693e+00,-6.799909773786946658e-03
1.067994802944997934e+00,-2.335234815139082803e-03
1.070051970550021547e+00,-5.335187203761603859e-03
1.072000866175833567e+00,-3.851914221572979267e-03
1.073949761801645808e+00,-2.348255690527632084e-03
1.076006929406669643e+00,-8.362016729955117078e-03
1.078064097011693478e+00,-2.357251931705175562e-03
1.080012992637505276e+00,-6.889000608726872886e-03
1.082070160242529111e+00,-5.395108865161739146e-03
1.084019055868341352e+00,-3.895097988727267736e-03
1.086076223473365188e+00,-6.927675699863587548e-03
1.088025119099176985e+00,-3.909492577778695202e-03
1.090082286704200820e+00,-3.916884393778077671e-03
1.092031182330012840e+00,-8.669053042996787252e-04
1.094088349935036675e+00,6.552131638049177396e-04
1.096037245560848694e+00,-2.396551301059705180e-03
1.098094413165872529e+00,-2.401049421648476703e-03
1.100043308791684549e+00,-8.732657041131010713e-04
1.102100476396708384e+00,6.600113601553942843e-04
1.104049372022520403e+00,-2.414070297037025983e-03
1.106106539627544239e+00,-3.974462749983795340e-03
1.108055435253356258e+00,-8.796261039265229837e-04
1.110112602858380093e+00,6.648095565058706122e-04
1.112169770463403928e+00,-3.996249155034606142e-03
1.114118666089215948e+00,-2.436087413603118309e-03
1.116175833694239783e+00,-2.440585534191889831e-03
1.118124729320051802e+00,6.696077528563470485e-04
1.120181896925075637e+00,-8.892526549954865491e-04
1.122130792550887879e+00,-2.453606409580439546e-03
1.124187960155911492e+00,-5.605104597455907306e-03
1.126136855781723511e+00,-2.462365907569099514e-03
1.128194023386747347e+00,-4.053827511240323811e-03
1.130142919012559588e+00,-4.060830284292370543e-03
1.132200086617583423e+00,-8.987932547156199598e-04
1.134148982243395221e+00,-2.479884903546420317e-03
1.136206149848419056e+00,-9.019734546223308076e-04
1.138155045474231297e+00,-9.035205789012715335e-04
1.140212213079255132e+00,-4.097011278394611412e-03
1.142161108705066930e+00,-9.067007788079823813e-04
1.144218276310090765e+00,-4.111405867446039746e-03
