SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch,1-Preload,0.000,7.64,0,-0.550
Stretch,1-Preload,0.200,7.64,0,-0.049
Stretch,1-Preload,0.400,7.686,0.046,-0.149
Stretch,1-Preload,0.600,7.746,0.106,-0.149
Stretch,1-Preload,0.800,7.79,0.15,-0.149
Stretch,1-Preload,1.000,7.838,0.198,0.051
Stretch,1-Preload,1.200,7.884,0.244,-0.149
Stretch,1-Preload,1.400,7.926,0.286,-0.149
Stretch,1-Preload,1.600,7.973,0.333,0.051
Stretch,1-Preload,1.800,8.025,0.385,-0.149
Stretch,1-Preload,2.000,8.069,0.429,0.051
Stretch,1-Preload,2.200,8.114,0.474,-0.149
Stretch,1-Preload,2.400,8.155,0.515,-0.149
Stretch,1-Preload,2.600,8.198,0.558,0.051
Stretch,1-Preload,2.800,8.245,0.605,-0.250
Stretch,1-Preload,3.000,8.293,0.653,-0.250
Stretch,1-Preload,3.200,8.337,0.697,0.051
Stretch,1-Preload,3.400,8.383,0.743,-0.049
Stretch,1-Preload,3.600,8.425,0.785,-0.049
Stretch,1-Preload,3.800,8.468,0.828,0.051
Stretch,1-Preload,4.000,8.512,0.872,-0.149
Stretch,1-Preload,4.200,8.555,0.915,0.151
Stretch,1-Preload,4.400,8.595,0.955,-0.049
Stretch,1-Preload,4.600,8.636,0.996,-0.049
Stretch,1-Preload,4.800,8.683,1.043,0.151
Stretch,1-Preload,5.000,8.721,1.081,-0.049
Stretch,1-Preload,5.200,8.762,1.122,0.051
Stretch,1-Preload,5.400,8.808,1.168,0.051
Stretch,1-Preload,5.600,8.843,1.203,-0.049
Stretch,1-Preload,5.800,8.885,1.245,0.151
Stretch,1-Preload,6.000,8.928,1.288,-0.049
Stretch,1-Preload,6.200,8.965,1.325,0.051
Stretch,1-Preload,6.400,9.009,1.369,0.151
Stretch,1-Preload,6.600,9.051,1.411,-0.149
Stretch,1-Preload,6.800,9.093,1.453,0.151
Stretch,1-Preload,7.000,9.135,1.495,0.051
Stretch,1-Preload,7.200,9.176,1.536,-0.250
Stretch,1-Preload,7.400,9.221,1.581,0.151
Stretch,1-Preload,7.600,9.259,1.619,-0.049
Stretch,1-Preload,7.800,9.3,1.66,-0.049
Stretch,1-Preload,8.000,9.346,1.706,0.151
Stretch,1-Preload,8.200,9.386,1.746,-0.149
Stretch,1-Preload,8.400,9.428,1.788,0.051
Stretch,1-Preload,8.600,9.473,1.833,0.051
Stretch,1-Preload,8.800,9.509,1.869,-0.049
Stretch,1-Preload,9.000,9.553,1.913,0.151
Stretch,1-Preload,9.200,9.597,1.957,-0.049
Stretch,1-Preload,9.400,9.636,1.996,0.151
Stretch,1-Preload,9.600,9.671,2.031,0.252
Stretch,1-Preload,9.800,9.705,2.065,0.252
Stretch,1-Preload,10.000,9.741,2.101,0.151
Stretch,1-Preload,10.200,9.776,2.136,0.151
Stretch,1-Preload,10.400,9.812,2.172,0.051
Stretch,1-Preload,10.600,9.851,2.211,0.252
Stretch,1-Preload,10.800,9.887,2.247,0.252
Stretch,1-Preload,11.000,9.924,2.284,0.252
Stretch,1-Preload,11.200,9.961,2.321,0.252
Stretch,1-Preload,11.400,9.998,2.358,0.252
Stretch,1-Preload,11.600,10.035,2.395,0.252
Stretch,1-Preload,11.800,10.069,2.429,0.452
Stretch,1-Preload,12.000,10.095,2.455,0.452
Stretch,1-Preload,12.200,10.119,2.479,0.853
Stretch,1-Preload,12.400,10.14,2.5,0.552
Stretch,1-Preload,12.600,10.15,2.51,0.352
Stretch,1-Preload,12.800,10.175,2.535,0.753
Stretch,1-Preload,13.000,10.189,2.549,0.552
Stretch,1-Preload,13.200,10.199,2.559,0.853
Stretch,1-Stretch,13.310,10.199,0,0.652
Stretch,1-Stretch,13.510,10.217,0.018,0.953
Stretch,1-Stretch,13.710,10.237,0.038,0.853
Stretch,1-Stretch,13.910,10.257,0.058,0.652
Stretch,1-Stretch,14.110,10.278,0.079,0.953
Stretch,1-Stretch,14.310,10.298,0.099,0.753
Stretch,1-Stretch,14.510,10.319,0.12,0.753
Stretch,1-Stretch,14.710,10.339,0.14,0.953
Stretch,1-Stretch,14.910,10.36,0.161,0.853
Stretch,1-Stretch,15.110,10.38,0.181,0.953
Stretch,1-Stretch,15.310,10.401,0.202,1.053
Stretch,1-Stretch,15.510,10.421,0.222,1.053
Stretch,1-Stretch,15.710,10.442,0.243,1.053
Stretch,1-Stretch,15.910,10.462,0.263,1.053
Stretch,1-Stretch,16.110,10.482,0.283,1.053
Stretch,1-Stretch,16.310,10.503,0.304,1.053
Stretch,1-Stretch,16.510,10.523,0.324,1.053
Stretch,1-Stretch,16.710,10.544,0.345,1.354
Stretch,1-Stretch,16.910,10.564,0.365,1.655
Stretch,1-Stretch,17.110,10.585,0.386,1.254
Stretch,1-Stretch,17.310,10.605,0.406,1.755
Stretch,1-Stretch,17.510,10.626,0.427,1.555
Stretch,1-Stretch,17.710,10.646,0.447,1.555
Stretch,1-Stretch,17.910,10.667,0.468,1.755
Stretch,1-Stretch,18.110,10.687,0.488,1.454
Stretch,1-Stretch,18.310,10.708,0.509,1.655
Stretch,1-Stretch,18.510,10.728,0.529,1.755
Stretch,1-Stretch,18.710,10.748,0.549,1.655
Stretch,1-Stretch,18.910,10.769,0.57,1.855
Stretch,1-Stretch,19.110,10.789,0.59,1.755
Stretch,1-Stretch,19.310,10.81,0.611,1.755
Stretch,1-Stretch,19.510,10.83,0.631,1.354
Stretch,1-Stretch,19.710,10.851,0.652,1.755
Stretch,1-Stretch,19.910,10.871,0.672,1.755
Stretch,1-Stretch,20.110,10.892,0.693,1.855
Stretch,1-Stretch,20.310,10.912,0.713,1.855
Stretch,1-Stretch,20.510,10.933,0.734,1.855
Stretch,1-Stretch,20.710,10.953,0.754,1.855
Stretch,1-Stretch,20.910,10.973,0.774,1.955
Stretch,1-Stretch,21.110,10.994,0.795,1.855
Stretch,1-Stretch,21.310,11.014,0.815,2.156
Stretch,1-Stretch,21.510,11.035,0.836,1.955
Stretch,1-Stretch,21.710,11.055,0.856,2.056
Stretch,1-Stretch,21.910,11.076,0.877,2.156
Stretch,1-Stretch,22.110,11.096,0.897,2.056
Stretch,1-Stretch,22.310,11.116,0.917,2.557
Stretch,1-Stretch,22.510,11.137,0.938,2.657
Stretch,1-Stretch,22.710,11.157,0.958,2.657
Stretch,1-Stretch,22.910,11.178,0.979,2.657
Stretch,1-Stretch,23.110,11.198,0.999,2.657
Stretch,1-Stretch,23.310,11.219,1.02,2.757
Stretch,1-Stretch,23.510,11.239,1.04,2.958
Stretch,1-Stretch,23.710,11.26,1.061,2.657
Stretch,1-Stretch,23.910,11.28,1.081,2.958
Stretch,1-Stretch,24.110,11.301,1.102,3.058
Stretch,1-Stretch,24.310,11.321,1.122,3.258
Stretch,1-Stretch,24.510,11.341,1.142,3.459
Stretch,1-Stretch,24.710,11.362,1.163,3.459
Stretch,1-Stretch,24.910,11.382,1.183,3.359
Stretch,1-Stretch,25.110,11.403,1.204,3.559
Stretch,1-Stretch,25.310,11.423,1.224,3.459
Stretch,1-Stretch,25.510,11.444,1.245,3.459
Stretch,1-Stretch,25.710,11.464,1.265,3.459
Stretch,1-Stretch,25.910,11.485,1.286,3.860
Stretch,1-Stretch,26.110,11.505,1.306,3.760
Stretch,1-Stretch,26.310,11.526,1.327,4.060
Stretch,1-Stretch,26.510,11.546,1.347,4.060
Stretch,1-Stretch,26.710,11.566,1.367,4.060
Stretch,1-Stretch,26.910,11.587,1.388,4.261
Stretch,1-Stretch,27.110,11.607,1.408,4.261
Stretch,1-Stretch,27.310,11.628,1.429,4.461
Stretch,1-Stretch,27.510,11.648,1.449,4.962
Stretch,1-Stretch,27.710,11.668,1.469,4.662
Stretch,1-Stretch,27.910,11.689,1.49,4.962
Stretch,1-Stretch,28.110,11.709,1.51,4.962
Stretch,1-Stretch,28.310,11.73,1.531,4.962
Stretch,1-Stretch,28.510,11.75,1.551,5.062
Stretch,1-Stretch,28.710,11.771,1.572,5.163
Stretch,1-Stretch,28.910,11.791,1.592,5.363
Stretch,1-Stretch,29.110,11.812,1.613,5.664
Stretch,1-Stretch,29.310,11.832,1.633,5.263
Stretch,1-Stretch,29.510,11.853,1.654,5.163
Stretch,1-Stretch,29.710,11.873,1.674,5.263
Stretch,1-Stretch,29.910,11.894,1.695,5.664
Stretch,1-Stretch,30.110,11.914,1.715,5.764
Stretch,1-Stretch,30.310,11.934,1.735,5.864
Stretch,1-Stretch,30.510,11.955,1.756,5.864
Stretch,1-Stretch,30.710,11.975,1.776,5.965
Stretch,1-Stretch,30.910,11.996,1.797,6.265
Stretch,1-Stretch,31.110,12.016,1.817,6.365
Stretch,1-Stretch,31.310,12.037,1.838,6.566
Stretch,1-Stretch,31.510,12.057,1.858,6.666
Stretch,1-Stretch,31.710,12.078,1.879,6.666
Stretch,1-Stretch,31.910,12.098,1.899,6.967
Stretch,1-Stretch,32.110,12.113,1.914,6.967
Stretch,1-Stretch,32.310,12.133,1.934,7.267
Stretch,1-Stretch,32.510,12.154,1.955,7.167
Stretch,1-Stretch,32.710,12.174,1.975,7.368
Stretch,1-Stretch,32.910,12.194,1.995,7.468
Stretch,1-Stretch,33.110,12.215,2.016,7.568
Stretch,1-Stretch,33.310,12.235,2.036,7.969
Stretch,1-Stretch,33.510,12.256,2.057,7.869
Stretch,1-Stretch,33.710,12.276,2.077,8.170
Stretch,1-Stretch,33.910,12.297,2.098,8.270
Stretch,1-Stretch,34.110,12.317,2.118,8.270
Stretch,1-Stretch,34.310,12.338,2.139,8.671
Stretch,1-Stretch,34.510,12.358,2.159,8.871
Stretch,1-Stretch,34.710,12.379,2.18,8.871
Stretch,1-Stretch,34.910,12.399,2.2,9.072
Stretch,1-Stretch,35.110,12.42,2.221,8.971
Stretch,1-Stretch,35.310,12.44,2.241,9.072
Stretch,1-Stretch,35.510,12.46,2.261,9.072
Stretch,1-Stretch,35.710,12.481,2.282,9.372
Stretch,1-Stretch,35.910,12.501,2.302,9.272
Stretch,1-Stretch,36.110,12.522,2.323,9.673
Stretch,1-Stretch,36.310,12.542,2.343,9.873
