SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch,1-Preload,0.000,8.581,0,-0.052
Stretch,1-Preload,0.200,8.581,0,-0.052
Stretch,1-Preload,0.400,8.616,0.035,0.050
Stretch,1-Preload,0.600,8.661,0.08,-0.052
Stretch,1-Preload,0.800,8.704,0.123,-0.052
Stretch,1-Preload,1.000,8.744,0.163,0.050
Stretch,1-Preload,1.200,8.79,0.209,0.050
Stretch,1-Preload,1.400,8.832,0.251,-0.052
Stretch,1-Preload,1.600,8.874,0.293,0.050
Stretch,1-Preload,1.800,8.917,0.336,-0.052
Stretch,1-Preload,2.000,8.96,0.379,-0.052
Stretch,1-Preload,2.200,9.001,0.42,-0.052
Stretch,1-Preload,2.400,9.047,0.466,-0.052
Stretch,1-Preload,2.600,9.091,0.51,-0.052
Stretch,1-Preload,2.800,9.133,0.552,0.050
Stretch,1-Preload,3.000,9.177,0.596,-0.052
Stretch,1-Preload,3.200,9.221,0.64,0.050
Stretch,1-Preload,3.400,9.261,0.68,-0.052
Stretch,1-Preload,3.600,9.307,0.726,-0.052
Stretch,1-Preload,3.800,9.351,0.77,-0.052
Stretch,1-Preload,4.000,9.393,0.812,-0.052
Stretch,1-Preload,4.200,9.438,0.857,-0.052
Stretch,1-Preload,4.400,9.482,0.901,-0.052
Stretch,1-Preload,4.600,9.524,0.943,-0.052
Stretch,1-Preload,4.800,9.568,0.987,-0.052
Stretch,1-Preload,5.000,9.613,1.032,-0.052
Stretch,1-Preload,5.200,9.655,1.074,-0.052
Stretch,1-Preload,5.400,9.7,1.119,-0.052
Stretch,1-Preload,5.600,9.745,1.164,-0.052
Stretch,1-Preload,5.800,9.786,1.205,0.151
Stretch,1-Preload,6.000,9.828,1.247,0.050
Stretch,1-Preload,6.200,9.87,1.289,-0.052
Stretch,1-Preload,6.400,9.91,1.329,-0.052
Stretch,1-Preload,6.600,9.956,1.375,-0.052
Stretch,1-Preload,6.800,9.995,1.414,0.252
Stretch,1-Preload,7.000,10.03,1.449,0.252
Stretch,1-Preload,7.200,10.067,1.486,0.454
Stretch,1-Preload,7.400,10.103,1.522,0.454
Stretch,1-Preload,7.600,10.135,1.554,0.252
Stretch,1-Preload,7.800,10.168,1.587,0.555
Stretch,1-Preload,8.000,10.196,1.615,0.252
Stretch,1-Preload,8.200,10.224,1.643,0.555
Stretch,1-Preload,8.400,10.255,1.674,0.555
Stretch,1-Preload,8.600,10.28,1.699,0.353
Stretch,1-Preload,8.800,10.31,1.729,0.656
Stretch,1-Preload,9.000,10.34,1.759,0.454
Stretch,1-Preload,9.200,10.365,1.784,0.454
Stretch,1-Preload,9.400,10.396,1.815,0.656
Stretch,1-Preload,9.600,10.422,1.841,0.353
Stretch,1-Preload,9.800,10.448,1.867,0.555
Stretch,1-Preload,10.000,10.48,1.899,0.555
Stretch,1-Preload,10.200,10.505,1.924,0.353
Stretch,1-Preload,10.400,10.535,1.954,0.656
Stretch,1-Preload,10.600,10.564,1.983,0.454
Stretch,1-Preload,10.800,10.589,2.008,0.555
Stretch,1-Preload,11.000,10.618,2.037,0.656
Stretch,1-Preload,11.200,10.641,2.06,0.454
Stretch,1-Preload,11.400,10.663,2.082,0.454
Stretch,1-Preload,11.600,10.687,2.106,0.656
Stretch,1-Preload,11.800,10.708,2.127,0.656
Stretch,1-Preload,12.000,10.727,2.146,0.757
Stretch,1-Preload,12.200,10.745,2.164,0.757
Stretch,1-Preload,12.400,10.761,2.18,0.656
Stretch,1-Preload,12.600,10.778,2.197,0.757
Stretch,1-Preload,12.800,10.796,2.215,0.757
Stretch,1-Preload,13.000,10.81,2.229,0.757
Stretch,1-Preload,13.200,10.826,2.245,0.656
Stretch,1-Preload,13.400,10.843,2.262,0.757
Stretch,1-Preload,13.600,10.857,2.276,0.757
Stretch,1-Preload,13.800,10.875,2.294,0.757
Stretch,1-Preload,14.000,10.89,2.309,0.757
Stretch,1-Preload,14.200,10.905,2.324,0.757
Stretch,1-Preload,14.400,10.919,2.338,0.757
Stretch,1-Preload,14.600,10.934,2.353,0.757
Stretch,1-Preload,14.800,10.948,2.367,0.757
Stretch,1-Preload,15.000,10.963,2.382,0.757
Stretch,1-Preload,15.200,10.973,2.392,0.859
Stretch,1-Preload,15.400,10.985,2.404,0.757
Stretch,1-Preload,15.600,10.999,2.418,0.757
Stretch,1-Preload,15.800,11.01,2.429,0.757
Stretch,1-Preload,16.000,11.025,2.444,0.757
Stretch,1-Preload,16.200,11.024,2.443,0.859
Stretch,1-Preload,16.400,11.028,2.447,0.960
