# Stretch,Cauchy_stress
1.000000000000000000e+00,1.271048077162574390e-02
1.001786103245480231e+00,1.967388167828522730e-02
1.003790023959921784e+00,1.449300646804673950e-02
1.005793944674362894e+00,2.149040594603952858e-02
1.007797865388804226e+00,1.805066806598415799e-02
1.009801786103245558e+00,1.632454582129288026e-02
1.011805706817686890e+00,2.161885691713072433e-02
1.013809627532127999e+00,2.166167390749445393e-02
1.015813548246569553e+00,1.994936393173834741e-02
1.017817468961010885e+00,2.350589723706932727e-02
1.019821389675451995e+00,2.355217661016062447e-02
1.021825310389893327e+00,2.359845598325192861e-02
1.023829231104334658e+00,2.541371185337335664e-02
1.025833151818775768e+00,2.369101472943452996e-02
1.027837072533217322e+00,3.618618612073938590e-02
1.029840993247658654e+00,3.090102805646849013e-02
1.031844913962099763e+00,3.276163473126138259e-02
1.033848834676541095e+00,3.282526029900764697e-02
1.035852755390982427e+00,2.929166397507770164e-02
1.037856676105423759e+00,2.576190414410547275e-02
1.039904160313657178e+00,2.760947807048257097e-02
1.041864517534306422e+00,3.126180148047802421e-02
1.043912001742539841e+00,2.410853516058432747e-02
1.045872358963188864e+00,3.320701370548523323e-02
1.047919843171422505e+00,3.144349534256977996e-02
1.049923763885863615e+00,3.877783623052882822e-02
1.051884121106512859e+00,3.885023997437239696e-02
1.053931605314746278e+00,3.892586166238678341e-02
1.055935526029187610e+00,4.082432426817676069e-02
1.057939446743628942e+00,4.455762391201045780e-02
1.059943367458070274e+00,3.914789981017372661e-02
1.061947288172511383e+00,4.472642364023383943e-02
1.063951208886952715e+00,4.481082350434553718e-02
1.065955129601394269e+00,5.228050584783382887e-02
1.067959050315835379e+00,5.422401371009933496e-02
1.069962971030276710e+00,5.432575976886599295e-02
1.071966891744718042e+00,5.813180373099578746e-02
1.073970812459159152e+00,6.009608588962671999e-02
1.075974733173600706e+00,5.463099794516595997e-02
1.077978653888042038e+00,6.592640155460213758e-02
1.079982574602483147e+00,6.791495467334317249e-02
1.081986495316924479e+00,6.804097169221992591e-02
1.083990416031365811e+00,6.252967517242057072e-02
1.085994336745806921e+00,7.016939136074801242e-02
1.087998257460248475e+00,7.029887076235236121e-02
1.090002178174689806e+00,7.607828135264582681e-02
1.092006098889130916e+00,8.378391993686554184e-02
1.094010019603572248e+00,7.824824961390478006e-02
1.096013940318013580e+00,8.409142066029443030e-02
1.098017861032454912e+00,8.614233094914885980e-02
1.100021781746896243e+00,8.820016600345845226e-02
1.102025702461337575e+00,9.980420160988794087e-02
1.104029623175778685e+00,9.615170455908844671e-02
1.106033543890220017e+00,9.825615956094187198e-02
1.108037464604661348e+00,1.022631245643221276e-01
1.110041385319102680e+00,1.043660048751072628e-01
1.112045306033544012e+00,1.026330167388815051e-01
1.114049226747985344e+00,1.028179628261611939e-01
1.116053147462426454e+00,1.107161944001934517e-01
1.118057068176867785e+00,1.031878550007205436e-01
1.120060988891309117e+00,1.188739310379895303e-01
1.122064909605750449e+00,1.190866104681068960e-01
1.124068830320191781e+00,1.192992898982242617e-01
1.126116314528425422e+00,1.253537184577609431e-01
1.128076671749074444e+00,1.314192227667804191e-01
1.130124155957307863e+00,1.355823512173834622e-01
1.132128076671749195e+00,1.416910510984338289e-01
1.134131997386190305e+00,1.360631767632935474e-01
1.136135918100631637e+00,1.480817123451700912e-01
1.138139838815073190e+00,1.444099337127282834e-01
1.140143759529514300e+00,1.525634813592820771e-01
1.142147680243955632e+00,1.548050350914110806e-01
1.144151600958396964e+00,1.649609935852507647e-01
1.146155521672838296e+00,1.672498536305052075e-01
1.148159442387279627e+00,1.695260654709270509e-01
1.150163363101720959e+00,1.757837163712972217e-01
1.152167283816162069e+00,1.800714220380585651e-01
1.154171204530603401e+00,1.763962495849233925e-01
1.156175125245044732e+00,1.727072276008778939e-01
1.158179045959486064e+00,1.870341291267414718e-01
1.160182966673927396e+00,1.873577419282095591e-01
1.162186887388368728e+00,1.896893861732897035e-01
1.164190808102809838e+00,1.960509428365040108e-01
1.166194728817251169e+00,2.044681800666269533e-01
1.168198649531692501e+00,2.048195262109327175e-01
1.170202570246133833e+00,2.112365152788053535e-01
1.172206490960575165e+00,2.115982485712938344e-01
1.174210411675016497e+00,2.200752048236921110e-01
1.176214332389457828e+00,2.204507876470908068e-01
1.178218253103898938e+00,2.228822567235006769e-01
1.180222173818340270e+00,2.232613362106440902e-01
1.182226094532781602e+00,2.379390025940016640e-01
1.184230015247222934e+00,2.362962011066228052e-01
1.186233935961664265e+00,2.387456349264745759e-01
1.187671531256806912e+00,2.390349704370354766e-01
