SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch,1-Preload,0.000,15.421,0,-0.058
Stretch,1-Preload,0.200,15.421,0,0.043
Stretch,1-Preload,0.400,15.46,0.039,-0.058
Stretch,1-Preload,0.600,15.503,0.082,0.043
Stretch,1-Preload,0.800,15.547,0.126,0.043
Stretch,1-Preload,1.000,15.587,0.166,-0.058
Stretch,1-Preload,1.200,15.631,0.21,0.043
Stretch,1-Preload,1.400,15.675,0.254,-0.058
Stretch,1-Preload,1.600,15.715,0.294,-0.058
Stretch,1-Preload,1.800,15.761,0.34,0.043
Stretch,1-Preload,2.000,15.803,0.382,-0.058
Stretch,1-Preload,2.200,15.843,0.422,-0.058
Stretch,1-Preload,2.400,15.888,0.467,0.043
Stretch,1-Preload,2.600,15.931,0.51,-0.058
Stretch,1-Preload,2.800,15.97,0.549,0.043
Stretch,1-Preload,3.000,16.015,0.594,-0.058
Stretch,1-Preload,3.200,16.056,0.635,-0.058
Stretch,1-Preload,3.400,16.098,0.677,-0.058
Stretch,1-Preload,3.600,16.142,0.721,-0.058
Stretch,1-Preload,3.800,16.187,0.766,-0.058
Stretch,1-Preload,4.000,16.229,0.808,0.043
Stretch,1-Preload,4.200,16.272,0.851,-0.058
Stretch,1-Preload,4.400,16.315,0.894,0.043
Stretch,1-Preload,4.600,16.355,0.934,-0.058
Stretch,1-Preload,4.800,16.399,0.978,-0.058
Stretch,1-Preload,5.000,16.444,1.023,-0.058
Stretch,1-Preload,5.200,16.485,1.064,-0.058
Stretch,1-Preload,5.400,16.53,1.109,-0.058
Stretch,1-Preload,5.600,16.575,1.154,-0.058
Stretch,1-Preload,5.800,16.617,1.196,-0.058
Stretch,1-Preload,6.000,16.662,1.241,0.043
Stretch,1-Preload,6.200,16.706,1.285,-0.058
Stretch,1-Preload,6.400,16.748,1.327,-0.058
Stretch,1-Preload,6.600,16.793,1.372,-0.058
Stretch,1-Preload,6.800,16.838,1.417,-0.058
Stretch,1-Preload,7.000,16.88,1.459,-0.058
Stretch,1-Preload,7.200,16.925,1.504,-0.058
Stretch,1-Preload,7.400,16.967,1.546,0.043
Stretch,1-Preload,7.600,17.007,1.586,-0.058
Stretch,1-Preload,7.800,17.052,1.631,-0.058
Stretch,1-Preload,8.000,17.094,1.673,-0.058
Stretch,1-Preload,8.200,17.136,1.715,0.043
Stretch,1-Preload,8.400,17.18,1.759,-0.058
Stretch,1-Preload,8.600,17.224,1.803,-0.058
Stretch,1-Preload,8.800,17.266,1.845,-0.058
Stretch,1-Preload,9.000,17.312,1.891,-0.058
Stretch,1-Preload,9.200,17.355,1.934,-0.058
Stretch,1-Preload,9.400,17.396,1.975,-0.058
Stretch,1-Preload,9.600,17.441,2.02,-0.058
Stretch,1-Preload,9.800,17.486,2.065,-0.058
Stretch,1-Preload,10.000,17.528,2.107,0.043
Stretch,1-Preload,10.200,17.571,2.15,-0.058
Stretch,1-Preload,10.400,17.615,2.194,-0.058
Stretch,1-Preload,10.600,17.657,2.236,-0.058
Stretch,1-Preload,10.800,17.703,2.282,-0.058
Stretch,1-Preload,11.000,17.747,2.326,-0.058
Stretch,1-Preload,11.200,17.789,2.368,-0.058
Stretch,1-Preload,11.400,17.834,2.413,-0.058
Stretch,1-Preload,11.600,17.876,2.455,-0.058
Stretch,1-Preload,11.800,17.918,2.497,-0.058
Stretch,1-Preload,12.000,17.964,2.543,-0.058
Stretch,1-Preload,12.200,18.008,2.587,-0.058
Stretch,1-Preload,12.400,18.049,2.628,-0.058
Stretch,1-Preload,12.600,18.092,2.671,-0.058
Stretch,1-Preload,12.800,18.136,2.715,-0.058
Stretch,1-Preload,13.000,18.178,2.757,0.043
Stretch,1-Preload,13.200,18.221,2.8,-0.058
Stretch,1-Preload,13.400,18.265,2.844,-0.058
Stretch,1-Preload,13.600,18.307,2.886,0.145
Stretch,1-Preload,13.800,18.349,2.928,-0.058
Stretch,1-Preload,14.000,18.39,2.969,-0.058
Stretch,1-Preload,14.200,18.431,3.01,-0.058
Stretch,1-Preload,14.400,18.473,3.052,-0.058
Stretch,1-Preload,14.600,18.516,3.095,0.043
Stretch,1-Preload,14.800,18.556,3.135,-0.058
Stretch,1-Preload,15.000,18.599,3.178,-0.058
Stretch,1-Preload,15.200,18.643,3.222,-0.058
Stretch,1-Preload,15.400,18.685,3.264,0.043
Stretch,1-Preload,15.600,18.726,3.305,-0.058
Stretch,1-Preload,15.800,18.771,3.35,-0.058
Stretch,1-Preload,16.000,18.813,3.392,0.145
Stretch,1-Preload,16.200,18.856,3.435,0.043
Stretch,1-Preload,16.400,18.898,3.477,-0.058
Stretch,1-Preload,16.600,18.939,3.518,-0.058
Stretch,1-Preload,16.800,18.978,3.557,-0.058
Stretch,1-Preload,17.000,19.022,3.601,0.145
Stretch,1-Preload,17.200,19.062,3.641,-0.058
Stretch,1-Preload,17.400,19.101,3.68,-0.058
Stretch,1-Preload,17.600,19.14,3.719,0.246
Stretch,1-Preload,17.800,19.177,3.756,0.043
Stretch,1-Preload,18.000,19.217,3.796,0.145
Stretch,1-Preload,18.200,19.255,3.834,0.347
Stretch,1-Preload,18.400,19.293,3.872,0.145
Stretch,1-Preload,18.600,19.334,3.913,0.246
Stretch,1-Preload,18.800,19.371,3.95,0.145
Stretch,1-Preload,19.000,19.408,3.987,0.145
Stretch,1-Preload,19.200,19.444,4.023,0.246
Stretch,1-Preload,19.400,19.48,4.059,0.145
Stretch,1-Preload,19.600,19.517,4.096,0.145
Stretch,1-Preload,19.800,19.557,4.136,0.043
Stretch,1-Preload,20.000,19.599,4.178,0.043
Stretch,1-Preload,20.200,19.638,4.217,0.347
Stretch,1-Preload,20.400,19.673,4.252,0.145
Stretch,1-Preload,20.600,19.713,4.292,0.246
Stretch,1-Preload,20.800,19.749,4.328,0.246
Stretch,1-Preload,21.000,19.782,4.361,0.043
Stretch,1-Preload,21.200,19.82,4.399,0.347
Stretch,1-Preload,21.400,19.855,4.434,0.246
Stretch,1-Preload,21.600,19.893,4.472,0.246
Stretch,1-Preload,21.800,19.929,4.508,0.448
Stretch,1-Preload,22.000,19.961,4.54,0.145
Stretch,1-Preload,22.200,19.998,4.577,0.145
Stretch,1-Preload,22.400,20.038,4.617,0.246
Stretch,1-Preload,22.600,20.069,4.648,0.246
Stretch,1-Preload,22.800,20.102,4.681,0.347
Stretch,1-Preload,23.000,20.14,4.719,0.246
Stretch,1-Preload,23.200,20.172,4.751,0.246
Stretch,1-Preload,23.400,20.207,4.786,0.549
Stretch,1-Preload,23.600,20.235,4.814,0.145
Stretch,1-Preload,23.800,20.268,4.847,0.246
Stretch,1-Preload,24.000,20.302,4.881,0.145
Stretch,1-Preload,24.200,20.338,4.917,0.246
Stretch,1-Preload,24.400,20.374,4.953,0.448
Stretch,1-Preload,24.600,20.408,4.987,0.347
Stretch,1-Preload,24.800,20.436,5.015,0.347
Stretch,1-Preload,25.000,20.472,5.051,0.549
Stretch,1-Preload,25.200,20.5,5.079,0.246
Stretch,1-Preload,25.400,20.531,5.11,0.448
Stretch,1-Preload,25.600,20.567,5.146,0.448
Stretch,1-Preload,25.800,20.589,5.168,0.347
Stretch,1-Preload,26.000,20.62,5.199,0.650
Stretch,1-Preload,26.200,20.65,5.229,0.347
Stretch,1-Preload,26.400,20.679,5.258,0.246
Stretch,1-Preload,26.600,20.714,5.293,0.549
Stretch,1-Preload,26.800,20.742,5.321,0.246
Stretch,1-Preload,27.000,20.772,5.351,0.650
Stretch,1-Preload,27.200,20.803,5.382,0.448
Stretch,1-Preload,27.400,20.827,5.406,0.347
Stretch,1-Preload,27.600,20.859,5.438,0.650
Stretch,1-Preload,27.800,20.89,5.469,0.347
Stretch,1-Preload,28.000,20.917,5.496,0.549
Stretch,1-Preload,28.200,20.948,5.527,0.549
Stretch,1-Preload,28.400,20.975,5.554,0.246
Stretch,1-Preload,28.600,21.005,5.584,0.448
Stretch,1-Preload,28.800,21.038,5.617,0.448
Stretch,1-Preload,29.000,21.062,5.641,0.347
Stretch,1-Preload,29.200,21.095,5.674,0.650
Stretch,1-Preload,29.400,21.122,5.701,0.347
Stretch,1-Preload,29.600,21.148,5.727,0.549
Stretch,1-Preload,29.800,21.178,5.757,0.549
Stretch,1-Preload,30.000,21.204,5.783,0.246
Stretch,1-Preload,30.200,21.233,5.812,0.650
Stretch,1-Preload,30.400,21.263,5.842,0.448
Stretch,1-Preload,30.600,21.287,5.866,0.347
Stretch,1-Preload,30.800,21.317,5.896,0.650
Stretch,1-Preload,31.000,21.345,5.924,0.347
Stretch,1-Preload,31.200,21.37,5.949,0.549
Stretch,1-Preload,31.400,21.404,5.983,0.549
Stretch,1-Preload,31.600,21.43,6.009,0.246
Stretch,1-Preload,31.800,21.459,6.038,0.650
Stretch,1-Preload,32.000,21.488,6.067,0.448
Stretch,1-Preload,32.200,21.514,6.093,0.347
Stretch,1-Preload,32.400,21.545,6.124,0.650
Stretch,1-Preload,32.600,21.573,6.152,0.347
Stretch,1-Preload,32.800,21.599,6.178,0.448
Stretch,1-Preload,33.000,21.632,6.211,0.650
Stretch,1-Preload,33.200,21.657,6.236,0.246
Stretch,1-Preload,33.400,21.686,6.265,0.549
Stretch,1-Preload,33.600,21.719,6.298,0.448
Stretch,1-Preload,33.800,21.747,6.326,0.246
