# Stretch,Cauchy_stress
1.000000000000000000e+00,6.970898613057480327e-03
1.001779227518718951e+00,8.744383685372197901e-03
1.003780858477277604e+00,1.140875717851411696e-02
1.005782489435836480e+00,1.054744738024738365e-02
1.007784120394395355e+00,1.323466646569541882e-02
1.009785751352954231e+00,1.058942881745040566e-02
1.011787382311513106e+00,1.239790100146149002e-02
1.013863147750018401e+00,1.331449893959471380e-02
1.015864778708577276e+00,1.244786323439527921e-02
1.017866409667136152e+00,1.336707154435766778e-02
1.019868040625695027e+00,1.428979863038437603e-02
1.021869671584253902e+00,1.431784432079801113e-02
1.023871302542812556e+00,1.434589001121164449e-02
1.025872933501371431e+00,1.437393570162527959e-02
1.027874564459930307e+00,1.440198139203891642e-02
1.029876195418488960e+00,1.714574025387063591e-02
1.031877826377047835e+00,1.717906410838075312e-02
1.033879457335606711e+00,1.902990096263156364e-02
1.035881088294165586e+00,1.906674359320599879e-02
1.037882719252724462e+00,1.727903567191109435e-02
1.039884350211283115e+00,2.097754803044660568e-02
1.041885981169841990e+00,1.642988932893233583e-02
1.043887612128400866e+00,1.646145379541029061e-02
1.045889243086959741e+00,1.649301826188824538e-02
1.047965008525465036e+00,1.836802653991054593e-02
1.049966639484023911e+00,1.471152271586347905e-02
1.051968270442582787e+00,1.843819302499509483e-02
1.053969901401141662e+00,2.126169532678829494e-02
1.055971532359700316e+00,2.223024908385434761e-02
1.057973163318259413e+00,2.227238729820875396e-02
1.059974794276818066e+00,2.231452551256314989e-02
1.061976425235376942e+00,2.235666372691754930e-02
1.063978056193935817e+00,2.520443938988931737e-02
1.065979687152494471e+00,2.244094015562634811e-02
1.067981318111053346e+00,2.436054088785429700e-02
1.069982949069612221e+00,2.628717917221088177e-02
1.071984580028171097e+00,2.917243425196453660e-02
1.073986210986729972e+00,3.017091502526079994e-02
1.075987841945288626e+00,2.928137695249054262e-02
1.077989472903847501e+00,3.028337650185112390e-02
1.079991103862406376e+00,3.223818241440575688e-02
1.081992734820965252e+00,3.039583797844145480e-02
1.083994365779523905e+00,3.331048780631876843e-02
1.085995996738082781e+00,3.432656245993662147e-02
1.087997627696641656e+00,3.726827473387077372e-02
1.089999258655200531e+00,3.636926809536529526e-02
1.092075024093705826e+00,3.643852875690852672e-02
1.094076655052264702e+00,3.747650575923035937e-02
1.096078286010823577e+00,3.657210288988477220e-02
1.098079916969382452e+00,3.857882074957678237e-02
1.100081547927941328e+00,3.864914401181270692e-02
1.102083178886499981e+00,4.065687931005503020e-02
1.104084809845058857e+00,4.559265694690866483e-02
1.106086440803617732e+00,4.274901297479057061e-02
1.108088071762176385e+00,4.575796974319772809e-02
1.110089702720735261e+00,4.681636971147409843e-02
1.112091333679294136e+00,4.690078549765079596e-02
1.114092964637853012e+00,4.894372597621979987e-02
1.116094595596411887e+00,5.197472574114576221e-02
1.118096226554970762e+00,5.010237622296230542e-02
1.120097857513529416e+00,5.413998014025049599e-02
1.122099488472088291e+00,5.522302896066060007e-02
1.124101119430647167e+00,5.333563593285268328e-02
1.126102750389205820e+00,5.443022690650638901e-02
1.128104381347764917e+00,5.551855389101297694e-02
1.130106012306323571e+00,5.561706220113041971e-02
1.132107643264882446e+00,5.671066734973347762e-02
1.134109274223441322e+00,5.880464750091860676e-02
1.136185039661946838e+00,5.591623558741307815e-02
1.138186670620505492e+00,6.402817056651412264e-02
1.140188301579064367e+00,6.313857184743838780e-02
1.142189932537623243e+00,6.425337223463056802e-02
1.144191563496181896e+00,6.838884638548183015e-02
1.146193194454740771e+00,6.447857390274699951e-02
1.148194825413299647e+00,7.165583447364330671e-02
