SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch,1-Preload,0.000,11.63,0,0.189
Stretch,1-Preload,0.200,11.63,0,-0.013
Stretch,1-Preload,0.400,11.667,0.037,-0.013
Stretch,1-Preload,0.600,11.711,0.081,0.088
Stretch,1-Preload,0.800,11.754,0.124,-0.013
Stretch,1-Preload,1.000,11.794,0.164,-0.013
Stretch,1-Preload,1.200,11.838,0.208,0.088
Stretch,1-Preload,1.400,11.881,0.251,-0.013
Stretch,1-Preload,1.600,11.921,0.291,0.088
Stretch,1-Preload,1.800,11.964,0.334,0.088
Stretch,1-Preload,2.000,12.004,0.374,-0.013
Stretch,1-Preload,2.200,12.045,0.415,-0.013
Stretch,1-Preload,2.400,12.089,0.459,0.088
Stretch,1-Preload,2.600,12.13,0.5,-0.013
Stretch,1-Preload,2.800,12.171,0.541,0.189
Stretch,1-Preload,3.000,12.213,0.583,-0.013
Stretch,1-Preload,3.200,12.258,0.628,0.088
Stretch,1-Preload,3.400,12.299,0.669,0.189
Stretch,1-Preload,3.600,12.338,0.708,-0.013
Stretch,1-Preload,3.800,12.381,0.751,0.088
Stretch,1-Preload,4.000,12.422,0.792,-0.013
Stretch,1-Preload,4.200,12.465,0.835,-0.013
Stretch,1-Preload,4.400,12.509,0.879,0.088
Stretch,1-Preload,4.600,12.548,0.918,-0.013
Stretch,1-Preload,4.800,12.591,0.961,-0.013
Stretch,1-Preload,5.000,12.636,1.006,0.189
Stretch,1-Preload,5.200,12.673,1.043,-0.013
Stretch,1-Preload,5.400,12.717,1.087,0.189
Stretch,1-Preload,5.600,12.759,1.129,0.088
Stretch,1-Preload,5.800,12.797,1.167,-0.013
Stretch,1-Preload,6.000,12.842,1.212,0.088
Stretch,1-Preload,6.200,12.884,1.254,-0.013
Stretch,1-Preload,6.400,12.923,1.293,-0.013
Stretch,1-Preload,6.600,12.969,1.339,0.088
Stretch,1-Preload,6.800,13.012,1.382,-0.013
Stretch,1-Preload,7.000,13.051,1.421,0.189
Stretch,1-Preload,7.200,13.094,1.464,0.088
Stretch,1-Preload,7.400,13.134,1.504,-0.013
Stretch,1-Preload,7.600,13.175,1.545,0.189
Stretch,1-Preload,7.800,13.215,1.585,0.088
Stretch,1-Preload,8.000,13.258,1.628,-0.013
Stretch,1-Preload,8.200,13.3,1.67,-0.013
Stretch,1-Preload,8.400,13.344,1.714,-0.013
Stretch,1-Preload,8.600,13.388,1.758,-0.013
Stretch,1-Preload,8.800,13.429,1.799,-0.013
